,F34,F103,F105,F113,F116,F117,F118,F119,F110,F122,F115,F46,F136,F137,F5,category,1
0,-1.3742962,2.1174798,0.95888686,0.82127684,-0.5545398,0.45066768,-0.048274774,0.5234678,0.45066765,1.2008175,0.5793119,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.001136345060741747
1,-0.07170111,2.1174798,0.42754474,-0.22826111,-0.5545398,-0.34821066,-0.5265527,2.857456,-0.34821066,0.3501744,0.5793119,-0.36697465,-0.18996717,2.063957,-0.38955462,0,1.519069482246246e-05
2,-0.07170111,2.1174798,-0.21765646,-0.49017382,2.498015,0.12325851,-0.22983012,0.5234678,0.123258606,1.2008175,0.5793119,-0.36697465,-0.18996717,2.063957,-0.38955462,1,0.34302138391814874
3,0.25394762,2.1174798,0.056448705,-0.49017382,0.46297842,0.12325851,-0.22983012,0.5234678,0.123258606,1.2008175,0.5793119,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.0028099602160885496
4,0.57959634,2.1174798,-1.5046085,-0.22826111,-0.5545398,-0.34821066,-0.5265527,-0.43945664,-0.34821066,0.3501744,0.5793119,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.00024985006591979987
5,-0.07170111,2.1174798,-1.4934616,0.82127684,-0.5545398,0.10115841,-0.28194577,-0.43945664,0.10115841,0.3501744,0.5793119,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.0012692073357404542
6,-1.3742962,2.1174798,0.95888686,0.82127684,-0.5545398,-0.34821066,-0.5265527,-0.43945664,-0.34821066,0.3501744,0.5793119,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.0003162070279708471
7,-1.3742962,-0.74957424,0.95888686,-0.22826111,-0.5545398,0.0003907909,2.2660372,-0.15450571,0.0003908949,-0.07514721,-0.30475688,-0.36697465,-0.18996717,2.063957,2.0101879,0,2.8200395960427824e-05
8,-0.07170111,-0.2316815,-0.103797294,-0.49017382,0.46297842,0.12325851,-0.22983012,0.5234678,0.123258606,1.2008175,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.00032481091192138734
9,-0.39734986,-0.2316815,0.42754474,-0.49017382,0.46297842,0.12325851,-0.22983012,0.5234678,0.123258606,1.2008175,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.00028566557130070975
10,-1.3742962,-0.2316815,0.95888686,0.29662398,-0.5545398,0.10115841,-0.28194577,-0.43945664,0.10115841,0.3501744,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,4.3266799098801936e-05
11,-1.3742962,-0.2316815,0.95888686,0.29662398,-0.5545398,0.10115841,-0.28194577,-0.43945664,0.10115841,0.3501744,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,4.3266799098801936e-05
12,1.2308939,-0.75371736,-1.1664817,0.29662398,-0.5545398,0.0003907909,2.2660372,-0.15450571,0.0003908949,-0.07514721,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.0001071130269282563
13,0.9052451,-0.75371736,-1.9551927,0.29662398,-0.5545398,-0.34821066,-0.5265527,-0.17125078,-0.34821066,-1.5637398,-0.30475688,-0.36697465,-0.18996717,2.063957,2.0101879,0,1.8858708381219252e-06
14,-0.39734986,4.6779413,0.95888686,-0.7526805,1.4804965,-0.34821066,-0.5265527,0.5234678,-0.34821066,1.2008175,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.02357717056085969
15,-0.23452547,0.08319728,0.95888686,-0.7526805,1.4804965,-0.34821066,-0.5265527,0.5234678,-0.34821066,1.2008175,2.7894843,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.023302010604328783
16,-0.5601742,0.21992096,0.95888686,-0.7526805,1.4804965,-0.34821066,-0.5265527,0.5234678,-0.34821066,1.2008175,2.7894843,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.029097362684127052
17,-0.07170111,-0.24411091,-1.951944,0.29662398,-0.5545398,0.0003907909,2.2660372,-0.15450571,0.0003908949,-0.07514721,-0.30475688,-0.36697465,-0.18996717,2.063957,4.40993,0,4.6255012871554087e-05
18,-0.07170111,-0.24411091,-0.103797294,-0.22826111,-0.5545398,-0.13464911,-0.40621492,-0.43945664,-0.13464919,0.3501744,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,2.102881269188155e-05
19,-0.07170111,-0.24411091,-0.103797294,-0.22826111,-0.5545398,-0.13464911,-0.40621492,-0.43945664,-0.13464919,0.3501744,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,2.102881269188155e-05
20,1.2308939,-0.24411091,-0.011389988,0.29662398,-0.5545398,-0.13464911,-0.40621492,-0.43945664,-0.13464919,0.3501744,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,1.5807287127216263e-05
21,0.57959634,0.23235038,-1.5408365,-0.22826111,-0.5545398,0.0003907909,2.2660372,-0.15450571,0.0003908949,-0.07514721,-0.30475688,-0.36697465,-0.18996717,2.063957,4.40993,0,2.805986621148973e-05
22,-0.07170111,0.23235038,-0.95394486,-0.22826111,-0.5545398,-0.34821066,-0.5265527,0.5234678,-0.34821066,1.2008175,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,3.068610835821869e-05
23,-0.07170111,0.23235038,-0.103797294,-0.22826111,-0.5545398,-0.13464911,-0.40621492,-0.43945664,-0.13464919,0.3501744,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,2.8602990298891882e-05
24,-0.07170111,0.23235038,-0.103797294,-0.22826111,-0.5545398,-0.13464911,-0.40621492,-0.43945664,-0.13464919,0.3501744,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,2.8602990298891882e-05
25,-0.07170111,0.7833882,-0.103797294,-0.22826111,-0.5545398,-0.34821066,-0.5265527,2.857456,-0.34821066,0.3501744,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,3.5376416940533043e-06
26,-0.07170111,0.7833882,0.7994842,-0.22826111,-0.5545398,-0.34821066,-0.5265527,2.857456,-0.34821066,0.3501744,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,2.242173456501654e-06
27,-0.07170111,0.7833882,0.7994842,-0.22826111,-0.5545398,-0.34821066,-0.5265527,2.857456,-0.34821066,0.3501744,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,2.242173456501654e-06
28,-0.07170111,-0.7744331,-1.1664817,-0.22826111,-0.5545398,-0.34821066,-0.5265527,-0.43945664,-0.34821066,0.3501744,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,1.815016501578138e-05
29,-0.07170111,-0.19853635,-0.103797294,-0.22826111,-0.5545398,0.0003907909,2.2660372,-0.15450571,0.0003908949,-0.07514721,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.00011381965840224726
30,-0.07170111,-0.19853635,-0.103797294,-0.22826111,-0.5545398,0.0003907909,2.2660372,-0.15450571,0.0003908949,-0.07514721,-0.30475688,-0.36697465,-0.18996717,2.063957,2.0101879,0,3.9348318203640476e-05
31,0.57959634,-0.8200076,0.95888686,-0.7526805,1.4804965,-0.34821066,-0.5265527,-1.2261937,-0.34821066,-1.7764336,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.00017238198563779741
32,-0.07170111,-0.40155032,-0.95394486,-0.22826111,-0.5545398,0.0003907909,2.2660372,-0.15450571,0.0003908949,-0.07514721,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.0001533452891572215
33,-0.07170111,-0.40155032,-0.95394486,-0.22826111,-0.5545398,0.0003907909,2.2660372,-0.15450571,0.0003908949,-0.07514721,-0.30475688,-0.36697465,-0.18996717,2.063957,-0.38955462,0,0.0001533452891572215
