,F67,F34,F103,F105,F107,F95,F109,F22,F79,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F115,F88,F70,F41,F45,F44,F46,F128,F36,F130,F132,F133,F134,F135,F136,F137,F16,F12,F17,F6,F13,F1,F5,F15,F71,category,1
0,-0.23365924,-1.3742962,2.1174798,0.95888686,0.40019867,0.24218303,-0.89243287,1.0575148,0.8288755,0.82127684,-0.5545398,0.45066768,-0.048274774,0.5234678,0.77764183,0.45066765,1.3798654,1.2008175,0.77764183,0.5793119,-2.386875,-1.5176406,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.36730444,-0.38955462,-0.40332302,-1.3073068,0,0.00040351034798064055
1,-0.23365924,-0.07170111,2.1174798,0.42754474,-0.3369514,0.24218303,-1.0423961,-0.33790413,-0.21071526,-0.22826111,-0.5545398,-0.34821066,-0.5265527,2.857456,0.9465304,-0.34821066,-0.9040411,0.3501744,0.9465304,0.5793119,-1.1437073,-1.2039981,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.36730444,-0.38955462,-0.40332302,-0.7852268,0,5.064906973641549e-05
2,-0.23365924,-0.07170111,2.1174798,-0.21765646,-0.3369514,0.24218303,0.08234683,1.0575148,-0.73051065,-0.49017382,2.498015,0.12325851,-0.22983012,0.5234678,0.77764183,0.123258606,1.3798654,1.2008175,0.77764183,0.5793119,1.1177852,1.5209637,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.36730444,-0.38955462,-0.40332302,2.6082923,1,0.22909349408294552
3,-0.23365924,0.25394762,2.1174798,0.056448705,-0.3369514,0.24218303,0.08234683,1.0575148,-0.73051065,-0.49017382,0.46297842,0.12325851,-0.22983012,0.5234678,0.77764183,0.123258606,1.3798654,1.2008175,0.77764183,0.5793119,1.1177852,1.5209637,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,2.3582609,-0.18431383,5.817538,-0.33172852,-0.20027964,-0.36730444,-0.38955462,2.4794023,2.6082923,0,0.003677264940349403
4,-0.23365924,0.57959634,2.1174798,-1.5046085,-0.3369514,0.24218303,-0.5737549,1.0575148,-0.21071526,-0.22826111,-0.5545398,-0.34821066,-0.5265527,-0.43945664,0.6794086,-0.34821066,-0.14262088,0.3501744,0.6794086,0.5793119,1.1177852,1.5209637,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.36730444,-0.38955462,-0.40332302,2.6082923,0,0.0003126717581602277
5,-0.23365924,-0.07170111,2.1174798,-1.4934616,0.40019867,0.24218303,-0.46128032,1.0575148,0.8288755,0.82127684,-0.5545398,0.10115841,-0.28194577,-0.43945664,0.6794086,0.10115841,-0.14262088,0.3501744,0.6794086,0.5793119,0.7409845,0.8723103,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.36730444,-0.38955462,-0.40332302,2.3472524,0,0.0011906174279955025
6,-0.23365924,-1.3742962,2.1174798,0.95888686,0.40019867,0.24218303,-0.34880576,1.0575148,0.8288755,0.82127684,-0.5545398,-0.34821066,-0.5265527,-0.43945664,0.6794086,-0.34821066,-0.14262088,0.3501744,0.6794086,0.5793119,-2.386875,-1.5176406,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.36730444,-0.38955462,-0.40332302,-1.3073068,0,0.00018082638623476849
7,-0.23365924,-1.3742962,-0.74957424,0.95888686,2.03831,-0.7950798,2.0319061,-1.733323,-0.21071526,-0.22826111,-0.5545398,0.0003907909,2.2660372,-0.15450571,-1.3560618,0.0003908949,-0.9040411,-0.07514721,-1.3560618,-0.30475688,-1.1492081,-1.2068472,-0.6991447,-0.6742548,-0.7387583,-0.36697465,-0.5257299,-0.09003628,-0.7330722,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,2.2548258,-0.20027964,-0.36730444,2.0101879,-0.40332302,-0.7852268,0,2.2336133258328208e-05
8,-0.6037303,-0.07170111,-0.2316815,-0.103797294,-0.3369514,-0.27644843,0.08234683,1.0575148,-0.73051065,-0.49017382,0.46297842,0.12325851,-0.22983012,0.5234678,0.77764183,0.123258606,1.3798654,1.2008175,0.77764183,-0.30475688,0.3813735,0.11515221,-0.6991447,-0.6742548,-0.7387583,-0.36697465,-0.39721727,-0.09003628,-0.4478854,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.36730444,-0.38955462,-0.40332302,-0.002107025,0,0.00033896782297264275
9,-0.6037303,-0.39734986,-0.2316815,0.42754474,-0.3369514,-0.27644843,0.08234683,1.0575148,-0.73051065,-0.49017382,0.46297842,0.12325851,-0.22983012,0.5234678,0.77764183,0.123258606,1.3798654,1.2008175,0.77764183,-0.30475688,0.3813735,0.11515221,-0.6991447,-0.6742548,-0.7387583,-0.36697465,-0.39721727,-0.09003628,-0.4478854,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.36730444,-0.38955462,-0.40332302,-0.002107025,0,0.0002936941341757585
10,-0.6037303,-1.3742962,-0.2316815,0.95888686,-0.17314029,-0.27644843,-0.46128032,-0.33790413,0.30908012,0.29662398,-0.5545398,0.10115841,-0.28194577,-0.43945664,0.6794086,0.10115841,-0.14262088,0.3501744,0.6794086,-0.30475688,0.3813735,0.11515221,-0.6991447,-0.6742548,-0.7387583,-0.36697465,-0.39721727,-0.09003628,-0.4478854,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.36730444,-0.38955462,-0.40332302,-0.002107025,0,9.39602073195289e-05
11,-0.6037303,-1.3742962,-0.2316815,0.95888686,-0.17314029,-0.27644843,-0.46128032,1.0575148,0.30908012,0.29662398,-0.5545398,0.10115841,-0.28194577,-0.43945664,0.6794086,0.10115841,-0.14262088,0.3501744,0.6794086,-0.30475688,0.3813735,0.11515221,-0.6991447,-0.6742548,-0.7387583,-0.36697465,-0.39721727,-0.09003628,-0.4478854,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.36730444,-0.38955462,-0.40332302,-0.002107025,0,6.032423651520681e-05
12,-0.6037303,1.2308939,-0.75371736,-1.1664817,0.07257642,-0.6222027,2.0319061,-1.733323,0.30908012,0.29662398,-0.5545398,0.0003907909,2.2660372,-0.15450571,-1.3560618,0.0003908949,-0.9040411,-0.07514721,-1.3560618,-0.30475688,-1.9199995,-1.455197,-0.6991447,-0.6742548,-0.7387583,-0.36697465,-0.5771349,-0.09003628,-0.5904788,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.36730444,-0.38955462,-0.40332302,-1.0462668,0,0.0001627336198841923
13,-0.6037303,0.9052451,-0.75371736,-1.9551927,0.07257642,-0.6222027,-1.0423961,-0.33790413,0.30908012,0.29662398,-0.5545398,-0.34821066,-0.5265527,-0.17125078,-1.1849854,-0.34821066,-0.9040411,-1.5637398,-1.1849854,-0.30475688,-1.9199995,-1.455197,-0.6991447,-0.6742548,-0.7387583,-0.36697465,-0.5771349,-0.09003628,-0.5904788,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,2.2548258,-0.20027964,2.1607478,2.0101879,-0.40332302,-1.0462668,0,8.53173540881304e-07
14,0.13641186,-0.39734986,4.6779413,0.95888686,-0.3369514,1.4523232,-0.967416,-0.33790413,-0.73051065,-0.7526805,1.4804965,-0.34821066,-0.5265527,0.5234678,0.77764183,-0.34821066,1.3798654,1.2008175,0.77764183,-0.30475688,1.2470527,1.5781838,-0.6991447,-0.6742548,-0.7387583,-0.36697465,5.677145,-0.09003628,5.267109,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,3.8452923,-0.17189401,-0.33172852,4.9930186,-0.36730444,-0.38955462,-0.40332302,2.869332,0,0.0027260881258838626
15,0.13641186,-0.23452547,0.08319728,0.95888686,-0.3369514,-0.96795696,-0.967416,-0.33790413,-0.73051065,-0.7526805,1.4804965,-0.34821066,-0.5265527,0.5234678,0.77764183,-0.34821066,1.3798654,1.2008175,0.77764183,2.7894843,1.2470527,1.5781838,-0.6991447,-0.6742548,-0.7387583,-0.36697465,-0.1830296,-0.09003628,-1.2077583,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,3.8452923,-0.17189401,-0.33172852,4.9930186,-0.36730444,-0.38955462,-0.40332302,1.5641325,0,0.009233095016581627
