,F67,F34,F66,F103,F105,F107,F95,F109,F23,F22,F79,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F115,F77,F88,F70,F41,F45,F44,F46,F128,F36,F130,F132,F133,F134,F135,F136,F137,F16,F12,F17,F6,F13,F18,F1,F5,F9,F15,F71,category,1
0,-0.23365924,-1.3742962,-0.1011239,2.1174798,0.95888686,0.40019867,0.24218303,-0.89243287,0.36316603,1.0575148,0.8288755,0.82127684,-0.5545398,0.45066768,-0.048274774,0.5234678,0.77764183,0.45066765,1.3798654,1.2008175,0.77764183,0.5793119,-1.5176406,-2.386875,-1.5176406,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.19038214,-0.36730444,-0.38955462,-0.14512847,-0.40332302,-1.3073068,0,0.0003836316963403243
1,-0.23365924,-0.07170111,-0.1011239,2.1174798,0.42754474,-0.3369514,0.24218303,-1.0423961,-0.053857777,-0.33790413,-0.21071526,-0.22826111,-0.5545398,-0.34821066,-0.5265527,2.857456,0.9465304,-0.34821066,-0.9040411,0.3501744,0.9465304,0.5793119,-1.2039981,-1.1437073,-1.2039981,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.19038214,-0.36730444,-0.38955462,-0.14512847,-0.40332302,-0.7852268,0,5.250246945169114e-05
2,-0.23365924,-0.07170111,-0.1011239,2.1174798,-0.21765646,-0.3369514,0.24218303,0.08234683,0.36316603,1.0575148,-0.73051065,-0.49017382,2.498015,0.12325851,-0.22983012,0.5234678,0.77764183,0.123258606,1.3798654,1.2008175,0.77764183,0.5793119,1.5209637,1.1177852,1.5209637,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.19038214,-0.36730444,-0.38955462,-0.14512847,-0.40332302,2.6082923,1,0.21949713186269437
3,-0.23365924,0.25394762,-0.1011239,2.1174798,0.056448705,-0.3369514,0.24218303,0.08234683,0.36316603,1.0575148,-0.73051065,-0.49017382,0.46297842,0.12325851,-0.22983012,0.5234678,0.77764183,0.123258606,1.3798654,1.2008175,0.77764183,0.5793119,1.5209637,1.1177852,1.5209637,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,2.3582609,-0.18431383,5.817538,-0.33172852,-0.20027964,-0.19038214,-0.36730444,-0.38955462,-0.14512847,2.4794023,2.6082923,0,0.0036707272409859317
4,-0.23365924,0.57959634,-0.1011239,2.1174798,-1.5046085,-0.3369514,0.24218303,-0.5737549,0.7801899,1.0575148,-0.21071526,-0.22826111,-0.5545398,-0.34821066,-0.5265527,-0.43945664,0.6794086,-0.34821066,-0.14262088,0.3501744,0.6794086,0.5793119,1.5209637,1.1177852,1.5209637,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.19038214,-0.36730444,-0.38955462,-0.14512847,-0.40332302,2.6082923,0,0.000289064355287559
5,-0.23365924,-0.07170111,-0.1011239,2.1174798,-1.4934616,0.40019867,0.24218303,-0.46128032,0.7801899,1.0575148,0.8288755,0.82127684,-0.5545398,0.10115841,-0.28194577,-0.43945664,0.6794086,0.10115841,-0.14262088,0.3501744,0.6794086,0.5793119,0.8723103,0.7409845,0.8723103,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.19038214,-0.36730444,-0.38955462,-0.14512847,-0.40332302,2.3472524,0,0.0011193722176998464
6,-0.23365924,-1.3742962,-0.1011239,2.1174798,0.95888686,0.40019867,0.24218303,-0.34880576,0.7801899,1.0575148,0.8288755,0.82127684,-0.5545398,-0.34821066,-0.5265527,-0.43945664,0.6794086,-0.34821066,-0.14262088,0.3501744,0.6794086,0.5793119,-1.5176406,-2.386875,-1.5176406,-0.6991447,-0.6742548,-0.7387583,-0.36697465,1.8817395,-0.09003628,1.2970079,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.19038214,-0.36730444,-0.38955462,-0.14512847,-0.40332302,-1.3073068,0,0.00016996716479121727
7,-0.23365924,-1.3742962,-0.1011239,-0.74957424,0.95888686,2.03831,-0.7950798,2.0319061,0.36316603,-1.733323,-0.21071526,-0.22826111,-0.5545398,0.0003907909,2.2660372,-0.15450571,-1.3560618,0.0003908949,-0.9040411,-0.07514721,-1.3560618,-0.30475688,-1.2068472,-1.1492081,-1.2068472,-0.6991447,-0.6742548,-0.7387583,-0.36697465,-0.5257299,-0.09003628,-0.7330722,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,2.2548258,-0.20027964,-0.19038214,-0.36730444,2.0101879,-0.14512847,-0.40332302,-0.7852268,0,2.2102406218291446e-05
8,-0.6037303,-0.07170111,-0.1011239,-0.2316815,-0.103797294,-0.3369514,-0.27644843,0.08234683,0.36316603,1.0575148,-0.73051065,-0.49017382,0.46297842,0.12325851,-0.22983012,0.5234678,0.77764183,0.123258606,1.3798654,1.2008175,0.77764183,-0.30475688,0.11515221,0.3813735,0.11515221,-0.6991447,-0.6742548,-0.7387583,-0.36697465,-0.39721727,-0.09003628,-0.4478854,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.19038214,-0.36730444,-0.38955462,-0.14512847,-0.40332302,-0.002107025,0,0.0003398089878966839
9,-0.6037303,-0.39734986,-0.1011239,-0.2316815,0.42754474,-0.3369514,-0.27644843,0.08234683,0.36316603,1.0575148,-0.73051065,-0.49017382,0.46297842,0.12325851,-0.22983012,0.5234678,0.77764183,0.123258606,1.3798654,1.2008175,0.77764183,-0.30475688,0.11515221,0.3813735,0.11515221,-0.6991447,-0.6742548,-0.7387583,-0.36697465,-0.39721727,-0.09003628,-0.4478854,0.18244214,0.37008756,0.030627463,0.24755852,-0.18996717,2.063957,-0.4008796,-0.18431383,-0.17189401,-0.33172852,-0.20027964,-0.19038214,-0.36730444,-0.38955462,6.890447,-0.40332302,-0.002107025,0,0.00017837059108124698
