,F102,F104,F108,F95,F112,F116,F117,F115,F43,F42,category,1
0,-0.598736,1.0740521,0.30309504,-0.81128955,-0.8112896,0.9609529,-0.961488,-0.4404178,-0.3240038,-0.44700345,0,0.004335185077645101
1,-0.598736,1.0740521,0.30309504,-0.81128955,-0.8112896,-0.7312871,0.33393395,-0.4404178,-0.3240038,-0.44700345,0,0.00024335725245430722
2,-0.59821665,0.7302843,0.30309504,-0.81128955,-0.8112896,0.9609529,-0.23975296,-0.4404178,-0.3240038,-0.44700345,0,0.010696172790506095
3,-0.59821665,0.7302843,0.30309504,-0.81128955,-0.8112896,-0.7312871,-0.7286703,-0.4404178,-0.3240038,-0.44700345,0,0.00010519936560010628
4,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-0.8042213,-0.7312871,-0.190703,-0.4404178,-0.3240038,-0.44700345,0,0.000271891814164838
5,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-0.8042213,0.9609529,1.6490431,-0.4404178,-0.3240038,-0.44700345,0,0.09502008609898492
6,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-0.8042213,-0.7312871,-0.36004212,-0.4404178,-0.3240038,-0.44700345,0,0.000230332269138021
7,-0.59977466,1.717676,0.30309504,-0.81835794,-0.818358,-0.7312871,0.48198214,-0.4404178,-0.3240038,-0.44700345,0,0.00019411511700683583
8,-0.57666373,-0.23499061,0.30309504,-0.81128955,-0.8112896,-0.7312871,-0.961488,-0.4404178,-0.3240038,-0.44700345,0,0.00014610973906658488
9,-0.57666373,-0.23499061,0.30309504,-0.81128955,-0.8112896,-0.7312871,0.5579543,-0.4404178,-0.3240038,-0.44700345,0,0.0006471939574048723
10,-0.58231163,-0.2697225,0.30309504,-0.81835794,-0.818358,-0.7312871,-0.6838976,-0.4404178,-0.3240038,-0.44700345,0,0.00019787787060956944
11,-0.5986711,0.8503798,-2.1682222,-0.81128955,-0.8112896,0.11483291,0.12111464,-0.4404178,-0.42328393,-0.5623356,0,0.007548411106931456
12,-0.5986711,0.8503798,0.30309504,-0.81128955,-0.8112896,-0.7312871,-0.961488,-0.4404178,-0.42328393,-0.5623356,0,7.977477922788237e-05
13,-0.58867365,0.661553,0.30309504,-0.81835794,-0.818358,-0.7312871,-0.25158468,-0.4404178,-0.42328393,-0.5623356,0,0.0001790921078959542
14,-0.59185463,1.165958,-2.1682222,-0.81835794,-0.818358,0.11483291,0.12111464,-0.4404178,-0.42328393,-0.5623356,0,0.006298310864775626
15,-0.5856225,0.0758625,0.30309504,-0.81835794,-0.818358,-0.7312871,-0.961488,-0.4404178,-0.42328393,-0.5623356,0,0.0001259505475729735
16,-0.5985412,-0.552539,-2.1682222,-0.81128955,-0.8112896,0.11483291,0.12111464,-0.4404178,-0.42328393,-0.56688815,0,0.017155055222088315
17,-0.58133787,-0.19246182,0.30309504,-0.81835794,-0.818358,-0.7312871,0.33393395,-0.4404178,-0.15853691,0.065921165,0,0.000379813028773174
18,-0.594776,0.17848384,0.30309504,-0.81835794,-0.818358,0.9609529,0.022696203,-0.4404178,-0.15853691,0.065921165,0,0.01423111017460658
19,-0.5870507,-0.3180498,-2.1682222,-0.7971529,-0.7971529,-0.7312871,-0.44596297,-0.4404178,-0.15853691,0.065921165,0,0.0007723685166185133
20,-0.5870507,-0.3180498,0.30309504,-0.7971529,-0.7971529,-0.7312871,-0.44596297,-0.4404178,-0.15853691,0.065921165,0,0.00018681468914604897
21,-0.5870507,-0.3180498,0.30309504,-0.7971529,-0.7971529,-0.7312871,-0.44596297,-0.4404178,-0.15853691,0.065921165,0,0.00018681468914604897
22,-0.5870507,-0.3180498,0.30309504,-0.7971529,-0.7971529,-0.7312871,-0.44596297,-0.4404178,-0.15853691,0.065921165,0,0.00018681468914604897
23,-0.5810782,-0.1432226,0.30309504,-0.81835794,-0.818358,-0.7312871,-0.961488,-0.4404178,0.54745513,1.4453545,0,5.613186985371569e-05
