,F102,F104,F108,F95,F112,F113,F116,F117,F115,F43,F42,category,1
0,-0.598736,1.0740521,0.30309504,-0.81128955,-0.8112896,-0.34951493,0.9609529,-0.961488,-0.4404178,-0.3240038,-0.44700345,0,0.004256712701722195
1,-0.598736,1.0740521,0.30309504,-0.81128955,-0.8112896,-0.28858408,-0.7312871,0.33393395,-0.4404178,-0.3240038,-0.44700345,0,0.0002441118991211425
2,-0.59821665,0.7302843,0.30309504,-0.81128955,-0.8112896,-0.34951493,0.9609529,-0.23975296,-0.4404178,-0.3240038,-0.44700345,0,0.010562554117393973
3,-0.59821665,0.7302843,0.30309504,-0.81128955,-0.8112896,-0.28858408,-0.7312871,-0.7286703,-0.4404178,-0.3240038,-0.44700345,0,0.00010466084939692319
4,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-0.8042213,-0.28858408,-0.7312871,-0.190703,-0.4404178,-0.3240038,-0.44700345,0,0.000271607967981651
5,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-0.8042213,-0.34951493,0.9609529,1.6490431,-0.4404178,-0.3240038,-0.44700345,0,0.09518203773824115
6,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-0.8042213,-0.28858408,-0.7312871,-0.36004212,-0.4404178,-0.3240038,-0.44700345,0,0.0002297892060891803
7,-0.59977466,1.717676,0.30309504,-0.81835794,-0.818358,-0.28858408,-0.7312871,0.48198214,-0.4404178,-0.3240038,-0.44700345,0,0.00019495170920097067
8,-0.57666373,-0.23499061,0.30309504,-0.81128955,-0.8112896,-0.28858408,-0.7312871,-0.961488,-0.4404178,-0.3240038,-0.44700345,0,0.00014507269146418888
9,-0.57666373,-0.23499061,0.30309504,-0.81128955,-0.8112896,-0.28858408,-0.7312871,0.5579543,-0.4404178,-0.3240038,-0.44700345,0,0.0006502321758458004
10,-0.58231163,-0.2697225,0.30309504,-0.81835794,-0.818358,-0.28858408,-0.7312871,-0.6838976,-0.4404178,-0.3240038,-0.44700345,0,0.00019693463689700913
11,-0.5986711,0.8503798,-2.1682222,-0.81128955,-0.8112896,-0.3190495,0.11483291,0.12111464,-0.4404178,-0.42328393,-0.5623356,0,0.007470226534870469
12,-0.5986711,0.8503798,0.30309504,-0.81128955,-0.8112896,-0.28858408,-0.7312871,-0.961488,-0.4404178,-0.42328393,-0.5623356,0,7.922609541489036e-05
13,-0.58867365,0.661553,0.30309504,-0.81835794,-0.818358,-0.28858408,-0.7312871,-0.25158468,-0.4404178,-0.42328393,-0.5623356,0,0.00017884386398764551
14,-0.59185463,1.165958,-2.1682222,-0.81835794,-0.818358,-0.3190495,0.11483291,0.12111464,-0.4404178,-0.42328393,-0.5623356,0,0.006232899478919872
15,-0.5856225,0.0758625,0.30309504,-0.81835794,-0.818358,-0.28858408,-0.7312871,-0.961488,-0.4404178,-0.42328393,-0.5623356,0,0.000125086714027188
16,-0.5985412,-0.552539,-2.1682222,-0.81128955,-0.8112896,-0.3190495,0.11483291,0.12111464,-0.4404178,-0.42328393,-0.56688815,0,0.016981903123476135
17,-0.58133787,-0.19246182,0.30309504,-0.81835794,-0.818358,-0.28858408,-0.7312871,0.33393395,-0.4404178,-0.15853691,0.065921165,0,0.00038039914916416573
18,-0.594776,0.17848384,0.30309504,-0.81835794,-0.818358,-0.34951493,0.9609529,0.022696203,-0.4404178,-0.15853691,0.065921165,0,0.014062188841417762
19,-0.5870507,-0.3180498,-2.1682222,-0.7971529,-0.7971529,-0.2276532,-0.7312871,-0.44596297,-0.4404178,-0.15853691,0.065921165,0,0.0007813790673274588
