,F25,F67,F102,F104,F108,F95,F109,F23,F79,F112,F113,F116,F117,F110,F115,F43,F42,F44,F46,F131,F37,F134,F136,F6,F13,category,1
0,1.2478625,-0.43465978,-0.598736,1.0740521,0.30309504,-0.81128955,-1.2872685,-0.08423652,-0.34930563,-0.8112896,-0.34951493,0.9609529,-0.961488,-1.0040984,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.7613357,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,0.0022308778939727964
1,1.2478625,-0.43465978,-0.598736,1.0740521,0.30309504,-0.81128955,-0.98199993,-0.8449975,-0.28837857,-0.8112896,-0.28858408,-0.7312871,0.33393395,0.34155306,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.7613357,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,0.00020496235444206448
2,1.2593341,-0.4265486,-0.59821665,0.7302843,0.30309504,-0.81128955,-1.3361114,-0.08423652,-0.34930563,-0.8112896,-0.34951493,0.9609529,-0.23975296,-0.30435964,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.73575133,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,0.0056754248044976
3,1.2593341,-0.4265486,-0.59821665,0.7302843,0.30309504,-0.81128955,0.8129789,0.6765245,-0.28837857,-0.8112896,-0.28858408,-0.7312871,-0.7286703,-0.7783763,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.73575133,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,0.00010145523689677353
4,0.2638483,-0.4306042,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-0.20051245,0.296144,-0.28837857,-0.8042213,-0.28858408,-0.7312871,-0.190703,-0.15490082,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,1.8538101,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,5.18667764078541e-05
5,0.2638483,-0.4306042,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-0.88431406,0.296144,-0.34930563,-0.8042213,-0.34951493,0.9609529,1.6490431,1.6757524,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,1.8538101,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,0.019626112865956
6,0.2638483,-0.4306042,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-1.31169,-0.8449975,-0.28837857,-0.8042213,-0.28858408,-0.7312871,-0.36004212,-0.4209827,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,1.8538101,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,3.86064295645512e-05
7,-0.3428754,-0.43871537,-0.59977466,1.717676,0.30309504,-0.81835794,-1.3361114,-0.8449975,-0.28837857,-0.818358,-0.28858408,-0.7312871,0.48198214,1.095118,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.8441954,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,9.542356661915064e-05
8,-0.88969153,-0.36977026,-0.57666373,-0.23499061,0.30309504,-0.81128955,-1.4337972,-0.8449975,-0.28837857,-0.8112896,-0.28858408,-0.7312871,-0.961488,-1.0040984,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.57699037,1.1605772,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,4.7281618625411724e-05
9,-0.88969153,-0.36977026,-0.57666373,-0.23499061,0.30309504,-0.81128955,-1.2262148,-1.9861392,-0.28837857,-0.8112896,-0.28858408,-0.7312871,0.5579543,0.4690359,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.57699037,1.1605772,-0.5605773,-0.6184423,1.305321,-0.36197066,0,0.00022681947327228035
10,0.13128681,-0.4184374,-0.58231163,-0.2697225,0.30309504,-0.81835794,-0.18830174,-0.08423652,-0.28837857,-0.818358,-0.28858408,-0.7312871,-0.6838976,-0.7349682,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.6493097,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,9.600724249138135e-05
11,1.72075,-0.4306042,-0.5986711,0.8503798,-2.1682222,-0.81128955,-1.214004,0.296144,-0.34930563,-0.8112896,-0.3190495,0.11483291,0.12111464,0.04550982,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5983137,-0.2414608,-0.20265988,-0.5894247,-0.5321886,-0.3540827,-0.36197066,0,0.003974309068690618
12,1.72075,-0.4306042,-0.5986711,0.8503798,0.30309504,-0.81128955,-1.3727436,0.6765245,-0.28837857,-0.8112896,-0.28858408,-0.7312871,-0.961488,-0.50428504,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5983137,-0.2414608,-0.20265988,-0.5894247,-0.5321886,-0.3540827,-0.36197066,0,2.8938436347987084e-05
13,-0.60162526,-0.4306042,-0.58867365,0.661553,0.30309504,-0.81835794,-0.71336365,0.6765245,-0.28837857,-0.818358,-0.28858408,-0.7312871,-0.25158468,-0.25847515,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5983137,0.18983065,-0.20265988,-0.5894247,-0.5321886,-0.3540827,-0.36197066,0,2.563520448246695e-05
14,-0.6296671,-0.4306042,-0.59185463,1.165958,-2.1682222,-0.81835794,-1.214004,0.296144,-0.34930563,-0.818358,-0.3190495,0.11483291,0.12111464,0.04550982,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5983137,-0.4043556,-0.20265988,-0.5894247,-0.5321886,-0.3540827,-0.36197066,0,0.0012774787957188154
15,0.28934088,-0.42249298,-0.5856225,0.0758625,0.30309504,-0.81835794,-1.3727436,0.6765245,-0.28837857,-0.818358,-0.28858408,-0.7312871,-0.961488,-0.50428504,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5983137,-0.25047028,-0.20265988,-0.5894247,-0.5321886,-0.3540827,-0.36197066,0,2.5161971328709832e-05
16,-0.89479005,-0.4265486,-0.5985412,-0.552539,-2.1682222,-0.81128955,-1.214004,0.296144,-0.34930563,-0.8112896,-0.3190495,0.11483291,0.12111464,0.04550982,-0.4404178,-0.42328393,-0.56688815,-0.16008578,6.3000913,2.5489862,-0.20265988,-0.6176263,-0.6190246,-0.3540827,-0.36197066,0,0.005557117383068203
17,-0.9215573,-0.4103262,-0.58133787,-0.19246182,0.30309504,-0.81835794,-0.98199993,-0.8449975,-0.28837857,-0.818358,-0.28858408,-0.7312871,0.33393395,0.34155306,-0.4404178,-0.15853691,0.065921165,-0.36744055,2.3011935,0.22013639,1.9179312,-0.59157753,-0.6557053,-0.3540827,-0.36197066,0,0.0004278332468049509
18,-0.33650225,-0.4306042,-0.594776,0.17848384,0.30309504,-0.81835794,-0.92094624,-0.08423652,-0.34930563,-0.818358,-0.34951493,0.9609529,0.022696203,0.02960668,-0.4404178,-0.15853691,0.065921165,-0.36744055,2.3011935,-0.7095337,-0.20265988,-0.59157753,-0.6557053,-0.3540827,-0.36197066,0,0.012357259825174638
19,-0.20903929,-0.42249298,-0.5870507,-0.3180498,-2.1682222,-0.7971529,-0.43251657,0.6765245,-0.22745155,-0.7971529,-0.2276532,-0.7312871,-0.44596297,-0.50428504,-0.4404178,-0.15853691,0.065921165,-0.36744055,2.3011935,1.546651,-0.20265988,-0.59157753,-0.6557053,-0.3540827,-0.36197066,0,0.0002570365161872284
