,F25,F67,F102,F104,F108,F95,F109,F23,F79,F112,F113,F116,F117,F119,F110,F115,F43,F42,F44,F46,F131,F37,F134,F136,F6,F13,category,1
0,1.2478625,-0.43465978,-0.598736,1.0740521,0.30309504,-0.81128955,-1.2872685,-0.08423652,-0.34930563,-0.8112896,-0.34951493,0.9609529,-0.961488,-0.5378598,-1.0040984,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.7613357,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,0.00230335839085102
1,1.2478625,-0.43465978,-0.598736,1.0740521,0.30309504,-0.81128955,-0.98199993,-0.8449975,-0.28837857,-0.8112896,-0.28858408,-0.7312871,0.33393395,1.2523291,0.34155306,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.7613357,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,0.00029079225668163694
2,1.2593341,-0.4265486,-0.59821665,0.7302843,0.30309504,-0.81128955,-1.3361114,-0.08423652,-0.34930563,-0.8112896,-0.34951493,0.9609529,-0.23975296,-0.5378598,-0.30435964,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.73575133,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,0.005094994902509821
3,1.2593341,-0.4265486,-0.59821665,0.7302843,0.30309504,-0.81128955,0.8129789,0.6765245,-0.28837857,-0.8112896,-0.28858408,-0.7312871,-0.7286703,-0.8985054,-0.7783763,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.73575133,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,8.261764839579178e-05
4,0.2638483,-0.4306042,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-0.20051245,0.296144,-0.28837857,-0.8042213,-0.28858408,-0.7312871,-0.190703,-0.44818425,-0.15490082,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,1.8538101,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,4.0738309277973866e-05
5,0.2638483,-0.4306042,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-0.88431406,0.296144,-0.34930563,-0.8042213,-0.34951493,0.9609529,1.6490431,1.2523291,1.6757524,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,1.8538101,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,0.018995263168739538
6,0.2638483,-0.4306042,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-1.31169,-0.8449975,-0.28837857,-0.8042213,-0.28858408,-0.7312871,-0.36004212,1.2523291,-0.4209827,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,1.8538101,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,5.730365496587923e-05
7,-0.3428754,-0.43871537,-0.59977466,1.717676,0.30309504,-0.81835794,-1.3361114,-0.8449975,-0.28837857,-0.818358,-0.28858408,-0.7312871,0.48198214,0.769874,1.095118,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.8441954,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,0.00010536950310797587
8,-0.88969153,-0.36977026,-0.57666373,-0.23499061,0.30309504,-0.81128955,-1.4337972,-0.8449975,-0.28837857,-0.8112896,-0.28858408,-0.7312871,-0.961488,0.769874,-1.0040984,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.57699037,1.1605772,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,7.17921888312077e-05
9,-0.88969153,-0.36977026,-0.57666373,-0.23499061,0.30309504,-0.81128955,-1.2262148,-1.9861392,-0.28837857,-0.8112896,-0.28858408,-0.7312871,0.5579543,-0.8985054,0.4690359,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.57699037,1.1605772,-0.5605773,-0.6184423,1.305321,-0.36197066,0,0.00015794475646601177
10,0.13128681,-0.4184374,-0.58231163,-0.2697225,0.30309504,-0.81835794,-0.18830174,-0.08423652,-0.28837857,-0.818358,-0.28858408,-0.7312871,-0.6838976,-0.8985054,-0.7349682,-0.4404178,-0.3240038,-0.44700345,-0.63443035,-0.5631098,-0.6493097,-0.20265988,-0.5605773,-0.6184423,-0.3540827,-0.36197066,0,7.844006021666419e-05
11,1.72075,-0.4306042,-0.5986711,0.8503798,-2.1682222,-0.81128955,-1.214004,0.296144,-0.34930563,-0.8112896,-0.3190495,0.11483291,0.12111464,1.2523291,0.04550982,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5983137,-0.2414608,-0.20265988,-0.5894247,-0.5321886,-0.3540827,-0.36197066,0,0.006242052677087141
12,1.72075,-0.4306042,-0.5986711,0.8503798,0.30309504,-0.81128955,-1.3727436,0.6765245,-0.28837857,-0.8112896,-0.28858408,-0.7312871,-0.961488,-0.8985054,-0.50428504,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5983137,-0.2414608,-0.20265988,-0.5894247,-0.5321886,-0.3540827,-0.36197066,0,2.3699071511174425e-05
13,-0.60162526,-0.4306042,-0.58867365,0.661553,0.30309504,-0.81835794,-0.71336365,0.6765245,-0.28837857,-0.818358,-0.28858408,-0.7312871,-0.25158468,-0.8985054,-0.25847515,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5983137,0.18983065,-0.20265988,-0.5894247,-0.5321886,-0.3540827,-0.36197066,0,1.83475619881096e-05
14,-0.6296671,-0.4306042,-0.59185463,1.165958,-2.1682222,-0.81835794,-1.214004,0.296144,-0.34930563,-0.818358,-0.3190495,0.11483291,0.12111464,1.2523291,0.04550982,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5983137,-0.4043556,-0.20265988,-0.5894247,-0.5321886,-0.3540827,-0.36197066,0,0.0019748006117822053
15,0.28934088,-0.42249298,-0.5856225,0.0758625,0.30309504,-0.81835794,-1.3727436,0.6765245,-0.28837857,-0.818358,-0.28858408,-0.7312871,-0.961488,-0.8985054,-0.50428504,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5983137,-0.25047028,-0.20265988,-0.5894247,-0.5321886,-0.3540827,-0.36197066,0,2.0024792076289987e-05
