,F102,F104,F112,F116,F117,F115,F42,category,1
0,-0.598736,1.0740521,-0.8112896,0.9609529,-0.961488,-0.4404178,-0.44700345,0,0.004365636818781506
1,-0.598736,1.0740521,-0.8112896,-0.7312871,0.33393395,-0.4404178,-0.44700345,0,0.0002634026458876509
2,-0.59821665,0.7302843,-0.8112896,0.9609529,-0.23975296,-0.4404178,-0.44700345,0,0.01078155043512586
3,-0.59821665,0.7302843,-0.8112896,-0.7312871,-0.7286703,-0.4404178,-0.44700345,0,0.00011281690335355176
4,-0.5934127,-0.0042141457,-0.8042213,-0.7312871,-0.190703,-0.4404178,-0.44700345,0,0.0002908266684537273
5,-0.5934127,-0.0042141457,-0.8042213,0.9609529,1.6490431,-0.4404178,-0.44700345,0,0.0961640356861318
6,-0.5934127,-0.0042141457,-0.8042213,-0.7312871,-0.36004212,-0.4404178,-0.44700345,0,0.0002461337898272292
7,-0.59977466,1.717676,-0.818358,-0.7312871,0.48198214,-0.4404178,-0.44700345,0,0.00021120332168972242
8,-0.57666373,-0.23499061,-0.8112896,-0.7312871,-0.961488,-0.4404178,-0.44700345,0,0.00015469634599189433
9,-0.57666373,-0.23499061,-0.8112896,-0.7312871,0.5579543,-0.4404178,-0.44700345,0,0.0006912186821879478
10,-0.58231163,-0.2697225,-0.818358,-0.7312871,-0.6838976,-0.4404178,-0.44700345,0,0.00020960898690515348
11,-0.5986711,0.8503798,-0.8112896,0.11483291,0.12111464,-0.4404178,-0.5623356,0,0.0019029976348440344
12,-0.5986711,0.8503798,-0.8112896,-0.7312871,-0.961488,-0.4404178,-0.5623356,0,8.491687482870065e-05
13,-0.58867365,0.661553,-0.818358,-0.7312871,-0.25158468,-0.4404178,-0.5623356,0,0.00019054879933677637
14,-0.59185463,1.165958,-0.818358,0.11483291,0.12111464,-0.4404178,-0.5623356,0,0.0015869748330930697
15,-0.5856225,0.0758625,-0.818358,-0.7312871,-0.961488,-0.4404178,-0.5623356,0,0.00013271142385354412
16,-0.5985412,-0.552539,-0.8112896,0.11483291,0.12111464,-0.4404178,-0.56688815,0,0.004288785763830875
17,-0.58133787,-0.19246182,-0.818358,-0.7312871,0.33393395,-0.4404178,0.065921165,0,0.0005113200327264526
18,-0.594776,0.17848384,-0.818358,0.9609529,0.022696203,-0.4404178,0.065921165,0,0.017951882983981107
19,-0.5870507,-0.3180498,-0.7971529,-0.7312871,-0.44596297,-0.4404178,0.065921165,0,0.00025144973973816243
20,-0.5870507,-0.3180498,-0.7971529,-0.7312871,-0.44596297,-0.4404178,0.065921165,0,0.00025144973973816243
21,-0.5870507,-0.3180498,-0.7971529,-0.7312871,-0.44596297,-0.4404178,0.065921165,0,0.00025144973973816243
22,-0.5870507,-0.3180498,-0.7971529,-0.7312871,-0.44596297,-0.4404178,0.065921165,0,0.00025144973973816243
23,-0.5810782,-0.1432226,-0.818358,-0.7312871,-0.961488,-0.4404178,1.4453545,0,0.00011623043317567868
24,-0.5990606,1.6079243,-0.8112896,0.9609529,1.9254524,-0.4404178,0.065921165,0,0.049285494841525286
25,-0.5989307,1.0956454,-0.8112896,-0.7312871,-0.8665229,-0.4404178,0.065921165,0,7.46471429521442e-05
26,-0.5989307,1.0956454,-0.8112896,-0.7312871,-0.8665229,-0.4404178,0.065921165,0,7.46471429521442e-05
27,-0.4443601,-0.07560259,-0.66992265,-0.7312871,0.48198214,-0.4404178,-0.5775109,0,0.000479441358854847
