"data_dir","result_dir","num_run","balance_data","feaSelect","correlate","eps","min_Pts","k","MLmodel","select_method","LDF_r","TN","FP","FN","TP","accuracy","precision","recall","F1","AUC","F_MEASURE","G_MEASURE","MCC",
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,6,LR,LDF,10,73.8,0.6,0.6,3.6,0.984732824427481,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9284549549549551,0.8571428571428571,0.919626168224299,0.849078341013825,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,7,LR,LDF,10,73.8,0.6,0.6,3.6,0.984732824427481,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9284549549549551,0.8571428571428571,0.919626168224299,0.849078341013825,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,8,LR,LDF,10,73.8,0.6,0.6,3.6,0.984732824427481,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9284549549549551,0.8571428571428571,0.919626168224299,0.849078341013825,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,9,LR,LDF,10,73.8,0.6,0.8,3.4,0.9821882951653945,0.85,0.8095238095238094,0.8292682926829268,0.908454954954955,0.8292682926829268,0.8914943508846728,0.8201497800126424,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,10,LR,LDF,10,73.6,0.8,1.0,3.2,0.9770992366412214,0.8,0.7619047619047619,0.7804878048780488,0.8821036036036036,0.7804878048780488,0.8608187134502924,0.7686693673716954,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,11,LR,LDF,10,73.6,0.8,1.0,3.2,0.9770992366412214,0.8,0.7619047619047619,0.7804878048780488,0.8821036036036036,0.7804878048780488,0.8608187134502924,0.7686693673716954,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,12,LR,LDF,10,73.6,0.8,0.8,3.4,0.9796437659033079,0.8095238095238094,0.8095238095238094,0.8095238095238094,0.9021036036036036,0.8095238095238094,0.8904070594933106,0.7987711213517666,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,13,LR,LDF,10,73.6,0.8,1.0,3.2,0.9770992366412214,0.8,0.7619047619047619,0.7804878048780488,0.8821036036036036,0.7804878048780488,0.8608187134502924,0.7686693673716954,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,14,LR,LDF,10,73.6,0.8,1.0,3.2,0.9770992366412214,0.8,0.7619047619047619,0.7804878048780488,0.8771036036036037,0.7804878048780488,0.8608187134502924,0.7686693673716954,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,15,LR,LDF,10,73.6,0.8,1.0,3.2,0.9770992366412214,0.8,0.7619047619047619,0.7804878048780488,0.8771036036036037,0.7804878048780488,0.8608187134502924,0.7686693673716954,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,16,LR,LDF,10,73.4,1.0,1.0,3.2,0.9745547073791349,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8757522522522523,0.7619047619047619,0.8597993996632256,0.7484639016897082,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,17,LR,LDF,10,73.4,1.0,1.0,3.2,0.9745547073791349,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8757522522522523,0.7619047619047619,0.8597993996632256,0.7484639016897082,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,18,LR,LDF,10,73.4,1.0,0.8,3.4,0.9770992366412214,0.7727272727272726,0.8095238095238094,0.7906976744186046,0.9007522522522523,0.7906976744186046,0.8893165134345378,0.778827260507284,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,19,LR,LDF,10,73.5,0.9,1.0,3.2,0.9758269720101781,0.7804878048780487,0.7619047619047619,0.7710843373493975,0.8764279279279279,0.7710843373493975,0.8603094480412599,0.7583874034165853,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,20,LR,LDF,10,73.5,0.9,1.0,3.2,0.9758269720101781,0.7804878048780487,0.7619047619047619,0.7710843373493975,0.8764279279279279,0.7710843373493975,0.8603094480412599,0.7583874034165853,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,21,LR,LDF,10,73.4,1.0,1.0,3.2,0.9745547073791349,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8757522522522523,0.7619047619047619,0.8597993996632256,0.7484639016897082,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,22,LR,LDF,10,73.4,1.0,1.0,3.2,0.9745547073791349,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8757522522522523,0.7619047619047619,0.8597993996632256,0.7484639016897082,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,23,LR,LDF,10,73.4,1.0,1.0,3.2,0.9745547073791349,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8757522522522523,0.7619047619047619,0.8597993996632256,0.7484639016897082,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,24,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,25,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,26,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,27,LR,LDF,10,73.5,0.9,0.9,3.3,0.9770992366412212,0.7857142857142856,0.7857142857142856,0.7857142857142857,0.8889279279279279,0.7857142857142857,0.875284183176356,0.7736175115207372,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,28,LR,LDF,10,73.5,0.9,0.9,3.3,0.9770992366412212,0.7857142857142856,0.7857142857142856,0.7857142857142857,0.8889279279279279,0.7857142857142857,0.875284183176356,0.7736175115207372,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,29,LR,LDF,10,73.5,0.9,0.9,3.3,0.9770992366412212,0.7857142857142856,0.7857142857142856,0.7857142857142857,0.8889279279279279,0.7857142857142857,0.875284183176356,0.7736175115207372,
