,F25,F67,F34,F103,F104,F94,F111,F116,F117,F110,F121,F115,F77,F70,F40,F130,F12,F1,F71,category,1
0,0.6192137,-0.15607703,-0.5045649,-0.3581017,-0.57322943,0.9941797,0.99417984,0.45327014,-0.5315504,-0.5315504,-0.08734065,-0.3213848,0.15407497,0.15407492,-0.77780867,-0.5368253,-0.22256665,1.1980149,-0.8289416,0,0.00047998281747750095
1,0.6192137,-0.15607703,1.5687106,-0.3581017,-0.57322943,0.9941797,0.99417984,1.4555937,0.57373697,0.5737369,1.7287908,-0.3213848,0.15407497,0.15407492,-0.77780867,-0.5368253,-0.22256665,-0.62333846,-0.8289416,0,0.037197027073324215
2,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,-0.5315504,-0.5315504,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,1.5498692789127958e-05
3,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,-0.5315504,-0.5315504,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,1.5498692789127958e-05
4,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,-0.5315504,-0.5315504,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,1.5498692789127958e-05
5,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,-0.5315504,-0.5315504,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,1.5498692789127958e-05
6,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
7,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
8,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
9,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
10,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
11,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
12,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
13,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
14,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
15,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
16,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
17,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
18,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
19,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
20,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
21,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
22,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
23,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
24,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
25,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
26,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
27,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
28,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
29,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
30,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
31,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
32,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
33,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
34,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
35,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
36,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
37,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
38,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
39,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
40,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
41,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
42,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
43,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
44,0.98726386,-0.605991,0.97634614,3.5886726,2.351365,0.9941797,0.99417984,-0.54905343,0.46320823,0.4632082,-0.45056695,-0.3213848,0.64405185,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.62333846,2.2545798,0,3.3495852975754214e-05
