,F25,F65,F67,F34,F103,F104,F105,F94,F79,F111,F113,F116,F117,F118,F110,F121,F123,F115,F77,F88,F70,F40,F130,F12,F18,F1,F71,category,1
0,0.6192137,-0.85719776,-0.15607703,-0.5045649,-0.3581017,-0.57322943,0.11940769,0.9941797,-0.5854212,0.99417984,-0.45226222,0.45327014,-0.5315504,-0.37150404,-0.5315504,-0.08734065,0.32973,-0.3213848,0.15407497,0.18249252,0.15407492,-0.77780867,-0.5368253,-0.22256665,-0.061898455,1.1980149,-0.8289416,0,0.00016700226666656174
1,0.6192137,-0.85719776,-0.15607703,1.5687106,-0.3581017,-0.57322943,1.2187127,0.9941797,-0.5854212,0.99417984,-0.5862196,1.4555937,0.57373697,0.530955,0.5737369,1.7287908,-1.2152728,-0.3213848,0.15407497,0.18249252,0.15407492,-0.77780867,-0.5368253,-0.22256665,-0.061898455,-0.62333846,-0.8289416,0,0.030471854528577116
2,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,0.04088581,0.9941797,-0.049750574,0.99417984,-0.05039022,-0.54905343,-0.5315504,-0.37150404,-0.5315504,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.463909589359633e-05
3,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,0.04088581,0.9941797,-0.049750574,0.99417984,-0.05039022,-0.54905343,-0.5315504,-0.37150404,-0.5315504,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.463909589359633e-05
4,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,0.24873768,0.9941797,-0.049750574,0.99417984,-0.05039022,-0.54905343,-0.5315504,-0.37150404,-0.5315504,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.892555376825799e-05
5,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,0.24873768,0.9941797,-0.049750574,0.99417984,-0.05039022,-0.54905343,-0.5315504,-0.37150404,-0.5315504,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.892555376825799e-05
6,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-0.43024486,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.8118189781505244e-05
7,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-0.43024486,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.8118189781505244e-05
8,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-0.43024486,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.8118189781505244e-05
9,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-0.43024486,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.8118189781505244e-05
10,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-0.43024486,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.8118189781505244e-05
11,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-0.43024486,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.8118189781505244e-05
12,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-0.43024486,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.8118189781505244e-05
13,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-0.43024486,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.8118189781505244e-05
14,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-0.43024486,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,5.8118189781505244e-05
15,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.5295497,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,3.897931402196103e-05
16,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.5295497,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,3.897931402196103e-05
17,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.5295497,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,3.897931402196103e-05
18,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.5295497,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,3.897931402196103e-05
19,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.5295497,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,3.897931402196103e-05
20,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.5295497,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,3.897931402196103e-05
21,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.5845151,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,3.820851822769571e-05
22,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.5295497,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,3.897931402196103e-05
23,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.5295497,0.9941797,1.8250965,0.99417984,1.8250126,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,3.897931402196103e-05
24,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,4.582348809389815e-05
25,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,4.582348809389815e-05
26,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,4.582348809389815e-05
27,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,4.582348809389815e-05
28,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,4.582348809389815e-05
29,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,4.582348809389815e-05
30,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,4.582348809389815e-05
31,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,4.582348809389815e-05
32,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.3224389276475227e-05
33,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.3725061,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.2770131112555563e-05
34,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.3224389276475227e-05
35,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.3725061,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.2770131112555563e-05
36,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.3224389276475227e-05
37,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.3725061,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.2770131112555563e-05
38,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.3224389276475227e-05
39,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.3725061,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.2770131112555563e-05
40,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.3224389276475227e-05
41,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.3725061,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.2770131112555563e-05
42,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.3224389276475227e-05
43,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.3725061,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.2770131112555563e-05
44,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.3224389276475227e-05
45,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.3725061,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.2770131112555563e-05
46,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.318145,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.3224389276475227e-05
47,0.98726386,1.8879957,-0.605991,0.97634614,3.5886726,2.351365,-1.3725061,0.9941797,3.6999435,0.99417984,3.7004154,-0.54905343,0.46320823,0.021801338,0.4632082,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,2.6920524,-0.25265446,-0.22256665,-0.061898455,-0.62333846,2.2545798,0,2.2770131112555563e-05
48,0.3494873,-0.8374482,-0.7559623,1.8648928,-0.33898476,-0.4964923,-0.15541871,0.9941797,-0.3175859,0.99417984,-0.3183049,-0.54905343,-0.10824888,-0.19345725,-0.10824886,-0.45056695,0.8670261,-0.3213848,0.6001959,0.6076606,0.6001959,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-0.8289416,0,3.0038190764002647e-05
49,0.3494873,-0.8374482,-0.7559623,0.97634614,-0.33898476,-0.4964923,-1.3150512,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,-0.10824888,-0.19345725,-0.10824886,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-0.8289416,0,7.658479032642395e-06
50,0.3494873,-0.8374482,-0.7559623,0.97634614,-0.33898476,-0.4964923,-0.24255866,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,-0.10824888,-0.19345725,-0.10824886,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-0.8289416,0,1.1308259624600157e-05
51,0.3494873,-0.8374482,-0.7559623,0.97634614,-0.33898476,-0.4964923,-0.9396789,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,-0.10824888,-0.19345725,-0.10824886,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-0.8289416,0,8.777709748251559e-06
52,0.3494873,-0.8374482,-0.7559623,0.97634614,-0.33898476,-0.4964923,1.151682,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,-0.10824888,-0.19345725,-0.10824886,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-0.8289416,0,1.87682537663335e-05
53,0.3494873,-0.8374482,-0.7559623,0.97634614,-0.33898476,-0.4964923,0.8031217,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,-0.10824888,-0.19345725,-0.10824886,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-0.8289416,0,1.6535486488381663e-05
54,0.3494873,-0.8374482,-0.7559623,0.97634614,-0.33898476,-0.4964923,0.10600154,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,-0.10824888,-0.19345725,-0.10824886,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-0.8289416,0,1.2835209045763748e-05
55,0.3494873,-0.8374482,-0.7559623,0.97634614,-0.33898476,-0.4964923,0.45456153,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,-0.10824888,-0.19345725,-0.10824886,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-0.8289416,0,1.4568337680718459e-05
56,0.3494873,-0.8374482,-0.7559623,0.97634614,-0.33898476,-0.4964923,-0.5911189,0.9941797,1.5572611,0.99417984,1.5570979,-0.54905343,-0.10824888,-0.19345725,-0.10824886,-0.45056695,0.8670261,-0.3213848,0.64405185,0.61868346,0.64405185,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-0.8289416,0,9.962962921703115e-06
57,0.3494873,-0.8374482,-0.7559623,-2.57784,-0.33898476,-0.4964923,1.2187127,0.9941797,0.21808472,0.99417984,0.21752442,-0.54905343,-0.10824888,-0.19345725,-0.10824886,-0.45056695,0.8670261,-0.3213848,0.52609444,0.5604197,0.52609444,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-1.1372938,0,7.97260955019775e-06
58,0.3494873,-0.8374482,-0.7559623,-0.20838265,-0.33898476,-0.4964923,0.5844981,0.9941797,-0.3175859,0.99417984,-0.3183049,-0.54905343,-0.39465702,-0.31219319,-0.39465705,-0.45056695,0.8670261,-0.3213848,-0.6202095,-0.32770917,-0.6202095,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-1.4456459,0,3.486681554905179e-05
59,0.3494873,-0.8374482,-0.7559623,-2.57784,-0.33898476,-0.4964923,1.2187127,0.9941797,0.21808472,0.99417984,0.21752442,-0.54905343,-0.39465702,-0.31219319,-0.39465705,-0.45056695,0.8670261,-0.3213848,0.52609444,0.5604197,0.52609444,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-1.1372938,0,6.293372876392669e-06
60,0.3494873,-0.8374482,-0.7559623,-2.57784,-0.33898476,-0.4964923,1.2187127,0.9941797,0.21808472,0.99417984,0.21752442,-0.54905343,-0.39465702,-0.31219319,-0.39465705,-0.45056695,0.8670261,-0.3213848,0.52609444,0.5604197,0.52609444,-0.6799923,-0.5818768,-0.22256665,-0.061898455,-0.62333846,-1.1372938,0,6.293372876392669e-06
61,0.98726386,-0.6893262,-0.7559623,-0.20838265,-0.3581017,-0.5892823,-1.3725061,0.9941797,-0.3175859,0.99417984,-0.3183049,-0.54905343,-0.39465702,-0.31219319,-0.39465705,-0.45056695,0.8670261,-0.3213848,-2.3230305,-2.4441013,-2.3230305,0.40486044,-0.54524153,-0.22256665,-0.061898455,-0.62333846,-1.4456459,0,0.0002970933660101355
62,0.98726386,-0.6893262,-0.7559623,-0.20838265,-0.3581017,-0.5892823,-1.3725061,0.9941797,-0.3175859,0.99417984,-0.3183049,-0.54905343,-0.39465702,-0.31219319,-0.39465705,-0.45056695,0.8670261,-0.3213848,-2.3230305,-2.4441013,-2.3230305,0.40486044,-0.54524153,-0.22256665,-0.061898455,-0.62333846,-1.4456459,0,0.0002970933660101355
63,0.98726386,-0.6893262,-0.7559623,-0.20838265,-0.3581017,-0.5892823,-1.3725061,0.9941797,-0.3175859,0.99417984,-0.3183049,-0.54905343,-0.39465702,-0.31219319,-0.39465705,-0.45056695,0.8670261,-0.3213848,-2.3230305,-2.4441013,-2.3230305,0.40486044,-0.54524153,-0.22256665,-0.061898455,-0.62333846,-1.4456459,0,0.0002970933660101355
64,0.98726386,-0.6893262,-0.7559623,-0.20838265,-0.3581017,-0.5892823,-1.3725061,0.9941797,-0.3175859,0.99417984,-0.3183049,-0.54905343,-0.39465702,-0.31219319,-0.39465705,-0.45056695,0.8670261,-0.3213848,-2.3230305,-2.4441013,-2.3230305,0.40486044,-0.54524153,-0.22256665,-0.061898455,-0.62333846,-1.4456459,0,0.0002970933660101355
65,0.98726386,-0.6893262,-0.7559623,-0.20838265,-0.3581017,-0.5892823,-1.3725061,0.9941797,-0.3175859,0.99417984,-0.3183049,-0.54905343,-0.39465702,-0.31219319,-0.39465705,-0.45056695,0.8670261,-0.3213848,-2.3230305,-2.4441013,-2.3230305,0.40486044,-0.54524153,-0.22256665,-0.061898455,-0.62333846,-1.4456459,0,0.0002970933660101355
66,0.98726386,-0.6893262,-0.7559623,-0.20838265,-0.3581017,-0.5892823,-1.3725061,0.9941797,-0.3175859,0.99417984,-0.3183049,-0.54905343,-0.39465702,-0.31219319,-0.39465705,-0.45056695,0.8670261,-0.3213848,-2.3230305,-2.4441013,-2.3230305,0.40486044,-0.54524153,-0.22256665,-0.061898455,-0.62333846,-1.4456459,0,0.0002970933660101355
