,F109,F116,F117,F110,F114,F115,F77,F46,F83,F74,F84,F146,F4,category,1
0,-0.3142887,1.4697074,-0.27012277,-0.2701228,-0.33035564,0.35380396,-1.8653866,0.76161027,-0.55039245,-0.49502158,-0.28990114,-0.2896863,-0.4454895,1,0.03444378335807751
1,-0.3142887,1.4697074,-0.27012277,-0.2701228,-0.33035564,-0.31939963,0.20701511,0.76161027,-0.5499616,-0.49409026,-0.28990114,-0.2896863,-0.4454895,0,0.008529069198617265
2,-0.3142887,1.4697074,-0.27012277,-0.2701228,-0.33035564,-0.31939963,0.59427494,0.76161027,-0.5499616,-0.49409026,-0.28990114,-0.2896863,-0.4454895,0,0.007385823373557271
3,-0.3142887,1.4697074,-0.27012277,-0.2701228,-0.33035564,0.35380396,-1.8653866,0.76161027,-0.55039245,-0.49502158,-0.28990114,-0.2896863,-0.4454895,0,0.03444378335807751
4,-0.88902456,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,-0.5445867,-0.32680726,-0.010732352,0.9697979,0.96864307,-0.4454895,0,3.0358545142493477e-05
5,-0.88902456,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,-0.5445867,0.75363916,2.3287573,6.9420576,6.932649,-0.4454895,0,4.102901172233663e-08
6,-0.88902456,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,-0.5445867,0.75363916,2.3287573,6.9420576,6.932649,-0.4454895,0,4.102901172233663e-08
7,0.15097365,-0.4835828,-0.23134618,-0.23134615,-0.495448,-0.31939963,0.7149429,1.0885307,-0.34748566,-0.05543597,-0.054154027,-0.054639872,-0.4454895,0,1.847879909453724e-05
8,-0.36902544,1.4697074,-0.08708645,-0.08708645,-0.495448,-0.31939963,0.7149429,1.0885307,-0.34748566,-0.05543597,-0.054154027,-0.054639872,-0.4454895,0,0.008075798163374236
9,2.0530756,-0.4835828,-0.27358633,-0.27358618,-0.495448,-0.31939963,-1.0287789,1.0885307,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,0.00011185103210908983
10,-1.0669188,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,1.0885307,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,4.463172549055996e-05
11,-0.8342877,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,1.0885307,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,5.062878806533588e-05
12,-0.36902544,-0.4835828,-0.25792032,-0.25792018,-0.495448,-0.31939963,-0.57452023,1.0885307,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,2.6138534351057576e-05
13,-0.36902544,-0.4835828,-0.25792032,-0.25792018,-0.495448,-0.31939963,-0.57452023,1.0885307,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,2.6138534351057576e-05
14,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.88460875,1.0885307,-0.5120512,-0.4121336,-0.054154027,-0.054639872,5.7477202,0,0.004062199477474903
15,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.88460875,1.0885307,-0.5120512,-0.4121336,-0.054154027,-0.054639872,3.683317,0,0.0007348252238908976
16,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.88460875,1.0885307,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,0.00013256230447928762
17,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.47630215,1.0885307,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,0.0001137629664291203
18,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.88460875,1.0885307,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,0.00013256230447928762
19,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.6040968,1.0885307,-0.5120512,-0.4121336,-0.054154027,-0.054639872,3.683317,0,0.000420846141721156
20,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.4858843,1.0885307,-0.5120512,-0.4121336,-0.054154027,-0.054639872,3.683317,0,0.00043989298013761093
