,F109,F116,F117,F110,F114,F115,F77,F46,F132,F83,F74,F84,F146,F4,category,1
0,-0.3142887,1.4697074,-0.27012277,-0.2701228,-0.33035564,0.35380396,-1.8653866,0.76161027,-0.22463416,-0.55039245,-0.49502158,-0.28990114,-0.2896863,-0.4454895,1,0.03944972248999888
1,-0.3142887,1.4697074,-0.27012277,-0.2701228,-0.33035564,-0.31939963,0.20701511,0.76161027,-0.22463416,-0.5499616,-0.49409026,-0.28990114,-0.2896863,-0.4454895,0,0.008926893604299487
2,-0.3142887,1.4697074,-0.27012277,-0.2701228,-0.33035564,-0.31939963,0.59427494,0.76161027,-0.22463416,-0.5499616,-0.49409026,-0.28990114,-0.2896863,-0.4454895,0,0.007587532986736292
3,-0.3142887,1.4697074,-0.27012277,-0.2701228,-0.33035564,0.35380396,-1.8653866,0.76161027,-0.22463416,-0.55039245,-0.49502158,-0.28990114,-0.2896863,-0.4454895,0,0.03944972248999888
4,-0.88902456,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,-0.5445867,1.8621305,-0.32680726,-0.010732352,0.9697979,0.96864307,-0.4454895,0,1.6180223452747294e-05
5,-0.88902456,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,-0.5445867,-0.9482703,0.75363916,2.3287573,6.9420576,6.932649,-0.4454895,0,1.7309131492020113e-08
6,-0.88902456,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,-0.5445867,-0.9482703,0.75363916,2.3287573,6.9420576,6.932649,-0.4454895,0,1.7309131492020113e-08
7,0.15097365,-0.4835828,-0.23134618,-0.23134615,-0.495448,-0.31939963,0.7149429,1.0885307,-0.8185809,-0.34748566,-0.05543597,-0.054154027,-0.054639872,-0.4454895,0,2.0681007617839093e-05
8,-0.36902544,1.4697074,-0.08708645,-0.08708645,-0.495448,-0.31939963,0.7149429,1.0885307,-0.8185809,-0.34748566,-0.05543597,-0.054154027,-0.054639872,-0.4454895,0,0.008989580612375718
9,2.0530756,-0.4835828,-0.27358633,-0.27358618,-0.495448,-0.31939963,-1.0287789,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,0.00014110677104291666
10,-1.0669188,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,4.781104050477641e-05
11,-0.8342877,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,5.443539350666894e-05
12,-0.36902544,-0.4835828,-0.25792032,-0.25792018,-0.495448,-0.31939963,-0.57452023,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,3.102559366832825e-05
13,-0.36902544,-0.4835828,-0.25792032,-0.25792018,-0.495448,-0.31939963,-0.57452023,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,3.102559366832825e-05
14,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.88460875,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,5.7477202,0,0.004451798049896756
15,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.88460875,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,3.683317,0,0.0008337982462527173
16,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.88460875,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,0.0001557061393198892
17,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.47630215,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,0.00013099700152726754
18,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.88460875,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,0.0001557061393198892
19,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.6040968,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,3.683317,0,0.00044419710831871675
20,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.4858843,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,3.683317,0,0.00046697722541130365
21,-0.88902456,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,1.0885307,-0.8185809,-0.5120512,-0.4121336,-0.054154027,-0.054639872,3.683317,0,0.00028286013910747707
