,F104,F105,F109,F79,F116,F117,F110,F114,F115,F77,F70,F40,F45,F46,F126,F38,F132,F134,F136,F83,F74,F84,F146,F4,category,1
0,0.09994058,0.6729433,-0.3142887,-0.996885,1.4697074,-0.27012277,-0.2701228,-0.33035564,0.35380396,-1.8653866,-1.8653866,-0.26982015,4.1753283,0.76161027,-0.36287746,-0.122323856,-0.22463416,-0.6386529,-0.22447047,-0.55039245,-0.49502158,-0.28990114,-0.2896863,-0.4454895,1,0.03344265192415015
1,-0.6223153,0.6729433,-0.3142887,-0.996885,1.4697074,-0.27012277,-0.2701228,-0.33035564,-0.31939963,0.20701511,0.20701511,-0.25641945,4.1753283,0.76161027,-0.109614834,-0.053874698,-0.22463416,-0.6386529,-0.22447047,-0.5499616,-0.49409026,-0.28990114,-0.2896863,-0.4454895,0,0.008835859781914708
2,-0.6223153,0.6729433,-0.3142887,-0.996885,1.4697074,-0.27012277,-0.2701228,-0.33035564,-0.31939963,0.59427494,0.59427494,-0.25641945,4.1753283,0.76161027,-0.109614834,-0.053874698,-0.22463416,-0.6386529,-0.22447047,-0.5499616,-0.49409026,-0.28990114,-0.2896863,-0.4454895,0,0.007134341221935241
3,0.09994058,0.6729433,-0.3142887,-0.996885,1.4697074,-0.27012277,-0.2701228,-0.33035564,0.35380396,-1.8653866,-1.8653866,-0.26982015,4.1753283,0.76161027,-0.36287746,-0.122323856,-0.22463416,-0.6386529,-0.22447047,-0.55039245,-0.49502158,-0.28990114,-0.2896863,-0.4454895,0,0.03344265192415015
4,1.4998387,0.6729433,-0.88902456,-0.996885,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,0.7149429,-0.3004012,-0.44548059,-0.5445867,-0.19491054,-0.16339336,1.8621305,-0.76972425,0.55001444,-0.32680726,-0.010732352,0.9697979,0.96864307,-0.4454895,0,4.4395010253709905e-06
5,-1.1280407,0.6729433,-0.88902456,-0.996885,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,0.7149429,-0.3004012,-0.44548059,-0.5445867,-0.34319383,-0.16339336,-0.9482703,-0.76972425,-0.9086253,0.75363916,2.3287573,6.9420576,6.932649,-0.4454895,0,1.7599237081257535e-07
6,-1.1280407,0.6729433,-0.88902456,-0.996885,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,0.7149429,-0.3004012,-0.44548059,-0.5445867,-0.34319383,-0.16339336,-0.9482703,-0.76972425,-0.9086253,0.75363916,2.3287573,6.9420576,6.932649,-0.4454895,0,1.7599237081257535e-07
7,-0.9441587,0.6729433,0.15097365,-0.35606685,-0.4835828,-0.23134618,-0.23134615,-0.495448,-0.31939963,0.7149429,0.7149429,-0.3004012,-0.40432134,1.0885307,-0.51378524,-0.16339336,-0.8185809,-0.5327876,-0.8049353,-0.34748566,-0.05543597,-0.054154027,-0.054639872,-0.4454895,0,2.8348003765916686e-05
8,-0.9441587,0.6729433,-0.36902544,-0.996885,1.4697074,-0.08708645,-0.08708645,-0.495448,-0.31939963,0.7149429,0.7149429,-0.3004012,-0.40432134,1.0885307,-0.51378524,-0.16339336,-0.8185809,-0.5327876,-0.8049353,-0.34748566,-0.05543597,-0.054154027,-0.054639872,-0.4454895,0,0.00950424795631244
9,0.42802542,-2.2197585,2.0530756,-0.35606685,-0.4835828,-0.27358633,-0.27358618,-0.495448,-0.31939963,-1.0287789,-1.0287789,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,0.00016454334502288598
10,0.42802542,0.6729433,-1.0669188,-0.35606685,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,0.7149429,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,1.2465157654922037e-05
11,0.42802542,0.6729433,-0.8342877,-0.35606685,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,0.7149429,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,1.3957013432557455e-05
12,0.42802542,0.6729433,-0.36902544,-0.35606685,-0.4835828,-0.25792032,-0.25792018,-0.495448,-0.31939963,-0.57452023,-0.57452023,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,1.1355265779942372e-05
13,0.42802542,0.6729433,-0.36902544,-0.35606685,-0.4835828,-0.25792032,-0.25792018,-0.495448,-0.31939963,-0.57452023,-0.57452023,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,1.1355265779942372e-05
14,0.42802542,0.6729433,-0.16376267,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.88460875,-0.88460875,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,5.7477202,0,0.0012269209011378404
15,0.42802542,-1.6691592,-0.16376267,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.88460875,-0.88460875,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,3.683317,0,0.0008220640718711362
16,0.42802542,-1.5070136,-0.16376267,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.88460875,-0.88460875,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,0.00018361150157271766
17,0.42802542,-1.3433014,-0.16376267,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.47630215,-0.47630215,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,0.0001361430253288513
18,0.42802542,-1.5070136,-0.16376267,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.88460875,-0.88460875,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,0.00018361150157271766
19,0.42802542,-1.8174922,-0.16376267,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.6040968,0.6040968,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,3.683317,0,0.0003831698684882562
20,0.42802542,-2.321745,-0.16376267,1.5663875,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.4858843,0.4858843,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,3.683317,0,0.0006247500195106235
21,0.42802542,0.6729433,-0.88902456,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,0.7149429,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,3.683317,0,8.493601071168772e-05
22,0.42802542,-0.576178,-0.88902456,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-1.6556208,-1.6556208,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,0.00013180041400511307
23,0.42802542,-0.38400543,-0.88902456,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-1.6556208,-1.6556208,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,2.9037311083069616e-05
24,0.42802542,0.07553738,-0.88902456,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.47630215,-0.47630215,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,1.230934850966491e-05
25,0.42802542,-0.38400543,-0.88902456,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-1.6556208,-1.6556208,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,2.9037311083069616e-05
26,0.42802542,-1.0445985,-0.88902456,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.6040968,0.6040968,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,4.600569593514586e-05
27,0.42802542,-1.4409542,-0.88902456,1.5663875,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.6040968,0.6040968,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,6.700052611529298e-05
28,0.42802542,-0.70109004,-0.8342877,0.9255693,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-1.0287789,-1.0287789,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,0.00010085875740142182
29,0.42802542,0.6729433,-0.8342877,1.5663875,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-1.0287789,-1.0287789,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,6.755348851769835e-05
30,0.42802542,0.6729433,-0.5469199,0.9255693,-0.4835828,-0.20097572,-0.20097569,-0.495448,-0.31939963,0.7149429,0.7149429,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,3.683317,0,0.0001453242010540117
31,0.42802542,-0.576178,-0.5469199,0.9255693,-0.4835828,-0.20097572,-0.20097569,-0.495448,-0.31939963,-1.6556208,-1.6556208,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,1.6189138,0,0.00022550095617556576
32,0.42802542,-0.38400543,-0.5469199,0.9255693,-0.4835828,-0.20097572,-0.20097569,-0.495448,-0.31939963,-1.6556208,-1.6556208,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,4.9684365069563515e-05
33,0.42802542,0.07553738,-0.5469199,0.9255693,-0.4835828,-0.20097572,-0.20097569,-0.495448,-0.31939963,-0.47630215,-0.47630215,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,2.1062192642791655e-05
34,0.42802542,-0.38400543,-0.5469199,0.9255693,-0.4835828,-0.20097572,-0.20097569,-0.495448,-0.31939963,-1.6556208,-1.6556208,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.4454895,0,4.9684365069563515e-05
