,F104,F105,F109,F79,F116,F117,F110,F114,F115,F77,F70,F40,F45,F46,F126,F38,F132,F134,F136,F83,F74,F84,F146,F6,F5,F4,category,1
0,0.09994058,0.6729433,-0.3142887,-0.996885,1.4697074,-0.27012277,-0.2701228,-0.33035564,0.35380396,-1.8653866,-1.8653866,-0.26982015,4.1753283,0.76161027,-0.36287746,-0.122323856,-0.22463416,-0.6386529,-0.22447047,-0.55039245,-0.49502158,-0.28990114,-0.2896863,-0.22758977,-0.27725005,-0.4454895,1,0.03497574807878854
1,-0.6223153,0.6729433,-0.3142887,-0.996885,1.4697074,-0.27012277,-0.2701228,-0.33035564,-0.31939963,0.20701511,0.20701511,-0.25641945,4.1753283,0.76161027,-0.109614834,-0.053874698,-0.22463416,-0.6386529,-0.22447047,-0.5499616,-0.49409026,-0.28990114,-0.2896863,-0.22758977,-0.27725005,-0.4454895,0,0.009238767793074086
2,-0.6223153,0.6729433,-0.3142887,-0.996885,1.4697074,-0.27012277,-0.2701228,-0.33035564,-0.31939963,0.59427494,0.59427494,-0.25641945,4.1753283,0.76161027,-0.109614834,-0.053874698,-0.22463416,-0.6386529,-0.22447047,-0.5499616,-0.49409026,-0.28990114,-0.2896863,-0.22758977,-0.27725005,-0.4454895,0,0.00748332309752494
3,0.09994058,0.6729433,-0.3142887,-0.996885,1.4697074,-0.27012277,-0.2701228,-0.33035564,0.35380396,-1.8653866,-1.8653866,-0.26982015,4.1753283,0.76161027,-0.36287746,-0.122323856,-0.22463416,-0.6386529,-0.22447047,-0.55039245,-0.49502158,-0.28990114,-0.2896863,-0.22758977,-0.27725005,-0.4454895,0,0.03497574807878854
4,1.4998387,0.6729433,-0.88902456,-0.996885,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,0.7149429,-0.3004012,-0.44548059,-0.5445867,-0.19491054,-0.16339336,1.8621305,-0.76972425,0.55001444,-0.32680726,-0.010732352,0.9697979,0.96864307,-0.22758977,-0.27725005,-0.4454895,0,4.850766629469222e-06
5,-1.1280407,0.6729433,-0.88902456,-0.996885,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,0.7149429,-0.3004012,-0.44548059,-0.5445867,-0.34319383,-0.16339336,-0.9482703,-0.76972425,-0.9086253,0.75363916,2.3287573,6.9420576,6.932649,-0.22758977,-0.27725005,-0.4454895,0,2.1175291045677437e-07
6,-1.1280407,0.6729433,-0.88902456,-0.996885,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.7149429,0.7149429,-0.3004012,-0.44548059,-0.5445867,-0.34319383,-0.16339336,-0.9482703,-0.76972425,-0.9086253,0.75363916,2.3287573,6.9420576,6.932649,-0.22758977,-0.27725005,-0.4454895,0,2.1175291045677437e-07
7,-0.9441587,0.6729433,0.15097365,-0.35606685,-0.4835828,-0.23134618,-0.23134615,-0.495448,-0.31939963,0.7149429,0.7149429,-0.3004012,-0.40432134,1.0885307,-0.51378524,-0.16339336,-0.8185809,-0.5327876,-0.8049353,-0.34748566,-0.05543597,-0.054154027,-0.054639872,-0.22758977,-0.27725005,-0.4454895,0,3.143958212188173e-05
8,-0.9441587,0.6729433,-0.36902544,-0.996885,1.4697074,-0.08708645,-0.08708645,-0.495448,-0.31939963,0.7149429,0.7149429,-0.3004012,-0.40432134,1.0885307,-0.51378524,-0.16339336,-0.8185809,-0.5327876,-0.8049353,-0.34748566,-0.05543597,-0.054154027,-0.054639872,-0.22758977,-0.27725005,-0.4454895,0,0.010115689552446511
9,0.42802542,-2.2197585,2.0530756,-0.35606685,-0.4835828,-0.27358633,-0.27358618,-0.495448,-0.31939963,-1.0287789,-1.0287789,5.815812,-0.40432134,1.0885307,0.383788,-0.060719617,-0.8185809,-0.5327876,-0.8049353,-0.5120512,-0.4121336,-0.054154027,-0.054639872,-0.22758977,-0.27725005,-0.4454895,0,0.00017291836094068445
