,F116,F117,F110,F114,F115,F84,F4,category,1
0,1.4697074,-0.27012277,-0.2701228,-0.33035564,0.35380396,-0.28990114,-0.4454895,1,0.012896428956207684
1,1.4697074,-0.27012277,-0.2701228,-0.33035564,-0.31939963,-0.28990114,-0.4454895,0,0.006758838967922538
2,1.4697074,-0.27012277,-0.2701228,-0.33035564,-0.31939963,-0.28990114,-0.4454895,0,0.006758838967922538
3,1.4697074,-0.27012277,-0.2701228,-0.33035564,0.35380396,-0.28990114,-0.4454895,0,0.012896428956207684
4,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,0.9697979,-0.4454895,0,6.849110259621225e-05
5,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,6.9420576,-0.4454895,0,5.416024875319856e-07
6,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,6.9420576,-0.4454895,0,5.416024875319856e-07
7,-0.4835828,-0.23134618,-0.23134615,-0.495448,-0.31939963,-0.054154027,-0.4454895,0,7.926517334119733e-06
8,1.4697074,-0.08708645,-0.08708645,-0.495448,-0.31939963,-0.054154027,-0.4454895,0,0.009120492928974247
9,-0.4835828,-0.27358633,-0.27358618,-0.495448,-0.31939963,-0.054154027,-0.4454895,0,7.280787240460372e-06
10,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,1.6189138,0,3.089831467020839e-05
11,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,1.6189138,0,3.089831467020839e-05
12,-0.4835828,-0.25792032,-0.25792018,-0.495448,-0.31939963,-0.054154027,-0.4454895,0,7.513898533821753e-06
13,-0.4835828,-0.25792032,-0.25792018,-0.495448,-0.31939963,-0.054154027,-0.4454895,0,7.513898533821753e-06
14,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,5.7477202,0,0.001037922828599794
15,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,3.683317,0,0.0001791448410538973
16,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,1.6189138,0,3.089831467020839e-05
17,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,1.6189138,0,3.089831467020839e-05
18,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,1.6189138,0,3.089831467020839e-05
19,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,3.683317,0,0.0001791448410538973
20,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,3.683317,0,0.0001791448410538973
21,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,3.683317,0,0.0001791448410538973
22,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,1.6189138,0,3.089831467020839e-05
23,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,-0.4454895,0,5.328585761579982e-06
24,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,-0.4454895,0,5.328585761579982e-06
25,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,-0.4454895,0,5.328585761579982e-06
26,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,1.6189138,0,3.089831467020839e-05
27,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,1.6189138,0,3.089831467020839e-05
28,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,1.6189138,0,3.089831467020839e-05
29,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.054154027,1.6189138,0,3.089831467020839e-05
30,-0.4835828,-0.20097572,-0.20097569,-0.495448,-0.31939963,-0.054154027,3.683317,0,0.0002832466272823942
31,-0.4835828,-0.20097572,-0.20097569,-0.495448,-0.31939963,-0.054154027,1.6189138,0,4.8857659029579555e-05
32,-0.4835828,-0.20097572,-0.20097569,-0.495448,-0.31939963,-0.054154027,-0.4454895,0,8.425899549918293e-06
33,-0.4835828,-0.20097572,-0.20097569,-0.495448,-0.31939963,-0.054154027,-0.4454895,0,8.425899549918293e-06
34,-0.4835828,-0.20097572,-0.20097569,-0.495448,-0.31939963,-0.054154027,-0.4454895,0,8.425899549918293e-06
35,-0.4835828,-0.20097572,-0.20097569,-0.495448,-0.31939963,-0.054154027,1.6189138,0,4.8857659029579555e-05
36,-0.4835828,-0.27358633,-0.27358618,-0.495448,-0.31939963,-0.3089514,-0.4454895,0,8.95066957376417e-06
37,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,3.683317,0,0.00022022386069691066
38,1.4697074,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,-0.4454895,0,0.005658514584517985
39,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,1.6189138,0,3.798478073757955e-05
40,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,-0.4454895,0,6.550724561417063e-06
41,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,-0.4454895,0,6.550724561417063e-06
42,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,1.6189138,0,3.798478073757955e-05
43,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,-0.4454895,0,6.550724561417063e-06
44,-0.4835828,-0.23134618,-0.23134615,-0.495448,-0.31939963,-0.3089514,-0.4454895,0,9.744499417130198e-06
45,-0.4835828,-0.23134618,-0.23134615,-0.495448,-0.31939963,-0.3089514,-0.4454895,0,9.744499417130198e-06
46,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,1.6189138,0,3.798478073757955e-05
47,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,1.6189138,0,3.798478073757955e-05
48,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,-0.4454895,0,6.550724561417063e-06
49,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,-0.4454895,0,6.550724561417063e-06
50,-0.4835828,-0.27358633,-0.27358618,-0.495448,-0.31939963,-0.3089514,-0.4454895,0,8.95066957376417e-06
51,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,-0.4454895,0,6.550724561417063e-06
52,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.3089514,1.6189138,0,3.798478073757955e-05
53,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.263707,-0.4454895,0,6.314883257818148e-06
54,1.4697074,-0.08708645,-0.08708645,-0.495448,-0.31939963,-0.263707,-0.4454895,0,0.01079045006755358
55,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.263707,-0.4454895,0,0.00018609070489872864
56,1.4697074,-0.08708645,-0.08708645,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.008667712518325625
57,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
58,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
59,-0.4835828,-0.27358633,-0.27358618,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,6.9161799037736126e-06
60,-0.4835828,-0.27358633,-0.27358618,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,6.9161799037736126e-06
61,1.4697074,-0.02496504,-0.024965132,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.009810201370741508
62,3.4229977,2.5467408,2.5467408,-0.17497432,6.4126368,-0.28990114,-0.4454895,1,0.9999990330102522
63,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
64,1.4697074,-0.32172576,-0.32172582,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.005424046024149236
65,1.4697074,-0.32172576,-0.32172582,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.005424046024149236
66,-0.4835828,-0.25792032,-0.25792018,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,7.137617530763867e-06
67,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,1.6189138,0,2.9351023271515185e-05
68,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,3.683317,0,0.0001701750885423034
69,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
70,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
71,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
72,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,1.6189138,0,2.9351023271515185e-05
73,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
74,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,1.6189138,0,2.9351023271515185e-05
75,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
76,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,1.6189138,0,2.9351023271515185e-05
77,1.4697074,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.004377954643808365
78,3.4229977,1.2795846,1.2795845,-0.17497432,1.3636094,-0.28990114,-0.4454895,1,0.9983538594859049
79,-0.4835828,2.5467408,2.5467408,-0.17497432,1.3636094,-0.28990114,-0.4454895,0,0.010179214548573581
80,-0.4835828,-0.4287542,-0.4287542,-0.17497432,1.3636094,-0.28990114,-0.4454895,0,2.5853197158810113e-05
81,-0.4835828,0.1735076,0.1735077,-0.17497432,1.3636094,-0.28990114,1.6189138,0,0.0005032980979919493
82,-0.4835828,2.5467408,2.5467408,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.002009373784135486
83,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,1.6189138,0,2.9351023271515185e-05
84,-0.4835828,-0.27358633,-0.27358618,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,6.9161799037736126e-06
85,-0.4835828,-0.27358633,-0.27358618,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,6.9161799037736126e-06
86,-0.4835828,-0.27358633,-0.27358618,-0.17497432,-0.31939963,-0.28990114,1.6189138,0,4.0103825770407964e-05
87,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
88,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
89,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
90,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
91,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
92,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
93,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
94,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
95,-0.4835828,-0.27358633,-0.27358618,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,6.9161799037736126e-06
96,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,1.6189138,0,2.9351023271515185e-05
97,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
98,-0.4835828,-0.2642475,-0.26424757,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,7.0473409717848285e-06
99,-0.4835828,-0.005736988,-0.0057369797,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,1.1854380124677364e-05
100,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,1.6189138,0,2.9351023271515185e-05
101,1.4697074,-0.08708645,-0.08708645,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.008667712518325625
102,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
103,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
104,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
105,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
106,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
107,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
108,1.4697074,-0.32172576,-0.32172582,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.005424046024149236
109,1.4697074,-0.32172576,-0.32172582,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.005424046024149236
110,-0.4835828,-0.30363646,-0.3036363,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,6.5104685248945756e-06
111,-0.4835828,-0.25792032,-0.25792018,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,7.137617530763867e-06
112,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
113,1.4697074,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.004377954643808365
114,-0.4835828,-0.4287542,-0.4287542,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,5.061740295344269e-06
115,-0.4835828,-0.23134618,-0.23134615,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,7.529573362790059e-06
116,1.4697074,-0.02496504,-0.024965132,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.009810201370741508
117,1.4697074,-0.32172576,-0.32172582,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.005424046024149236
118,1.4697074,-0.32172576,-0.32172582,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.005424046024149236
119,1.4697074,-0.32172576,-0.32172582,-0.17497432,-0.31939963,-0.28990114,1.6189138,0,0.030654753800749737
120,1.4697074,-0.32172576,-0.32172582,-0.17497432,-0.31939963,-0.28990114,-0.4454895,0,0.005424046024149236
121,1.4697074,-0.4287542,-0.4287542,-0.495448,-0.31939963,1.188876,-0.4454895,0,0.0016875684632776577
122,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,1.188876,-0.4454895,0,1.945894901246157e-06
123,1.4697074,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.263707,1.6189138,0,0.03083021600531936
124,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.263707,-0.4454895,0,6.314883257818148e-06
125,-0.4835828,0.72994506,0.7299452,-0.495448,-0.31939963,-0.263707,3.683317,0,0.0021798233930248982
126,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.263707,3.683317,0,0.00021229692321618295
127,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.263707,-0.4454895,0,6.314883257818148e-06
128,1.4697074,-0.02496504,-0.024965132,-0.495448,-0.31939963,-0.263707,-0.4454895,0,0.012209290387169752
129,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.263707,1.6189138,0,3.6617281820481114e-05
130,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.263707,-0.4454895,0,6.314883257818148e-06
