,F109,F116,F117,F110,F114,F115,F46,F84,F4,category,1
0,-0.3142887,1.4697074,-0.27012277,-0.2701228,-0.33035564,0.35380396,0.76161027,-0.28990114,-0.4454895,1,0.017198468000826334
1,-0.3142887,1.4697074,-0.27012277,-0.2701228,-0.33035564,-0.31939963,0.76161027,-0.28990114,-0.4454895,0,0.008762077148947313
2,-0.3142887,1.4697074,-0.27012277,-0.2701228,-0.33035564,-0.31939963,0.76161027,-0.28990114,-0.4454895,0,0.008762077148947313
3,-0.3142887,1.4697074,-0.27012277,-0.2701228,-0.33035564,0.35380396,0.76161027,-0.28990114,-0.4454895,0,0.017198468000826334
4,-0.88902456,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.5445867,0.9697979,-0.4454895,0,5.549674756931441e-05
5,-0.88902456,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.5445867,6.9420576,-0.4454895,0,1.0524535243607444e-06
6,-0.88902456,0.49306235,-0.4287542,-0.4287542,-0.495448,-0.31939963,-0.5445867,6.9420576,-0.4454895,0,1.0524535243607444e-06
7,0.15097365,-0.4835828,-0.23134618,-0.23134615,-0.495448,-0.31939963,1.0885307,-0.054154027,-0.4454895,0,2.3765383582605214e-05
8,-0.36902544,1.4697074,-0.08708645,-0.08708645,-0.495448,-0.31939963,1.0885307,-0.054154027,-0.4454895,0,0.013694549286205651
9,2.0530756,-0.4835828,-0.27358633,-0.27358618,-0.495448,-0.31939963,1.0885307,-0.054154027,-0.4454895,0,5.4947598067894776e-05
10,-1.0669188,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,1.0885307,-0.054154027,1.6189138,0,4.763585110956055e-05
11,-0.8342877,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,1.0885307,-0.054154027,1.6189138,0,5.3286195456567805e-05
12,-0.36902544,-0.4835828,-0.25792032,-0.25792018,-0.495448,-0.31939963,1.0885307,-0.054154027,-0.4454895,0,1.760804319353808e-05
13,-0.36902544,-0.4835828,-0.25792032,-0.25792018,-0.495448,-0.31939963,1.0885307,-0.054154027,-0.4454895,0,1.760804319353808e-05
14,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,1.0885307,-0.054154027,5.7477202,0,0.0019861174630818696
15,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,1.0885307,-0.054154027,3.683317,0,0.00038260269107676646
16,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,1.0885307,-0.054154027,1.6189138,0,7.360853150526737e-05
17,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,1.0885307,-0.054154027,1.6189138,0,7.360853150526737e-05
18,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,1.0885307,-0.054154027,1.6189138,0,7.360853150526737e-05
19,-0.16376267,-0.4835828,-0.4287542,-0.4287542,-0.495448,-0.31939963,1.0885307,-0.054154027,3.683317,0,0.00038260269107676646
