,F66,F69,F68,F109,F79,F112,F116,F118,F115,F43,F132,F135,F136,F18,category,1
0,-0.8318135,-0.47047913,-0.84985125,-1.1766456,0.22830538,0.05230195,1.7505759,-0.036545772,1.5003821,-0.178356,-0.911647,-0.80101824,-1.144233,-0.3384457,1,0.9966303626699055
1,-0.8318135,-0.47047913,-0.84985125,-0.8848052,1.5362606,0.05230195,1.7505759,-0.14218709,1.5003821,-0.178356,-0.911647,-0.80101824,-1.144233,-0.3384457,1,0.9983733288178919
2,-0.8318135,-0.47047913,-0.84985125,-0.8848052,1.5362606,0.05230195,1.7505759,-0.14218709,1.5003821,-0.178356,-0.911647,-0.80101824,-1.144233,-0.3384457,1,0.9983733288178919
3,-1.0439308,-0.31567305,-1.0523226,-0.009283644,0.22830538,-0.87700605,1.7505759,-0.4143329,1.5003821,-0.178356,-0.94376713,-1.0200937,-0.7012839,-0.3384457,1,0.987438862539668
4,-0.9119467,2.625642,-0.6811251,-1.2496058,0.22830538,1.4462639,1.7505759,-0.08766253,0.6910036,-0.178356,-0.68543905,-0.6864808,-0.6530113,-0.3384457,1,0.9776575753814893
5,-0.9119467,0.14874512,-0.6811251,-1.1766456,0.22830538,1.4462639,-0.9254915,-0.036545772,0.6910036,-0.178356,-0.68543905,-0.6864808,-0.6530113,-0.3384457,0,0.035016903581981375
6,-0.9119467,0.9227754,-0.6811251,-0.009283644,0.22830538,1.4462639,-0.9254915,-0.4143329,0.6910036,-0.178356,-0.68543905,-0.6864808,-0.6530113,-0.3384457,0,0.009798337219838582
7,-0.9119467,-0.47047913,-0.6811251,-0.5929647,-1.0796498,1.4462639,0.4125422,0.15438141,0.6910036,-0.178356,-0.68543905,-0.6864808,-0.6530113,-0.3384457,0,0.5772967113922004
8,-0.9119467,-0.47047913,-0.6811251,-1.3225659,0.22830538,1.4462639,1.7505759,-0.3083571,0.6910036,-0.178356,-0.68543905,-0.6864808,-0.6530113,-0.3384457,1,0.9963688274281035
9,-0.9119467,-0.47047913,-0.6811251,-0.5929647,-1.0796498,1.4462639,0.4125422,0.15438141,0.6910036,-0.178356,-0.68543905,-0.6864808,-0.6530113,-0.3384457,0,0.5772967113922004
10,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.24008493,-0.3175673,-0.083781056,2.9546845,0,0.018568353098833385
11,-0.16717936,-0.47047913,-0.27618235,-0.8848052,-1.0796498,-0.87700605,-0.25647464,0.21051858,-0.9277533,1.7066827,-0.24008493,-0.3175673,-0.083781056,-0.3384457,0,0.0005660665868518088
12,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,0.05230195,0.4125422,-0.4078659,-0.118374914,1.7066827,-0.24008493,-0.3175673,-0.083781056,-0.3384457,0,0.01135898019530473
13,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,-0.9277533,1.7066827,-0.24008493,-0.3175673,-0.083781056,2.9546845,0,0.00014353064807255076
14,-0.16717936,1.2323875,-0.27618235,0.039356392,1.5362606,0.9816101,1.7505759,2.770824,1.5003821,1.7066827,-0.24008493,-0.3175673,-0.083781056,-0.3384457,1,0.9995054461413451
15,-0.16717936,-0.160867,-0.27618235,0.039356392,0.22830538,0.9816101,1.7505759,2.770824,1.5003821,1.7066827,-0.24008493,-0.3175673,-0.083781056,-0.3384457,1,0.9994733644828403
16,-0.16717936,-0.47047913,-0.27618235,-0.8848052,-1.0796498,0.9816101,1.081559,0.21051858,1.5003821,1.7066827,-0.24008493,-0.3175673,-0.083781056,-0.3384457,1,0.9660510417812502
17,-0.16717936,2.935254,-0.27618235,-0.009283644,1.5362606,0.9816101,1.7505759,-0.4143329,1.5003821,1.7066827,-0.24008493,-0.3175673,-0.083781056,-0.3384457,1,0.9879671609951549
18,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,0.9816101,0.4125422,-0.4078659,1.5003821,1.7066827,-0.24008493,-0.3175673,-0.083781056,-0.3384457,0,0.4002942061176099
19,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.24008493,-0.3175673,-0.083781056,2.9546845,0,0.018568353098833385
20,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.24008493,-0.3175673,-0.083781056,2.9546845,0,0.018568353098833385
21,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.24008493,-0.3175673,-0.083781056,-0.3384457,0,0.11711355454452294
22,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,-0.9277533,1.7066827,-0.24008493,-0.3175673,-0.083781056,-0.3384457,0,0.0010054467860870495
23,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.24008493,-0.3175673,-0.083781056,2.9546845,0,0.018568353098833385
24,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.24008493,-0.3175673,-0.083781056,2.9546845,0,0.018568353098833385
25,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.24008493,-0.3175673,-0.083781056,2.9546845,0,0.018568353098833385
26,-0.16717936,-0.47047913,-0.27618235,-0.8848052,-1.0796498,-0.41235194,-0.25647464,0.21051858,0.2863143,1.7066827,-0.24008493,-0.3175673,-0.083781056,-0.3384457,0,0.009644778535479605
27,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.41235194,0.4125422,-0.4078659,0.2863143,1.7066827,-0.24008493,-0.3175673,-0.083781056,2.9546845,0,0.00246220482810251
28,-0.5348493,1.5419996,-0.37741804,0.6473575,0.22830538,-0.87700605,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.38952342,-0.46422365,-0.16526516,-0.3384457,0,2.8931040038353232e-05
