,F66,F69,F68,F109,F79,F112,F116,F118,F115,F43,F130,F132,F135,F136,F18,category,1
0,-0.8318135,-0.47047913,-0.84985125,-1.1766456,0.22830538,0.05230195,1.7505759,-0.036545772,1.5003821,-0.178356,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.3384457,1,0.9934000640783124
1,-0.8318135,-0.47047913,-0.84985125,-0.8848052,1.5362606,0.05230195,1.7505759,-0.14218709,1.5003821,-0.178356,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.3384457,1,0.9968838152451217
2,-0.8318135,-0.47047913,-0.84985125,-0.8848052,1.5362606,0.05230195,1.7505759,-0.14218709,1.5003821,-0.178356,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.3384457,1,0.9968838152451217
3,-1.0439308,-0.31567305,-1.0523226,-0.009283644,0.22830538,-0.87700605,1.7505759,-0.4143329,1.5003821,-0.178356,-0.08835452,-0.94376713,-1.0200937,-0.7012839,-0.3384457,1,0.9878527417517965
4,-0.9119467,2.625642,-0.6811251,-1.2496058,0.22830538,1.4462639,1.7505759,-0.08766253,0.6910036,-0.178356,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.3384457,1,0.9679655943487293
5,-0.9119467,0.14874512,-0.6811251,-1.1766456,0.22830538,1.4462639,-0.9254915,-0.036545772,0.6910036,-0.178356,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.3384457,0,0.023159017775636906
6,-0.9119467,0.9227754,-0.6811251,-0.009283644,0.22830538,1.4462639,-0.9254915,-0.4143329,0.6910036,-0.178356,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.3384457,0,0.00625447061366969
7,-0.9119467,-0.47047913,-0.6811251,-0.5929647,-1.0796498,1.4462639,0.4125422,0.15438141,0.6910036,-0.178356,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.3384457,0,0.4902492354964516
8,-0.9119467,-0.47047913,-0.6811251,-1.3225659,0.22830538,1.4462639,1.7505759,-0.3083571,0.6910036,-0.178356,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.3384457,1,0.9952746817136449
9,-0.9119467,-0.47047913,-0.6811251,-0.5929647,-1.0796498,1.4462639,0.4125422,0.15438141,0.6910036,-0.178356,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.3384457,0,0.4902492354964516
10,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.28278732,-0.24008493,-0.3175673,-0.083781056,2.9546845,0,0.015316236655984706
11,-0.16717936,-0.47047913,-0.27618235,-0.8848052,-1.0796498,-0.87700605,-0.25647464,0.21051858,-0.9277533,1.7066827,-0.18557094,-0.24008493,-0.3175673,-0.083781056,-0.3384457,0,0.0005064930652463325
12,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,0.05230195,0.4125422,-0.4078659,-0.118374914,1.7066827,0.005915924,-0.24008493,-0.3175673,-0.083781056,-0.3384457,0,0.010029405180209013
13,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,-0.9277533,1.7066827,-0.38294968,-0.24008493,-0.3175673,-0.083781056,2.9546845,0,0.00012686156359268286
