,F66,F69,F68,F109,F79,F112,F116,F118,F115,F43,F45,F130,F132,F135,F136,F83,F18,category,1
0,-0.8318135,-0.47047913,-0.84985125,-1.1766456,0.22830538,0.05230195,1.7505759,-0.036545772,1.5003821,-0.178356,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.3384457,1,0.9905493198522738
1,-0.8318135,-0.47047913,-0.84985125,-0.8848052,1.5362606,0.05230195,1.7505759,-0.14218709,1.5003821,-0.178356,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.3384457,1,0.9949897928823053
2,-0.8318135,-0.47047913,-0.84985125,-0.8848052,1.5362606,0.05230195,1.7505759,-0.14218709,1.5003821,-0.178356,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.3384457,1,0.9949897928823053
3,-1.0439308,-0.31567305,-1.0523226,-0.009283644,0.22830538,-0.87700605,1.7505759,-0.4143329,1.5003821,-0.178356,-0.36895445,-0.08835452,-0.94376713,-1.0200937,-0.7012839,1.6554317,-0.3384457,1,0.9955693567060409
4,-0.9119467,2.625642,-0.6811251,-1.2496058,0.22830538,1.4462639,1.7505759,-0.08766253,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.3384457,1,0.961985990297777
5,-0.9119467,0.14874512,-0.6811251,-1.1766456,0.22830538,1.4462639,-0.9254915,-0.036545772,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.3384457,0,0.017759571733678935
6,-0.9119467,0.9227754,-0.6811251,-0.009283644,0.22830538,1.4462639,-0.9254915,-0.4143329,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.3384457,0,0.0042611587983585044
7,-0.9119467,-0.47047913,-0.6811251,-0.5929647,-1.0796498,1.4462639,0.4125422,0.15438141,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.3384457,0,0.4572831904353968
8,-0.9119467,-0.47047913,-0.6811251,-1.3225659,0.22830538,1.4462639,1.7505759,-0.3083571,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.3384457,1,0.9947552424598224
9,-0.9119467,-0.47047913,-0.6811251,-0.5929647,-1.0796498,1.4462639,0.4125422,0.15438141,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.3384457,0,0.4572831904353968
10,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.12711412,-0.28278732,-0.24008493,-0.3175673,-0.083781056,1.6345379,2.9546845,0,0.028715767669407616
11,-0.16717936,-0.47047913,-0.27618235,-0.8848052,-1.0796498,-0.87700605,-0.25647464,0.21051858,-0.9277533,1.7066827,-0.12711412,-0.18557094,-0.24008493,-0.3175673,-0.083781056,1.6345379,-0.3384457,0,0.0014677334371384146
12,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,0.05230195,0.4125422,-0.4078659,-0.118374914,1.7066827,-0.12711412,0.005915924,-0.24008493,-0.3175673,-0.083781056,-0.5300511,-0.3384457,0,0.0074565353875440405
13,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,-0.9277533,1.7066827,-0.12711412,-0.38294968,-0.24008493,-0.3175673,-0.083781056,-0.5958663,2.9546845,0,7.989307353132043e-05
14,-0.16717936,1.2323875,-0.27618235,0.039356392,1.5362606,0.9816101,1.7505759,2.770824,1.5003821,1.7066827,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.3384457,1,0.9993205710145795
15,-0.16717936,-0.160867,-0.27618235,0.039356392,0.22830538,0.9816101,1.7505759,2.770824,1.5003821,1.7066827,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.3384457,1,0.999375964081805
16,-0.16717936,-0.47047913,-0.27618235,-0.8848052,-1.0796498,0.9816101,1.081559,0.21051858,1.5003821,1.7066827,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.3384457,1,0.9594095264209082
17,-0.16717936,2.935254,-0.27618235,-0.009283644,1.5362606,0.9816101,1.7505759,-0.4143329,1.5003821,1.7066827,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.3384457,1,0.9797320815338108
18,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,0.9816101,0.4125422,-0.4078659,1.5003821,1.7066827,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.3384457,0,0.29760493665679594
19,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.12711412,-0.27689543,-0.24008493,-0.3175673,-0.083781056,-0.4611018,2.9546845,0,0.009191236010041475
20,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.12711412,0.18856493,-0.24008493,-0.3175673,-0.083781056,-0.5958663,2.9546845,0,0.010242508970086656
21,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.12711412,-0.15611142,-0.24008493,-0.3175673,-0.083781056,0.5073219,-0.3384457,0,0.11441057210392486
22,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,-0.9277533,1.7066827,-0.12711412,-0.28573328,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.3384457,0,0.000644133094927111
23,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.12711412,-0.33581445,-0.24008493,-0.3175673,-0.083781056,-0.5958663,2.9546845,0,0.008340504199932064
24,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.12711412,-0.28867924,-0.24008493,-0.3175673,-0.083781056,-0.5958663,2.9546845,0,0.008496075266331182
25,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,1.7066827,-0.12711412,0.03537544,-0.24008493,-0.3175673,-0.083781056,0.07273262,2.9546845,0,0.013912737667860437
26,-0.16717936,-0.47047913,-0.27618235,-0.8848052,-1.0796498,-0.41235194,-0.25647464,0.21051858,0.2863143,1.7066827,-0.12711412,0.17383517,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.3384457,0,0.007256102843411175
27,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.41235194,0.4125422,-0.4078659,0.2863143,1.7066827,-0.12711412,0.17383517,-0.24008493,-0.3175673,-0.083781056,-0.5958663,2.9546845,0,0.0014764409048093243
28,-0.5348493,1.5419996,-0.37741804,0.6473575,0.22830538,-0.87700605,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.36895445,1.2991887,-0.38952342,-0.46422365,-0.16526516,0.5167241,-0.3384457,0,5.583790629750013e-05
29,-0.5348493,0.30355117,-0.37741804,0.6473575,0.22830538,-0.41235194,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.36895445,0.4595925,-0.38952342,-0.46422365,-0.16526516,-0.5958663,-0.3384457,0,7.410472100537787e-05
30,-0.5348493,4.483315,-0.37741804,0.6473575,0.22830538,-0.41235194,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.36895445,0.4595925,-0.38952342,-0.46422365,-0.16526516,-0.5958663,-0.3384457,0,4.170191465299217e-06
31,-0.5348493,-0.47047913,-0.37741804,0.6473575,0.22830538,-0.41235194,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.56265277,-0.38952342,-0.46422365,-0.16526516,1.6334933,-0.3384457,0,0.00028988523676846094
32,-0.5348493,-0.31567305,-0.37741804,0.6473575,0.22830538,-0.41235194,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.56265277,-0.38952342,-0.46422365,-0.16526516,1.6334933,-0.3384457,0,0.0002605870847968164
33,-0.5348493,0.30355117,-0.37741804,0.6473575,0.22830538,-0.41235194,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.3770578,-0.38952342,-0.46422365,-0.16526516,1.6334933,-0.3384457,0,0.00018311068207826965
34,-0.5348493,-0.160867,-0.37741804,0.6473575,0.22830538,-0.41235194,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.3770578,-0.38952342,-0.46422365,-0.16526516,1.6334933,-0.3384457,0,0.0002520818150699524
35,-0.5348493,0.30355117,-0.37741804,0.6473575,0.22830538,-0.41235194,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.38000372,-0.38952342,-0.46422365,-0.16526516,0.034079242,-0.3384457,0,7.538586020263083e-05
36,-0.5348493,0.30355117,-0.37741804,0.6473575,0.22830538,-0.41235194,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.38000372,-0.38952342,-0.46422365,-0.16526516,0.034079242,-0.3384457,0,7.538586020263083e-05
37,-0.5348493,-0.47047913,-0.37741804,0.6473575,0.22830538,-0.41235194,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.36895445,0.032429487,-0.38952342,-0.46422365,-0.16526516,1.6334933,-0.3384457,0,0.00036675987278042213
38,-0.5348493,-0.31567305,-0.37741804,0.6473575,0.22830538,-0.41235194,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.36895445,0.032429487,-0.38952342,-0.46422365,-0.16526516,1.6334933,-0.3384457,0,0.00032969470924223726
39,-0.5348493,-0.47047913,-0.37741804,0.6473575,0.22830538,-0.87700605,-0.9254915,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.33286852,-0.38952342,-0.46422365,-0.16526516,1.5133544,-0.3384457,0,0.000203329769714681
40,-0.6196962,-0.47047913,-0.6811251,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,-0.178356,-0.36895445,-0.68049085,-0.7120919,-0.7296596,-0.62057215,0.5386625,-0.3384457,0,0.14705222254176153
41,-0.6196962,-0.47047913,-0.6811251,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,-0.178356,-0.36895445,-0.008813834,-0.7120919,-0.7296596,-0.62057215,-0.5300511,-0.3384457,0,0.1106007905141681
42,-0.6196962,6.960212,-0.6811251,-1.3468859,0.22830538,-0.87700605,1.7505759,-0.632908,1.5003821,-0.178356,-0.36895445,0.0501052,-0.7120919,-0.7296596,-0.62057215,0.7726721,-0.3384457,0,0.5814938722140649
43,-0.6196962,-0.47047913,-0.6811251,1.571519,-1.0796498,-0.87700605,0.4125422,-0.4078659,-0.9277533,-0.178356,-0.36895445,-0.40946326,-0.7120919,-0.7296596,-0.62057215,1.6303593,-0.3384457,0,0.0033898929462055304
