,F66,F69,F68,F109,F79,F112,F113,F116,F117,F118,F115,F43,F45,F130,F132,F135,F136,F83,F18,category,1
0,-0.8318135,-0.47047913,-0.84985125,-1.1766456,0.22830538,0.05230195,0.21042407,1.7505759,-0.9256777,-0.036545772,1.5003821,-0.178356,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.3384457,1,0.9791139343969072
1,-0.8318135,-0.47047913,-0.84985125,-0.8848052,1.5362606,0.05230195,1.5402172,1.7505759,-1.0091739,-0.14218709,1.5003821,-0.178356,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.3384457,1,0.9914292638335556
2,-0.8318135,-0.47047913,-0.84985125,-0.8848052,1.5362606,0.05230195,1.5402172,1.7505759,-1.0091739,-0.14218709,1.5003821,-0.178356,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.3384457,1,0.9914292638335556
3,-1.0439308,-0.31567305,-1.0523226,-0.009283644,0.22830538,-0.87700605,0.21042407,1.7505759,-0.62747735,-0.4143329,1.5003821,-0.178356,-0.36895445,-0.08835452,-0.94376713,-1.0200937,-0.7012839,1.6554317,-0.3384457,1,0.9901338245996986
4,-0.9119467,2.625642,-0.6811251,-1.2496058,0.22830538,1.4462639,0.21042407,1.7505759,1.3287169,-0.08766253,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.3384457,1,0.9848766966352007
5,-0.9119467,0.14874512,-0.6811251,-1.1766456,0.22830538,1.4462639,0.21042407,-0.9254915,-0.9256777,-0.036545772,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.3384457,0,0.00800513690048739
6,-0.9119467,0.9227754,-0.6811251,-0.009283644,0.22830538,1.4462639,0.21042407,-0.9254915,-0.62747735,-0.4143329,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.3384457,0,0.002377702352479374
7,-0.9119467,-0.47047913,-0.6811251,-0.5929647,-1.0796498,1.4462639,-1.119369,0.4125422,1.0573546,0.15438141,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.3384457,0,0.4951193588019437
8,-0.9119467,-0.47047913,-0.6811251,-1.3225659,0.22830538,1.4462639,0.21042407,1.7505759,0.32676378,-0.3083571,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.3384457,1,0.9953973591971733
9,-0.9119467,-0.47047913,-0.6811251,-0.5929647,-1.0796498,1.4462639,-1.119369,0.4125422,1.0573546,0.15438141,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.3384457,0,0.4951193588019437
10,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.5003821,1.7066827,-0.12711412,-0.28278732,-0.24008493,-0.3175673,-0.083781056,1.6345379,2.9546845,0,0.02697664445637905
11,-0.16717936,-0.47047913,-0.27618235,-0.8848052,-1.0796498,-0.87700605,-0.45447248,-0.25647464,0.1597715,0.21051858,-0.9277533,1.7066827,-0.12711412,-0.18557094,-0.24008493,-0.3175673,-0.083781056,1.6345379,-0.3384457,0,0.0016153026888708459
12,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,0.05230195,-1.119369,0.4125422,1.2514312,-0.4078659,-0.118374914,1.7066827,-0.12711412,0.005915924,-0.24008493,-0.3175673,-0.083781056,-0.5300511,-0.3384457,0,0.011454848741130836
13,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,-0.9277533,1.7066827,-0.12711412,-0.38294968,-0.24008493,-0.3175673,-0.083781056,-0.5958663,2.9546845,0,0.00014593707869693865
