,F66,F69,F68,F109,F79,F112,F113,F116,F117,F118,F115,F43,F45,F130,F132,F135,F136,F83,F16,F18,F15,category,1
0,-0.8318135,-0.47047913,-0.84985125,-1.1766456,0.22830538,0.05230195,0.21042407,1.7505759,-0.9256777,-0.036545772,1.5003821,-0.178356,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.5138059,-0.3384457,-0.5440433,1,0.9771608988457704
1,-0.8318135,-0.47047913,-0.84985125,-0.8848052,1.5362606,0.05230195,1.5402172,1.7505759,-1.0091739,-0.14218709,1.5003821,-0.178356,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.5138059,-0.3384457,-0.5440433,1,0.9911000110493792
2,-0.8318135,-0.47047913,-0.84985125,-0.8848052,1.5362606,0.05230195,1.5402172,1.7505759,-1.0091739,-0.14218709,1.5003821,-0.178356,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.5138059,-0.3384457,-0.5440433,1,0.9911000110493792
3,-1.0439308,-0.31567305,-1.0523226,-0.009283644,0.22830538,-0.87700605,0.21042407,1.7505759,-0.62747735,-0.4143329,1.5003821,-0.178356,-0.36895445,-0.08835452,-0.94376713,-1.0200937,-0.7012839,1.6554317,-0.5138059,-0.3384457,-0.5440433,1,0.9882702459070725
4,-0.9119467,2.625642,-0.6811251,-1.2496058,0.22830538,1.4462639,0.21042407,1.7505759,1.3287169,-0.08766253,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.5138059,-0.3384457,-0.5440433,1,0.9840080691430966
5,-0.9119467,0.14874512,-0.6811251,-1.1766456,0.22830538,1.4462639,0.21042407,-0.9254915,-0.9256777,-0.036545772,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.5138059,-0.3384457,-0.5440433,0,0.006726409322341164
6,-0.9119467,0.9227754,-0.6811251,-0.009283644,0.22830538,1.4462639,0.21042407,-0.9254915,-0.62747735,-0.4143329,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.5138059,-0.3384457,-0.5440433,0,0.0020597332551611646
7,-0.9119467,-0.47047913,-0.6811251,-0.5929647,-1.0796498,1.4462639,-1.119369,0.4125422,1.0573546,0.15438141,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,1.9089866,-0.3384457,1.8380892,0,0.5261031412068763
8,-0.9119467,-0.47047913,-0.6811251,-1.3225659,0.22830538,1.4462639,0.21042407,1.7505759,0.32676378,-0.3083571,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.5138059,-0.3384457,-0.5440433,1,0.9948602558679353
9,-0.9119467,-0.47047913,-0.6811251,-0.5929647,-1.0796498,1.4462639,-1.119369,0.4125422,1.0573546,0.15438141,0.6910036,-0.178356,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,1.9089866,-0.3384457,1.8380892,0,0.5261031412068763
10,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.5003821,1.7066827,-0.12711412,-0.28278732,-0.24008493,-0.3175673,-0.083781056,1.6345379,-0.5138059,2.9546845,-0.5440433,0,0.024927301529411947
11,-0.16717936,-0.47047913,-0.27618235,-0.8848052,-1.0796498,-0.87700605,-0.45447248,-0.25647464,0.1597715,0.21051858,-0.9277533,1.7066827,-0.12711412,-0.18557094,-0.24008493,-0.3175673,-0.083781056,1.6345379,-0.5138059,-0.3384457,-0.5440433,0,0.0014481676545070612
12,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,0.05230195,-1.119369,0.4125422,1.2514312,-0.4078659,-0.118374914,1.7066827,-0.12711412,0.005915924,-0.24008493,-0.3175673,-0.083781056,-0.5300511,-0.5138059,-0.3384457,-0.5440433,0,0.010666195367099994
13,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,-0.9277533,1.7066827,-0.12711412,-0.38294968,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,2.9546845,-0.5440433,0,0.0001521144698739773
14,-0.16717936,1.2323875,-0.27618235,0.039356392,1.5362606,0.9816101,1.5402172,1.7505759,0.3843472,2.770824,1.5003821,1.7066827,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,-0.3384457,-0.5440433,1,0.9992615255710693
15,-0.16717936,-0.160867,-0.27618235,0.039356392,0.22830538,0.9816101,0.21042407,1.7505759,0.3843472,2.770824,1.5003821,1.7066827,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,-0.3384457,-0.5440433,1,0.9989138009373015
16,-0.16717936,-0.47047913,-0.27618235,-0.8848052,-1.0796498,0.9816101,-0.45447248,1.081559,0.1597715,0.21051858,1.5003821,1.7066827,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,-0.3384457,-0.5440433,1,0.9331460881595495
17,-0.16717936,2.935254,-0.27618235,-0.009283644,1.5362606,0.9816101,1.5402172,1.7505759,-0.62747735,-0.4143329,1.5003821,1.7066827,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,-0.3384457,-0.5440433,1,0.9736278485379448
18,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,0.9816101,-1.119369,0.4125422,1.2514312,-0.4078659,1.5003821,1.7066827,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,-0.3384457,-0.5440433,0,0.2725620833409483
19,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.5003821,1.7066827,-0.12711412,-0.27689543,-0.24008493,-0.3175673,-0.083781056,-0.4611018,-0.5138059,2.9546845,-0.5440433,0,0.0091953823823155
20,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.5003821,1.7066827,-0.12711412,0.18856493,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,2.9546845,-0.5440433,0,0.01006252441034939
21,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.5003821,1.7066827,-0.12711412,-0.15611142,-0.24008493,-0.3175673,-0.083781056,0.5073219,-0.5138059,-0.3384457,-0.5440433,0,0.10627878633347075
22,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,-0.9277533,1.7066827,-0.12711412,-0.28573328,-0.24008493,-0.3175673,-0.083781056,-0.5958663,1.9089866,-0.3384457,1.8380892,0,0.0016245464976727157
23,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.5003821,1.7066827,-0.12711412,-0.33581445,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,2.9546845,-0.5440433,0,0.008451820607872577
24,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.5003821,1.7066827,-0.12711412,-0.28867924,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,2.9546845,-0.5440433,0,0.008585483820912222
25,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.5003821,1.7066827,-0.12711412,0.03537544,-0.24008493,-0.3175673,-0.083781056,0.07273262,-0.5138059,2.9546845,-0.5440433,0,0.01317267307217286
26,-0.16717936,-0.47047913,-0.27618235,-0.8848052,-1.0796498,-0.41235194,-0.45447248,-0.25647464,0.1597715,0.21051858,0.2863143,1.7066827,-0.12711412,0.17383517,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,-0.3384457,-0.5440433,0,0.005879292123569121
27,-0.16717936,-0.47047913,-0.27618235,1.571519,-1.0796498,-0.41235194,-1.119369,0.4125422,1.2514312,-0.4078659,0.2863143,1.7066827,-0.12711412,0.17383517,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,2.9546845,-0.5440433,0,0.0019492944246988534
28,-0.5348493,1.5419996,-0.37741804,0.6473575,0.22830538,-0.87700605,0.21042407,-0.9254915,-0.779811,-0.45086932,-0.9277533,-0.178356,-0.36895445,1.2991887,-0.38952342,-0.46422365,-0.16526516,0.5167241,1.9089866,-0.3384457,1.8380892,0,4.626102682887993e-05
29,-0.5348493,0.30355117,-0.37741804,0.6473575,0.22830538,-0.41235194,0.21042407,-0.9254915,-0.779811,-0.45086932,-0.9277533,-0.178356,-0.36895445,0.4595925,-0.38952342,-0.46422365,-0.16526516,-0.5958663,-0.5138059,-0.3384457,-0.5440433,0,4.6688501493657905e-05
30,-0.5348493,4.483315,-0.37741804,0.6473575,0.22830538,-0.41235194,0.21042407,-0.9254915,-0.779811,-0.45086932,-0.9277533,-0.178356,-0.36895445,0.4595925,-0.38952342,-0.46422365,-0.16526516,-0.5958663,-0.5138059,-0.3384457,-0.5440433,0,3.518620716671898e-06
31,-0.5348493,-0.47047913,-0.37741804,0.6473575,0.22830538,-0.41235194,0.21042407,-0.9254915,-0.779811,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.56265277,-0.38952342,-0.46422365,-0.16526516,1.6334933,1.9089866,-0.3384457,1.8380892,0,0.00021173546165206784
32,-0.5348493,-0.31567305,-0.37741804,0.6473575,0.22830538,-0.41235194,0.21042407,-0.9254915,-0.779811,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.56265277,-0.38952342,-0.46422365,-0.16526516,1.6334933,-0.5138059,-0.3384457,-0.5440433,0,0.00014305650233421564
33,-0.5348493,0.30355117,-0.37741804,0.6473575,0.22830538,-0.41235194,0.21042407,-0.9254915,-0.779811,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.3770578,-0.38952342,-0.46422365,-0.16526516,1.6334933,-0.5138059,-0.3384457,-0.5440433,0,0.0001038097747053583
34,-0.5348493,-0.160867,-0.37741804,0.6473575,0.22830538,-0.41235194,0.21042407,-0.9254915,-0.779811,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.3770578,-0.38952342,-0.46422365,-0.16526516,1.6334933,1.9089866,-0.3384457,1.8380892,0,0.00018607707459010098
35,-0.5348493,0.30355117,-0.37741804,0.6473575,0.22830538,-0.41235194,0.21042407,-0.9254915,-0.779811,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.38000372,-0.38952342,-0.46422365,-0.16526516,0.034079242,-0.5138059,-0.3384457,-0.5440433,0,4.778830422421365e-05
36,-0.5348493,0.30355117,-0.37741804,0.6473575,0.22830538,-0.41235194,0.21042407,-0.9254915,-0.779811,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.38000372,-0.38952342,-0.46422365,-0.16526516,0.034079242,-0.5138059,-0.3384457,-0.5440433,0,4.778830422421365e-05
37,-0.5348493,-0.47047913,-0.37741804,0.6473575,0.22830538,-0.41235194,0.21042407,-0.9254915,-0.779811,-0.45086932,-0.9277533,-0.178356,-0.36895445,0.032429487,-0.38952342,-0.46422365,-0.16526516,1.6334933,-0.5138059,-0.3384457,-0.5440433,0,0.0001922409170837506
38,-0.5348493,-0.31567305,-0.37741804,0.6473575,0.22830538,-0.41235194,0.21042407,-0.9254915,-0.779811,-0.45086932,-0.9277533,-0.178356,-0.36895445,0.032429487,-0.38952342,-0.46422365,-0.16526516,1.6334933,-0.5138059,-0.3384457,-0.5440433,0,0.0001746892511803073
39,-0.5348493,-0.47047913,-0.37741804,0.6473575,0.22830538,-0.87700605,0.21042407,-0.9254915,-0.779811,-0.45086932,-0.9277533,-0.178356,-0.36895445,-0.33286852,-0.38952342,-0.46422365,-0.16526516,1.5133544,-0.5138059,-0.3384457,-0.5440433,0,0.00011189245684123004
40,-0.6196962,-0.47047913,-0.6811251,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.5003821,-0.178356,-0.36895445,-0.68049085,-0.7120919,-0.7296596,-0.62057215,0.5386625,1.9089866,-0.3384457,1.8380892,0,0.1752499376511794
41,-0.6196962,-0.47047913,-0.6811251,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.5003821,-0.178356,-0.36895445,-0.008813834,-0.7120919,-0.7296596,-0.62057215,-0.5300511,1.9089866,-0.3384457,1.8380892,0,0.13692188525583115
42,-0.6196962,6.960212,-0.6811251,-1.3468859,0.22830538,-0.87700605,0.21042407,1.7505759,1.9966856,-0.632908,1.5003821,-0.178356,-0.36895445,0.0501052,-0.7120919,-0.7296596,-0.62057215,0.7726721,-0.5138059,-0.3384457,-0.5440433,0,0.8592479634156236
