,F66,F69,F68,F95,F109,F79,F112,F113,F116,F117,F118,F114,F115,F43,F42,F45,F130,F132,F135,F136,F83,F16,F18,F15,category,1
0,-0.8318135,-0.47047913,-0.84985125,0.052302018,-1.1766456,0.22830538,0.05230195,0.21042407,1.7505759,-0.9256777,-0.036545772,2.4960704,1.5003821,-0.178356,-0.38885123,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.5138059,-0.3384457,-0.5440433,1,0.9931077413916962
1,-0.8318135,-0.47047913,-0.84985125,0.052302018,-0.8848052,1.5362606,0.05230195,1.5402172,1.7505759,-1.0091739,-0.14218709,2.4960704,1.5003821,-0.178356,-0.38885123,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.5138059,-0.3384457,-0.5440433,1,0.9976406253265204
2,-0.8318135,-0.47047913,-0.84985125,0.052302018,-0.8848052,1.5362606,0.05230195,1.5402172,1.7505759,-1.0091739,-0.14218709,2.4960704,1.5003821,-0.178356,-0.38885123,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.5138059,-0.3384457,-0.5440433,1,0.9976406253265204
3,-1.0439308,-0.31567305,-1.0523226,-0.87700605,-0.009283644,0.22830538,-0.87700605,0.21042407,1.7505759,-0.62747735,-0.4143329,2.4960704,1.5003821,-0.178356,-0.38885123,-0.36895445,-0.08835452,-0.94376713,-1.0200937,-0.7012839,1.6554317,-0.5138059,-0.3384457,-0.5440433,1,0.9951876221006359
4,-0.9119467,2.625642,-0.6811251,1.446264,-1.2496058,0.22830538,1.4462639,0.21042407,1.7505759,1.3287169,-0.08766253,1.187976,0.6910036,-0.178356,-0.38885123,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.5138059,-0.3384457,-0.5440433,1,0.9913239046938178
5,-0.9119467,0.14874512,-0.6811251,1.446264,-1.1766456,0.22830538,1.4462639,0.21042407,-0.9254915,-0.9256777,-0.036545772,1.187976,0.6910036,-0.178356,-0.38885123,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.5138059,-0.3384457,-0.5440433,0,0.01127301056529896
6,-0.9119467,0.9227754,-0.6811251,1.446264,-0.009283644,0.22830538,1.4462639,0.21042407,-0.9254915,-0.62747735,-0.4143329,1.187976,0.6910036,-0.178356,-0.38885123,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.5138059,-0.3384457,-0.5440433,0,0.0037341546472525505
7,-0.9119467,-0.47047913,-0.6811251,1.446264,-0.5929647,-1.0796498,1.4462639,-1.119369,0.4125422,1.0573546,0.15438141,1.187976,0.6910036,-0.178356,-0.38885123,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,1.9089866,-0.3384457,1.8380892,0,0.6610197314888385
8,-0.9119467,-0.47047913,-0.6811251,1.446264,-1.3225659,0.22830538,1.4462639,0.21042407,1.7505759,0.32676378,-0.3083571,1.187976,0.6910036,-0.178356,-0.38885123,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.5138059,-0.3384457,-0.5440433,1,0.9974599020653069
9,-0.9119467,-0.47047913,-0.6811251,1.446264,-0.5929647,-1.0796498,1.4462639,-1.119369,0.4125422,1.0573546,0.15438141,1.187976,0.6910036,-0.178356,-0.38885123,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,1.9089866,-0.3384457,1.8380892,0,0.6610197314888385
10,-0.16717936,-0.47047913,-0.27618235,-0.87700605,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.187976,1.5003821,1.7066827,4.624978,-0.12711412,-0.28278732,-0.24008493,-0.3175673,-0.083781056,1.6345379,-0.5138059,2.9546845,-0.5440433,0,0.006717111826033837
11,-0.16717936,-0.47047913,-0.27618235,-0.87700605,-0.8848052,-1.0796498,-0.87700605,-0.45447248,-0.25647464,0.1597715,0.21051858,1.187976,-0.9277533,1.7066827,4.624978,-0.12711412,-0.18557094,-0.24008493,-0.3175673,-0.083781056,1.6345379,-0.5138059,-0.3384457,-0.5440433,0,0.0005847360582893988
12,-0.16717936,-0.47047913,-0.27618235,0.052302018,1.571519,-1.0796498,0.05230195,-1.119369,0.4125422,1.2514312,-0.4078659,1.187976,-0.118374914,1.7066827,4.624978,-0.12711412,0.005915924,-0.24008493,-0.3175673,-0.083781056,-0.5300511,-0.5138059,-0.3384457,-0.5440433,0,0.005592711242512631
13,-0.16717936,-0.47047913,-0.27618235,-0.87700605,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.187976,-0.9277533,1.7066827,4.624978,-0.12711412,-0.38294968,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,2.9546845,-0.5440433,0,5.978396481682649e-05
14,-0.16717936,1.2323875,-0.27618235,0.98161006,0.039356392,1.5362606,0.9816101,1.5402172,1.7505759,0.3843472,2.770824,1.187976,1.5003821,1.7066827,4.624978,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,-0.3384457,-0.5440433,1,0.9985178893731477
15,-0.16717936,-0.160867,-0.27618235,0.98161006,0.039356392,0.22830538,0.9816101,0.21042407,1.7505759,0.3843472,2.770824,1.187976,1.5003821,1.7066827,4.624978,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,-0.3384457,-0.5440433,1,0.9977145520823123
16,-0.16717936,-0.47047913,-0.27618235,0.98161006,-0.8848052,-1.0796498,0.9816101,-0.45447248,1.081559,0.1597715,0.21051858,1.187976,1.5003821,1.7066827,4.624978,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,-0.3384457,-0.5440433,1,0.844778076267839
17,-0.16717936,2.935254,-0.27618235,0.98161006,-0.009283644,1.5362606,0.9816101,1.5402172,1.7505759,-0.62747735,-0.4143329,1.187976,1.5003821,1.7066827,4.624978,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,-0.3384457,-0.5440433,1,0.9438701914392598
18,-0.16717936,-0.47047913,-0.27618235,0.98161006,1.571519,-1.0796498,0.9816101,-1.119369,0.4125422,1.2514312,-0.4078659,1.187976,1.5003821,1.7066827,4.624978,-0.12711412,0.55975485,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,-0.3384457,-0.5440433,0,0.1462664707404627
19,-0.16717936,-0.47047913,-0.27618235,-0.87700605,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.187976,1.5003821,1.7066827,4.624978,-0.12711412,-0.27689543,-0.24008493,-0.3175673,-0.083781056,-0.4611018,-0.5138059,2.9546845,-0.5440433,0,0.002404980202340418
20,-0.16717936,-0.47047913,-0.27618235,-0.87700605,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.187976,1.5003821,1.7066827,4.624978,-0.12711412,0.18856493,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,2.9546845,-0.5440433,0,0.002530573498710899
21,-0.16717936,-0.47047913,-0.27618235,-0.87700605,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.187976,1.5003821,1.7066827,4.624978,-0.12711412,-0.15611142,-0.24008493,-0.3175673,-0.083781056,0.5073219,-0.5138059,-0.3384457,-0.5440433,0,0.038624934099678085
22,-0.16717936,-0.47047913,-0.27618235,-0.87700605,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.187976,-0.9277533,1.7066827,4.624978,-0.12711412,-0.28573328,-0.24008493,-0.3175673,-0.083781056,-0.5958663,1.9089866,-0.3384457,1.8380892,0,0.0007935841907842411
23,-0.16717936,-0.47047913,-0.27618235,-0.87700605,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.187976,1.5003821,1.7066827,4.624978,-0.12711412,-0.33581445,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,2.9546845,-0.5440433,0,0.0022176246277576315
24,-0.16717936,-0.47047913,-0.27618235,-0.87700605,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.187976,1.5003821,1.7066827,4.624978,-0.12711412,-0.28867924,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,2.9546845,-0.5440433,0,0.002244099438935007
25,-0.16717936,-0.47047913,-0.27618235,-0.87700605,1.571519,-1.0796498,-0.87700605,-1.119369,0.4125422,1.2514312,-0.4078659,1.187976,1.5003821,1.7066827,4.624978,-0.12711412,0.03537544,-0.24008493,-0.3175673,-0.083781056,0.07273262,-0.5138059,2.9546845,-0.5440433,0,0.003382064842970579
26,-0.16717936,-0.47047913,-0.27618235,-0.412352,-0.8848052,-1.0796498,-0.41235194,-0.45447248,-0.25647464,0.1597715,0.21051858,1.187976,0.2863143,1.7066827,4.624978,-0.12711412,0.17383517,-0.24008493,-0.3175673,-0.083781056,-0.5958663,-0.5138059,-0.3384457,-0.5440433,0,0.0020309397149863412
