,F66,F69,F68,F95,F109,F22,F79,F112,F113,F116,F117,F118,F114,F115,F43,F42,F45,F130,F132,F135,F136,F83,F16,F18,F9,F15,category,1
0,-0.8318135,-0.47047913,-0.84985125,0.052302018,-1.1766456,-0.96947056,0.22830538,0.05230195,0.21042407,1.7505759,-0.9256777,-0.036545772,2.4960704,1.5003821,-0.178356,-0.38885123,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.5138059,-0.3384457,-0.1295937,-0.5440433,1,0.9945770720885858
1,-0.8318135,-0.47047913,-0.84985125,0.052302018,-0.8848052,-0.96947056,1.5362606,0.05230195,1.5402172,1.7505759,-1.0091739,-0.14218709,2.4960704,1.5003821,-0.178356,-0.38885123,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.5138059,-0.3384457,-0.1295937,-0.5440433,1,0.9980202572112339
2,-0.8318135,-0.47047913,-0.84985125,0.052302018,-0.8848052,-0.96947056,1.5362606,0.05230195,1.5402172,1.7505759,-1.0091739,-0.14218709,2.4960704,1.5003821,-0.178356,-0.38885123,-0.36895445,-2.4392238,-0.911647,-0.80101824,-1.144233,-0.53945327,-0.5138059,-0.3384457,-0.1295937,-0.5440433,1,0.9980202572112339
3,-1.0439308,-0.31567305,-1.0523226,-0.87700605,-0.009283644,0.5312503,0.22830538,-0.87700605,0.21042407,1.7505759,-0.62747735,-0.4143329,2.4960704,1.5003821,-0.178356,-0.38885123,-0.36895445,-0.08835452,-0.94376713,-1.0200937,-0.7012839,1.6554317,-0.5138059,-0.3384457,-0.1295937,-0.5440433,1,0.9954668941333714
4,-0.9119467,2.625642,-0.6811251,1.446264,-1.2496058,-0.96947056,0.22830538,1.4462639,0.21042407,1.7505759,1.3287169,-0.08766253,1.187976,0.6910036,-0.178356,-0.38885123,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.5138059,-0.3384457,-0.1295937,-0.5440433,1,0.9908807317355667
5,-0.9119467,0.14874512,-0.6811251,1.446264,-1.1766456,-0.96947056,0.22830538,1.4462639,0.21042407,-0.9254915,-0.9256777,-0.036545772,1.187976,0.6910036,-0.178356,-0.38885123,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.5138059,-0.3384457,-0.1295937,-0.5440433,0,0.014588002815542418
6,-0.9119467,0.9227754,-0.6811251,1.446264,-0.009283644,-0.96947056,0.22830538,1.4462639,0.21042407,-0.9254915,-0.62747735,-0.4143329,1.187976,0.6910036,-0.178356,-0.38885123,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.5138059,-0.3384457,-0.1295937,-0.5440433,0,0.004666402741396551
7,-0.9119467,-0.47047913,-0.6811251,1.446264,-0.5929647,0.5312503,-1.0796498,1.4462639,-1.119369,0.4125422,1.0573546,0.15438141,1.187976,0.6910036,-0.178356,-0.38885123,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,1.9089866,-0.3384457,-0.1295937,1.8380892,0,0.6491886065626691
8,-0.9119467,-0.47047913,-0.6811251,1.446264,-1.3225659,0.5312503,0.22830538,1.4462639,0.21042407,1.7505759,0.32676378,-0.3083571,1.187976,0.6910036,-0.178356,-0.38885123,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,-0.5138059,-0.3384457,-0.1295937,-0.5440433,1,0.9973141008701919
9,-0.9119467,-0.47047913,-0.6811251,1.446264,-0.5929647,0.5312503,-1.0796498,1.4462639,-1.119369,0.4125422,1.0573546,0.15438141,1.187976,0.6910036,-0.178356,-0.38885123,-0.36895445,-0.66576105,-0.68543905,-0.6864808,-0.6530113,-0.5645257,1.9089866,-0.3384457,-0.1295937,1.8380892,0,0.6491886065626691
