,F79,F112,F116,F115,F132,F18,category,1
0,0.22830538,0.05230195,1.7505759,1.5003821,-0.911647,-0.3384457,1,0.9910591700373457
1,1.5362606,0.05230195,1.7505759,1.5003821,-0.911647,-0.3384457,1,0.9959371019903428
2,1.5362606,0.05230195,1.7505759,1.5003821,-0.911647,-0.3384457,1,0.9959371019903428
3,0.22830538,-0.87700605,1.7505759,1.5003821,-0.94376713,-0.3384457,1,0.9758055984208929
4,0.22830538,1.4462639,1.7505759,0.6910036,-0.68543905,-0.3384457,1,0.9929817398295604
5,0.22830538,1.4462639,-0.9254915,0.6910036,-0.68543905,-0.3384457,0,0.01814252554920471
6,0.22830538,1.4462639,-0.9254915,0.6910036,-0.68543905,-0.3384457,0,0.01814252554920471
7,-1.0796498,1.4462639,0.4125422,0.6910036,-0.68543905,-0.3384457,0,0.4223492080835776
8,0.22830538,1.4462639,1.7505759,0.6910036,-0.68543905,-0.3384457,1,0.9929817398295604
9,-1.0796498,1.4462639,0.4125422,0.6910036,-0.68543905,-0.3384457,0,0.4223492080835776
10,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.24008493,2.9546845,0,0.0206089190187956
11,-1.0796498,-0.87700605,-0.25647464,-0.9277533,-0.24008493,-0.3384457,0,0.0005540207671226876
12,-1.0796498,0.05230195,0.4125422,-0.118374914,-0.24008493,-0.3384457,0,0.05355137269230307
13,-1.0796498,-0.87700605,0.4125422,-0.9277533,-0.24008493,2.9546845,0,0.0003133278863369755
14,1.5362606,0.9816101,1.7505759,1.5003821,-0.24008493,-0.3384457,1,0.9990696141502081
15,0.22830538,0.9816101,1.7505759,1.5003821,-0.24008493,-0.3384457,1,0.9979448282559263
16,-1.0796498,0.9816101,1.081559,1.5003821,-0.24008493,-0.3384457,1,0.9591386245722735
17,1.5362606,0.9816101,1.7505759,1.5003821,-0.24008493,-0.3384457,1,0.9990696141502081
18,-1.0796498,0.9816101,0.4125422,1.5003821,-0.24008493,-0.3384457,0,0.7150430443918172
19,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.24008493,2.9546845,0,0.0206089190187956
20,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.24008493,2.9546845,0,0.0206089190187956
21,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.24008493,-0.3384457,0,0.2582338877366772
22,-1.0796498,-0.87700605,0.4125422,-0.9277533,-0.24008493,-0.3384457,0,0.005158651050570325
23,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.24008493,2.9546845,0,0.0206089190187956
24,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.24008493,2.9546845,0,0.0206089190187956
25,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.24008493,2.9546845,0,0.0206089190187956
26,-1.0796498,-0.41235194,-0.25647464,0.2863143,-0.24008493,-0.3384457,0,0.007387205960270636
27,-1.0796498,-0.41235194,0.4125422,0.2863143,-0.24008493,2.9546845,0,0.004190300021076142
28,0.22830538,-0.87700605,-0.9254915,-0.9277533,-0.38952342,-0.3384457,0,0.0001175055349018641
29,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.38952342,-0.3384457,0,0.0001925207053849141
30,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.38952342,-0.3384457,0,0.0001925207053849141
31,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.38952342,-0.3384457,0,0.0001925207053849141
32,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.38952342,-0.3384457,0,0.0001925207053849141
33,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.38952342,-0.3384457,0,0.0001925207053849141
34,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.38952342,-0.3384457,0,0.0001925207053849141
35,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.38952342,-0.3384457,0,0.0001925207053849141
36,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.38952342,-0.3384457,0,0.0001925207053849141
37,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.38952342,-0.3384457,0,0.0001925207053849141
38,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.38952342,-0.3384457,0,0.0001925207053849141
39,0.22830538,-0.87700605,-0.9254915,-0.9277533,-0.38952342,-0.3384457,0,0.0001175055349018641
40,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.7120919,-0.3384457,0,0.197929167504426
41,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.7120919,-0.3384457,0,0.197929167504426
42,0.22830538,-0.87700605,1.7505759,1.5003821,-0.7120919,-0.3384457,0,0.9794885296981972
43,-1.0796498,-0.87700605,0.4125422,-0.9277533,-0.7120919,-0.3384457,0,0.003662180697542524
44,-1.0796498,0.05230195,-0.25647464,-0.9277533,-0.7120919,-0.3384457,0,0.0010538115266185235
45,-1.0796498,0.05230195,-0.25647464,-0.9277533,-0.7120919,-0.3384457,0,0.0010538115266185235
46,-1.0796498,0.05230195,0.4125422,-0.9277533,-0.7120919,-0.3384457,0,0.009771737073634375
47,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.105909206,-0.3384457,0,0.27740974910299926
48,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.105909206,-0.3384457,0,0.27740974910299926
49,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.105909206,2.9546845,0,0.022678784343200444
50,-1.0796498,-0.87700605,0.4125422,-0.9277533,-0.105909206,-0.3384457,0,0.0056857708822737095
51,-1.0796498,-0.41235194,0.4125422,0.2863143,-0.105909206,-0.3384457,0,0.07129774901630245
52,-1.0796498,-0.87700605,0.4125422,-0.9277533,-0.105909206,-0.3384457,0,0.0056857708822737095
53,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.105909206,-0.3384457,0,0.27740974910299926
54,-1.0796498,-0.87700605,0.4125422,-0.9277533,-0.105909206,-0.3384457,0,0.0056857708822737095
55,-1.0796498,-0.87700605,0.4125422,-0.9277533,-0.105909206,-0.3384457,0,0.0056857708822737095
56,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.105909206,-0.3384457,0,0.27740974910299926
64,0.22830538,-0.41235194,1.7505759,1.5003821,-0.3077423,-0.3384457,1,0.9905723215918254
65,0.22830538,-0.41235194,1.7505759,1.5003821,-0.3077423,-0.3384457,1,0.9905723215918254
68,1.5362606,0.05230195,0.4125422,-0.118374914,-0.3077423,-0.3384457,1,0.20847906000535274
76,0.22830538,-0.41235194,1.7505759,1.5003821,-0.3077423,-0.3384457,1,0.9905723215918254
77,0.22830538,-0.41235194,1.7505759,1.5003821,-0.3077423,-0.3384457,1,0.9905723215918254
57,-1.0796498,-0.87700605,0.4125422,-0.9277533,-0.105909206,2.9546845,0,0.00039004246712800485
58,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.105909206,2.9546845,0,0.015576026337343524
59,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.105909206,-0.3384457,0,0.19260203179165147
60,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.105909206,-0.3384457,0,0.19260203179165147
61,0.22830538,-0.87700605,-0.9254915,-0.9277533,-0.3077423,-0.3384457,0,0.0001509477811268198
62,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.3077423,-0.3384457,0,0.0002460777700224562
63,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.3077423,-0.3384457,0,0.0002460777700224562
66,0.22830538,0.05230195,-0.9254915,-0.118374914,-0.3077423,-0.3384457,0,0.0013767829572306819
67,1.5362606,0.05230195,0.4125422,-0.118374914,-0.3077423,-0.3384457,0,0.20358032311014546
69,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.3077423,-0.3384457,0,0.0002460777700224562
70,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.3077423,-0.3384457,0,0.0002460777700224562
71,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.3077423,-0.3384457,0,0.0002460777700224562
72,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.3077423,-0.3384457,0,0.0002460777700224562
73,0.22830538,-0.87700605,-0.9254915,-0.9277533,-0.3077423,-0.3384457,0,0.0001509477811268198
74,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.3077423,-0.3384457,0,0.0002460777700224562
75,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.3077423,-0.3384457,0,0.0002460777700224562
78,0.22830538,-0.87700605,-0.9254915,-0.9277533,-0.3077423,-0.3384457,0,0.0001509477811268198
79,0.22830538,-0.87700605,-0.9254915,-0.9277533,-0.5332669,-0.3384457,0,0.00012395397710876906
80,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.5332669,-0.3384457,0,0.00020207542659165896
81,0.22830538,-0.41235194,-0.9254915,-0.9277533,-0.5332669,-0.3384457,0,0.00020207542659165896
82,-1.0796498,-0.87700605,0.4125422,-0.9277533,-0.5332669,-0.3384457,0,0.00403328496741307
83,0.22830538,1.4462639,-0.9254915,1.0956928,-0.5332669,-0.3384457,0,0.030295798763001227
84,4.152171,1.4462639,1.7505759,1.0956928,-0.5332669,-0.3384457,1,0.9996093282188842
85,0.22830538,1.4462639,1.7505759,1.0956928,-0.5332669,-0.3384457,1,0.9947429998016047
86,4.152171,1.4462639,1.7505759,1.0956928,-0.5332669,-0.3384457,1,0.9996093282188842
87,4.152171,1.4462639,1.7505759,1.0956928,-0.5332669,-0.3384457,1,0.9996093282188842
88,4.152171,1.4462639,1.7505759,1.0956928,-0.5332669,-0.3384457,1,0.9996093282188842
89,0.22830538,-0.87700605,-0.9254915,-0.9277533,-0.4578642,-0.3384457,0,0.00013239428953241427
90,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.6478516,2.9546845,0,0.009758190019795894
91,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.6478516,2.9546845,0,0.009758190019795894
92,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.6478516,-0.3384457,1,0.12935101228610008
93,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.6478516,2.9546845,0,0.009758190019795894
94,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.6478516,2.9546845,0,0.009758190019795894
95,-1.0796498,-0.41235194,0.4125422,0.2863143,-0.6478516,2.9546845,0,0.0025166568969152616
96,-1.0796498,-0.87700605,0.4125422,1.5003821,-0.6478516,2.9546845,0,0.009758190019795894
97,0.22830538,-0.87700605,-0.9254915,-0.9277533,-0.8745152,-0.3384457,0,9.199911092121756e-05
98,0.22830538,-0.41235194,-0.9254915,0.2863143,-0.95629627,-0.3384457,0,0.0008885630058163154
99,-1.0796498,-0.41235194,0.4125422,0.2863143,-0.95629627,2.9546845,0,0.0019232657171499464
100,0.22830538,-0.87700605,-0.9254915,-0.9277533,-0.9672308,-0.3384457,0,8.484078821975526e-05
101,0.22830538,-0.87700605,-0.9254915,-0.9277533,-0.92577076,-0.3384457,0,8.797025270818921e-05
102,0.22830538,-0.87700605,-0.9254915,-0.9277533,0.09478488,-0.3384457,0,0.00021455706810748605
103,0.22830538,-0.87700605,-0.9254915,-0.9277533,0.09478488,-0.3384457,0,0.00021455706810748605
104,0.22830538,-0.87700605,-0.9254915,-0.9277533,0.09478488,-0.3384457,0,0.00021455706810748605
105,0.22830538,-0.87700605,-0.9254915,-0.9277533,0.09478488,-0.3384457,0,0.00021455706810748605
106,0.22830538,-0.87700605,-0.9254915,-0.9277533,0.09478488,-0.3384457,0,0.00021455706810748605
107,0.22830538,-0.87700605,-0.9254915,-0.9277533,0.09478488,-0.3384457,0,0.00021455706810748605
108,0.22830538,-0.87700605,-0.9254915,-0.9277533,0.09478488,-0.3384457,0,0.00021455706810748605
109,0.22830538,-0.87700605,-0.9254915,-0.9277533,0.09478488,-0.3384457,0,0.00021455706810748605
110,0.22830538,-0.87700605,1.7505759,1.5003821,0.09478488,-0.3384457,1,0.9813800601155219
111,0.22830538,-0.87700605,-0.9254915,-0.9277533,0.09478488,-0.3384457,0,0.00021455706810748605
112,0.22830538,-0.87700605,-0.9254915,-0.9277533,0.09478488,-0.3384457,0,0.00021455706810748605
113,-1.0796498,-0.87700605,0.4125422,-0.9277533,0.09478488,-0.3384457,0,0.0069614849924083165
