,F69,F79,F112,F116,F118,F115,F132,F18,category,1
0,-0.47047913,0.22830538,0.05230195,1.7505759,-0.036545772,1.5003821,-0.911647,-0.3384457,1,0.9943242519792631
1,-0.47047913,1.5362606,0.05230195,1.7505759,-0.14218709,1.5003821,-0.911647,-0.3384457,1,0.9977536286099034
2,-0.47047913,1.5362606,0.05230195,1.7505759,-0.14218709,1.5003821,-0.911647,-0.3384457,1,0.9977536286099034
3,-0.31567305,0.22830538,-0.87700605,1.7505759,-0.4143329,1.5003821,-0.94376713,-0.3384457,1,0.9782293623103171
4,2.625642,0.22830538,1.4462639,1.7505759,-0.08766253,0.6910036,-0.68543905,-0.3384457,1,0.9632823749966419
5,0.14874512,0.22830538,1.4462639,-0.9254915,-0.036545772,0.6910036,-0.68543905,-0.3384457,0,0.014384678794480216
6,0.9227754,0.22830538,1.4462639,-0.9254915,-0.4143329,0.6910036,-0.68543905,-0.3384457,0,0.006743687150325772
7,-0.47047913,-1.0796498,1.4462639,0.4125422,0.15438141,0.6910036,-0.68543905,-0.3384457,0,0.4636047480789823
8,-0.47047913,0.22830538,1.4462639,1.7505759,-0.3083571,0.6910036,-0.68543905,-0.3384457,1,0.9938375283777086
9,-0.47047913,-1.0796498,1.4462639,0.4125422,0.15438141,0.6910036,-0.68543905,-0.3384457,0,0.4636047480789823
10,-0.47047913,-1.0796498,-0.87700605,0.4125422,-0.4078659,1.5003821,-0.24008493,2.9546845,0,0.022139858226885557
11,-0.47047913,-1.0796498,-0.87700605,-0.25647464,0.21051858,-0.9277533,-0.24008493,-0.3384457,0,0.0005623856941763362
12,-0.47047913,-1.0796498,0.05230195,0.4125422,-0.4078659,-0.118374914,-0.24008493,-0.3384457,0,0.039863814884173114
13,-0.47047913,-1.0796498,-0.87700605,0.4125422,-0.4078659,-0.9277533,-0.24008493,2.9546845,0,0.00025083316958304346
14,1.2323875,1.5362606,0.9816101,1.7505759,2.770824,1.5003821,-0.24008493,-0.3384457,1,0.9998073513735268
15,-0.160867,0.22830538,0.9816101,1.7505759,2.770824,1.5003821,-0.24008493,-0.3384457,1,0.9997832985947037
16,-0.47047913,-1.0796498,0.9816101,1.081559,0.21051858,1.5003821,-0.24008493,-0.3384457,1,0.9709583751226165
