,F72,F25,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F0-NA,F94,F95,F109,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F74,F84,F146,F16,F3,F7,F12,F17,F2,F6,F13,F18,F14,F1,F5,F9,F10,F19,F15,F4,F8,F11,F71,category,1
0,0.99484795,0.92169845,-0.47327757,0.35924226,-0.6512249,-0.569387,0.1190997,-0.8318135,-0.47047913,-0.84985125,-1.0701514,0.67973703,0.53983825,-0.39482576,-0.19453238,-0.3726534,0.12684694,0.0,-0.7620944,0.052302018,-1.1766456,-0.88717073,-0.96947056,0.22830538,-0.7620944,0.05230195,0.21042407,1.7505759,-0.9256777,-0.036545772,-2.0908487,-1.5163027,-0.94900835,-1.6726832,-1.6091683,-1.5163027,2.4960704,1.5003821,-0.44626385,0.8525569,0.77148145,0.8525569,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.53561604,-0.4174331,-0.82557094,1.9441718,-0.33305746,0.3123805,-0.17334665,-2.4392238,-0.13013873,-0.9311976,-0.15324838,-0.911647,-0.1074763,-0.5199973,-0.79632694,-0.08735253,-0.80101824,-1.144233,-1.8839823,-0.53945327,-0.5394198,-0.017889004,-0.017892942,-0.5138059,-0.35932693,-0.1287779,-0.39286152,-0.13517553,-0.2680389,-0.2302306,-0.41039035,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.3420932,-0.14719607,-0.34536666,-0.3703656,1,0.9983381888144831
1,0.99484795,0.92169845,-0.14670056,0.35924226,-0.6512249,-0.569387,0.1190997,-0.8318135,-0.47047913,-0.84985125,-0.5942324,0.67973703,0.53983825,-0.39482576,-1.1405592,-0.3726534,0.12684694,0.0,-0.7620944,0.052302018,-0.8848052,-0.88717073,-0.96947056,1.5362606,-0.7620944,0.05230195,1.5402172,1.7505759,-1.0091739,-0.14218709,-2.0908487,-1.5163027,-1.0331959,-1.6726832,-1.6091683,-1.5163027,2.4960704,1.5003821,-0.44626385,0.8525569,0.77148145,0.8525569,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.53561604,-0.4174331,-0.82557094,1.9441718,-0.33305746,0.3123805,-0.17334665,-2.4392238,-0.13013873,-0.9311976,-0.15324838,-0.911647,-0.1074763,-0.5199973,-0.79632694,-0.08735253,-0.80101824,-1.144233,-1.8839823,-0.53945327,-0.5394198,-0.017889004,-0.017892942,-0.5138059,-0.35932693,-0.1287779,-0.39286152,-0.13517553,-0.2680389,-0.2302306,-0.41039035,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.3420932,-0.14719607,-0.34536666,-0.3703656,1,0.9997207462461094
2,0.99484795,0.92169845,-0.14670056,0.35924226,-0.6512249,-0.569387,0.1190997,-0.8318135,-0.47047913,-0.84985125,-0.60613036,0.67973703,0.53983825,-0.39482576,-1.795501,-0.3726534,0.12684694,0.0,-0.7620944,0.052302018,-0.8848052,-0.88717073,-0.96947056,1.5362606,-0.7620944,0.05230195,1.5402172,1.7505759,-1.0091739,-0.14218709,-2.0908487,-1.5163027,-1.0331959,-1.6726832,-1.6091683,-1.5163027,2.4960704,1.5003821,-0.44626385,0.8525569,0.77148145,0.8525569,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.53561604,-0.4174331,-0.82557094,1.9441718,-0.33305746,0.3123805,-0.17334665,-2.4392238,-0.13013873,-0.9311976,-0.15324838,-0.911647,-0.1074763,-0.5199973,-0.79632694,-0.08735253,-0.80101824,-1.144233,-1.8839823,-0.53945327,-0.5394198,-0.017889004,-0.017892942,-0.5138059,-0.35932693,-0.1287779,-0.39286152,-0.13517553,-0.2680389,-0.2302306,-0.41039035,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.3420932,-0.14719607,-0.34536666,-0.3703656,1,0.9997403301471419
3,0.07471545,0.15728223,-0.17638938,-0.5895321,-0.771038,-0.569387,-1.3520964,-1.0439308,-0.31567305,-1.0523226,1.1163002,-0.59340686,-0.7149079,-0.70298064,0.8242657,0.16201372,0.12684694,0.0,-0.8320448,-0.87700605,-0.009283644,0.48096928,0.5312503,0.22830538,-0.83204484,-0.87700605,0.21042407,1.7505759,-0.62747735,-0.4143329,-0.3238956,0.722111,-0.6182716,0.7352128,0.7362217,0.722111,2.4960704,1.5003821,-0.5406707,-0.114549845,-0.031746924,-0.11454985,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.53561604,-0.4174331,-0.6229629,-0.7640208,-0.39222693,-0.7785734,-0.17334665,-0.08835452,-0.13013873,1.5105997,-0.15324838,-0.94376713,-0.1074763,-1.1646329,-0.85131174,-0.08735253,-1.0200937,-0.7012839,2.6423461,1.6554317,1.6552248,7.0930657,7.0924287,-0.5138059,-0.35932693,-0.1287779,-0.39286152,-0.13517553,-0.2680389,-0.2302306,-0.41039035,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.3420932,-0.14719607,-0.34536666,-0.9096391,1,0.9985345312131725
4,1.5355179,1.5514129,2.9409368,0.109564826,-0.80008364,1.6431912,-1.3520964,-0.9119467,2.625642,-0.6811251,-0.5451262,2.8992512,0.24460386,-1.1245974,0.8242657,-0.3726534,0.12684694,0.0,-0.65716875,1.446264,-1.2496058,-2.2553108,-0.96947056,0.22830538,-0.65716875,1.4462639,0.21042407,1.7505759,1.3287169,-0.08766253,0.113132976,-1.1368217,1.3240548,-1.2637951,-1.3831067,-1.1368217,1.187976,0.6910036,0.8439638,-0.60675406,-0.72690207,-0.60675406,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.53561604,-0.4174331,1.0805446,2.36803,0.12550588,1.7541181,-0.17334665,-0.66576105,-0.13013873,0.9130868,-0.15324838,-0.68543905,-0.1074763,-0.659635,-0.66048217,-0.08735253,-0.6864808,-0.6530113,1.7418808,-0.5645257,-0.5644895,-0.099118374,-0.09911509,-0.5138059,-0.35932693,-0.1287779,-0.39286152,-0.13517553,-0.2680389,-0.2302306,-0.41039035,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.3420932,-0.14719607,-0.34536666,0.7081813,1,0.9981584593177899
5,1.5355179,1.5514129,0.29863176,0.109564826,-0.80008364,1.6431912,0.8546977,-0.9119467,0.14874512,-0.6811251,0.95144385,2.8992512,0.24460386,-1.1245974,-0.96741366,-0.3726534,0.12684694,0.0,-0.65716875,1.446264,-1.1766456,-0.88717073,-0.96947056,0.22830538,-0.65716875,1.4462639,0.21042407,-0.9254915,-0.9256777,-0.036545772,-2.0908487,-1.5163027,-0.94900835,-1.6726832,-1.6091683,-1.5163027,1.187976,0.6910036,3.70764,0.78335,0.70872927,0.78334993,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.53561604,-0.4174331,1.0805446,2.36803,0.12550588,1.7541181,-0.17334665,-0.66576105,-0.13013873,0.9130868,-0.15324838,-0.68543905,-0.1074763,-0.659635,-0.66048217,-0.08735253,-0.6864808,-0.6530113,1.7418808,-0.5645257,-0.5644895,-0.099118374,-0.09911509,-0.5138059,-0.35932693,-0.1287779,-0.39286152,-0.13517553,-0.2680389,-0.2302306,-0.41039035,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.3420932,-0.14719607,-0.34536666,1.7867283,0,0.01419743817579065
6,1.5355179,1.5514129,1.4564958,0.109564826,-0.80008364,1.6431912,-1.3520964,-0.9119467,0.9227754,-0.6811251,0.41361392,2.8992512,0.24460386,-1.1245974,0.8242657,-0.3726534,0.12684694,0.0,-0.65716875,1.446264,-0.009283644,-1.5712407,-0.96947056,0.22830538,-0.65716875,1.4462639,0.21042407,-0.9254915,-0.62747735,-0.4143329,-0.3238956,0.722111,-0.6182716,0.7352128,0.7362217,0.722111,1.187976,0.6910036,4.9349294,1.420829,1.4331688,1.420829,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.53561604,-0.4174331,1.0805446,2.36803,0.12550588,1.7541181,-0.17334665,-0.66576105,-0.13013873,0.9130868,-0.15324838,-0.68543905,-0.1074763,-0.659635,-0.66048217,-0.08735253,-0.6864808,-0.6530113,1.7418808,-0.5645257,-0.5644895,-0.099118374,-0.09911509,-0.5138059,-0.35932693,-0.1287779,-0.39286152,-0.13517553,-0.2680389,-0.2302306,-0.41039035,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.3420932,-0.14719607,-0.34536666,3.943822,0,0.0032768135525767577
7,1.5355179,1.5514129,-0.562344,0.109564826,-0.80008364,1.6431912,1.9580948,-0.9119467,-0.47047913,-0.6811251,-0.7672733,2.8992512,0.24460386,-1.1245974,0.8242657,-0.3726534,0.12684694,0.0,-0.65716875,1.446264,-0.5929647,0.48096928,0.5312503,-1.0796498,-0.65716875,1.4462639,-1.119369,0.4125422,1.0573546,0.15438141,2.5155716,-0.7716166,1.0504453,-1.1274992,-1.1287873,-0.7716166,1.187976,0.6910036,4.9349294,1.420829,1.4331688,1.420829,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.53561604,-0.4174331,1.0805446,2.36803,0.12550588,1.7541181,-0.17334665,-0.66576105,-0.13013873,0.9130868,-0.15324838,-0.68543905,-0.1074763,-0.659635,-0.66048217,-0.08735253,-0.6864808,-0.6530113,1.7418808,-0.5645257,-0.5644895,-0.099118374,-0.09911509,1.9089866,2.1155877,-0.1287779,-0.39286152,-0.13517553,-0.2680389,-0.2302306,-0.41039035,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,1.8380892,-0.3420932,-0.14719607,-0.34536666,3.943822,0,0.6986403636536704
8,1.5355179,1.5514129,-0.562344,0.109564826,-0.80008364,1.6431912,-1.3520964,-0.9119467,-0.47047913,-0.6811251,0.86024654,2.8992512,0.24460386,-1.1245974,0.8242657,-0.3726534,0.12684694,0.0,-0.65716875,1.446264,-1.3225659,-0.2031007,0.5312503,0.22830538,-0.65716875,1.4462639,0.21042407,1.7505759,0.32676378,-0.3083571,-0.3238956,0.722111,0.31380454,0.7352128,0.7362217,0.722111,1.187976,0.6910036,-0.3833259,-1.6544032,-1.6640017,-1.6544032,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.53561604,-0.4174331,1.0805446,2.36803,0.12550588,1.7541181,-0.17334665,-0.66576105,-0.13013873,0.9130868,-0.15324838,-0.68543905,-0.1074763,-0.659635,-0.66048217,-0.08735253,-0.6864808,-0.6530113,1.7418808,-0.5645257,-0.5644895,-0.099118374,-0.09911509,-0.5138059,-0.35932693,-0.1287779,-0.39286152,-0.13517553,-0.2680389,-0.2302306,-0.41039035,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,-0.5440433,-0.3420932,-0.14719607,-0.34536666,0.16890785,1,0.9952067931873033
9,1.5355179,1.5514129,-0.562344,0.109564826,-0.80008364,1.6431912,2.693693,-0.9119467,-0.47047913,-0.6811251,0.82049394,2.8992512,0.24460386,-1.1245974,0.8242657,-0.3726534,0.12684694,0.0,-0.65716875,1.446264,-0.5929647,0.48096928,0.5312503,-1.0796498,-0.65716875,1.4462639,-1.119369,0.4125422,1.0573546,0.15438141,2.5155716,-0.7716166,1.0504453,-1.1274992,-1.1287873,-0.7716166,1.187976,0.6910036,4.9349294,1.420829,1.4331688,1.420829,-0.49926883,-0.24066998,-0.178356,-0.38885123,-0.36895445,-0.53561604,-0.4174331,1.0805446,2.36803,0.12550588,1.7541181,-0.17334665,-0.66576105,-0.13013873,0.9130868,-0.15324838,-0.68543905,-0.1074763,-0.659635,-0.66048217,-0.08735253,-0.6864808,-0.6530113,1.7418808,-0.5645257,-0.5644895,-0.099118374,-0.09911509,1.9089866,2.1155877,-0.1287779,-0.39286152,-0.13517553,-0.2680389,-0.2302306,-0.41039035,-0.3384457,-0.3809553,-0.39573193,-0.29475316,-0.1295937,-0.040422603,-0.05721295,1.8380892,2.7417765,-0.14719607,-0.34536666,3.943822,0,0.6757453718415118
