,F68,F108,F79,F113,F116,F110,F114,F115,F134,F136,F73,category,1
0,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,-0.043025505,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.0007714707499546864
1,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,-0.48311114,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.00043551274366991784
2,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999998886717
3,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999998886717
4,-0.3426522,0.04003775,-0.22326696,-0.22330233,1.5166258,-0.48311114,-0.6433665,-0.21860978,-0.35629988,-0.24204884,0.12364409,1,0.9822180968139101
5,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.88123953,-0.6433665,-0.21860978,-0.35629988,-0.24204884,0.12364409,0,0.08322964027005646
6,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.88123953,-0.6433665,-0.21860978,-0.35629988,-0.24204884,0.12364409,0,0.08322964027005646
7,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999998886717
8,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,1.5302528,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.0059335587117543085
9,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.19684699226672375
10,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.19684699226672375
11,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.19684699226672375
12,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.19684699226672375
13,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,0.08784404,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.23806036455276297
14,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999998886717
15,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,0.97756284,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.002901342191894227
16,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999998886717
17,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999998886717
