,F67,F68,F108,F79,F113,F116,F110,F114,F115,F134,F136,F73,category,1
0,-0.12918413,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,-0.043025505,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.0006916071177717004
1,-0.12918413,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,-0.48311114,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.00037187795966984067
2,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
3,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
4,-0.12918413,-0.3426522,0.04003775,-0.22326696,-0.22330233,1.5166258,-0.48311114,-0.6433665,-0.21860978,-0.35629988,-0.24204884,0.12364409,1,0.9800579056463679
5,-0.12918413,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.88123953,-0.6433665,-0.21860978,-0.35629988,-0.24204884,0.12364409,0,0.070256376404266
6,-0.12918413,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.88123953,-0.6433665,-0.21860978,-0.35629988,-0.24204884,0.12364409,0,0.070256376404266
7,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
8,-0.44910866,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,1.5302528,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.0057767532250725204
9,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.16916662248324768
10,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.16916662248324768
11,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.16916662248324768
12,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.16916662248324768
13,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,0.08784404,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.20947047587382842
14,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
15,-0.6090709,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,0.97756284,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.0025388576119709026
16,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
17,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
18,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
19,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
20,-0.44910866,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,-1.0705136,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.0001482167387977584
21,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,0.22195823,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.24251456283575223
22,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,0.22195823,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.24251456283575223
23,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
24,-0.6090709,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,1.0513488,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.0028165595944600113
25,-0.6090709,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,0.22195823,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.2342058646378819
26,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
27,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
28,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
29,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
30,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
31,-0.6090709,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,0.22195823,-0.6433665,-0.23474766,-0.35629988,-0.24204884,0.12364409,0,0.2342058646378819
32,-0.6090709,-0.3426522,0.04003775,-0.19046597,-0.19050106,0.24932778,-0.48311114,-0.6433665,-0.2024719,-0.35629988,-0.24204884,0.12364409,1,0.11141491270381261
33,-0.6090709,-0.3426522,0.04003775,-0.19046597,-0.19050106,0.24932778,-0.48311114,-0.6433665,-0.2024719,-0.35629988,-0.24204884,0.12364409,0,0.11141491270381261
34,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
35,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
36,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
37,-0.6090709,-0.7308858,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.46605748,0.23138721,-0.17019612,-0.54361266,-0.71933734,0.12364409,1,0.259021913322912
38,-0.6090709,-0.7308858,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.46605748,0.23138721,-0.17019612,-0.54361266,-0.71933734,0.12364409,1,0.259021913322912
39,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
40,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.2580861,1.055491,0.12364409,1,0.9999999997779834
41,-0.6090709,-0.75417984,0.04003775,-0.22326696,-0.22330233,1.5166258,-0.72982025,-0.097821206,-0.17019612,-0.5419476,-0.57616055,0.12364409,1,0.9848453781057567
