,F67,F68,F108,F79,F113,F116,F110,F114,F115,F70,F127,F134,F136,F73,category,1
0,-0.12918413,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,-0.043025505,-0.6433665,-0.23474766,0.856001,0.0011149374,-0.35629988,-0.24204884,0.12364409,0,0.0009310343426204201
1,-0.12918413,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,-0.48311114,-0.6433665,-0.23474766,0.8933273,0.0011149374,-0.35629988,-0.24204884,0.12364409,0,0.0004999038882934837
2,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,1.2664366,-0.08238615,0.2580861,1.055491,0.12364409,1,0.9999999998519022
3,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,1.2664366,-0.08238615,0.2580861,1.055491,0.12364409,1,0.9999999998519022
4,-0.12918413,-0.3426522,0.04003775,-0.22326696,-0.22330233,1.5166258,-0.48311114,-0.6433665,-0.21860978,-0.27484745,-0.122567125,-0.35629988,-0.24204884,0.12364409,1,0.9776379496223508
5,-0.12918413,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.88123953,-0.6433665,-0.21860978,-0.27484745,-0.122567125,-0.35629988,-0.24204884,0.12364409,0,0.060650333605274935
6,-0.12918413,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.88123953,-0.6433665,-0.21860978,-0.27484745,-0.122567125,-0.35629988,-0.24204884,0.12364409,0,0.060650333605274935
7,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,1.2664366,-0.08238615,0.2580861,1.055491,0.12364409,1,0.9999999998519022
8,-0.44910866,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,1.5302528,-0.6433665,-0.23474766,0.35708824,-0.059575077,-0.35629988,-0.24204884,0.12364409,0,0.006547824249508823
9,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.35708824,-0.059575077,-0.35629988,-0.24204884,0.12364409,0,0.1822514886434078
