,F67,F68,F108,F79,F113,F116,F110,F114,F115,F70,F41,F127,F133,F134,F136,F73,category,1
0,-0.12918413,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,-0.043025505,-0.6433665,-0.23474766,0.856001,-0.5196221,0.0011149374,-0.35990435,-0.35629988,-0.24204884,0.12364409,0,0.0007954362169980372
1,-0.12918413,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,-0.48311114,-0.6433665,-0.23474766,0.8933273,-0.5196221,0.0011149374,-0.35990435,-0.35629988,-0.24204884,0.12364409,0,0.0004220259893568977
2,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,1.2664366,0.2885721,-0.08238615,0.19267786,0.2580861,1.055491,0.12364409,1,0.9999999996826965
3,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,1.2664366,0.2885721,-0.08238615,0.19267786,0.2580861,1.055491,0.12364409,1,0.9999999996826965
4,-0.12918413,-0.3426522,0.04003775,-0.22326696,-0.22330233,1.5166258,-0.48311114,-0.6433665,-0.21860978,-0.27484745,-0.5196221,-0.122567125,-0.35990435,-0.35629988,-0.24204884,0.12364409,1,0.9714940230982837
5,-0.12918413,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.88123953,-0.6433665,-0.21860978,-0.27484745,-0.5196221,-0.122567125,-0.35990435,-0.35629988,-0.24204884,0.12364409,0,0.049016121994767486
6,-0.12918413,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.88123953,-0.6433665,-0.21860978,-0.27484745,-0.5196221,-0.122567125,-0.35990435,-0.35629988,-0.24204884,0.12364409,0,0.049016121994767486
7,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,1.2664366,0.2885721,-0.08238615,0.19267786,0.2580861,1.055491,0.12364409,1,0.9999999996826965
8,-0.44910866,-0.3426522,0.04003775,-0.22326696,-0.22330233,-1.0179702,1.5302528,-0.6433665,-0.23474766,0.35708824,-0.5196221,-0.059575077,-0.35990435,-0.35629988,-0.24204884,0.12364409,0,0.005824118330785266
9,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.35708824,-0.5196221,-0.059575077,-0.35990435,-0.35629988,-0.24204884,0.12364409,0,0.15377315909853267
10,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.35708824,-0.5196221,-0.059575077,-0.35990435,-0.35629988,-0.24204884,0.12364409,0,0.15377315909853267
11,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.35708824,-0.5196221,-0.059575077,-0.35990435,-0.35629988,-0.24204884,0.12364409,0,0.15377315909853267
12,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.35708824,-0.5196221,-0.059575077,-0.35990435,-0.35629988,-0.24204884,0.12364409,0,0.15377315909853267
13,-0.44910866,-0.3426522,0.04003775,-0.25606793,-0.2561036,0.24932778,0.08784404,-0.6433665,-0.23474766,0.35708824,-0.5196221,-0.059575077,-0.35990435,-0.35629988,-0.24204884,0.12364409,0,0.19310705977470452
14,0.03077812,1.054989,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,1.2664366,0.2885721,-0.08238615,0.19267786,0.2580861,1.055491,0.12364409,1,0.9999999996826965
