,F62,F64,F67,F69,F68,F108,F79,F111,F112,F113,F116,F117,F110,F114,F115,F61,F77,F88,F70,F41,F43,F42,F45,F126,F127,F128,F129,F130,F131,F38,F37,F133,F134,F136,F137,F83,F73,F17,F2,F18,F19,F71,category,1
0,-0.3007196,-0.3686447,-0.12918413,-0.23482592,-0.3426522,0.04003775,-0.22326696,-0.53941697,-0.6284777,-0.22330233,-1.0179702,-0.31176043,-0.043025505,-0.6433665,-0.23474766,1.9590539,0.856001,0.6721302,0.856001,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.03606288,0.0011149374,0.043849878,-0.016928507,-0.22171189,0.27094394,-0.30042705,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,-0.7184671,0.12364409,-0.124163374,-0.2481344,-0.23827,-0.04189153,0.9189627,0,0.0008899863066707891
1,-0.3007196,-0.3686447,-0.12918413,-0.23482592,-0.3426522,0.04003775,-0.22326696,-0.53941697,-0.6284777,-0.22330233,-1.0179702,-0.5241162,-0.48311114,-0.6433665,-0.23474766,2.013768,0.8933273,0.73479617,0.8933273,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.03606288,0.0011149374,0.043849878,-0.016928507,-0.22171189,0.27094394,-0.30042705,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,-0.7184671,0.12364409,-0.124163374,-0.2481344,-0.23827,-0.04189153,0.9189627,0,0.0006025869953032487
2,0.06531651,0.95908535,0.03077812,0.14828557,1.054989,0.04003775,4.6640797,0.19339609,-0.6284777,4.664085,1.5166258,2.83774,2.7067394,3.293025,4.6388946,0.53648615,1.2664366,1.1693484,1.2664366,0.2885721,0.05236801,0.23794274,0.23847245,0.079046085,-0.08238615,0.09396752,0.0014294676,0.9472805,0.36777976,-0.31513354,-0.18068781,0.19267786,0.2580861,1.055491,0.7436775,-0.06961164,0.12364409,-0.124163374,-0.2481344,-0.23827,-0.04189153,0.9189627,1,0.999999996454173
3,0.06531651,0.95908535,0.03077812,0.14828557,1.054989,0.04003775,4.6640797,0.19339609,-0.6284777,4.664085,1.5166258,2.83774,2.7067394,3.293025,4.6388946,0.53648615,1.2664366,1.1693484,1.2664366,0.2885721,0.05236801,0.23794274,0.23847245,0.079046085,-0.08238615,0.09396752,0.0014294676,0.9472805,0.36777976,-0.31513354,-0.18068781,0.19267786,0.2580861,1.055491,0.7436775,-0.06961164,0.12364409,-0.124163374,-0.2481344,-0.23827,-0.04189153,0.9189627,1,0.999999996454173
4,-0.3007196,-0.3686447,-0.12918413,-0.23482592,-0.3426522,0.04003775,-0.22326696,-0.53941697,-0.39593452,-0.22330233,1.5166258,-0.5241162,-0.48311114,-0.6433665,-0.21860978,-0.4757255,-0.27484745,-0.279159,-0.27484745,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.21570571,-0.122567125,-0.2624246,-0.17425328,-0.58038,-1.0142053,-0.31513354,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,0.28458205,0.12364409,-0.124163374,-0.2481344,-0.23827,-0.04189153,-0.58096445,1,0.9645555957552738
5,-0.3007196,-0.3686447,-0.12918413,-0.23482592,-0.3426522,0.04003775,-0.25606793,-0.53941697,-0.39593452,-0.2561036,0.24932778,-1.3555429,-0.88123953,-0.6433665,-0.21860978,-0.4757255,-0.27484745,-0.279159,-0.27484745,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.21570571,-0.122567125,-0.2624246,-0.17425328,-0.58038,-1.0142053,-0.31513354,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,0.28458205,0.12364409,-0.124163374,-0.2481344,-0.23827,-0.04189153,-0.58096445,0,0.017720344293545118
6,-0.3007196,-0.3686447,-0.12918413,-0.23482592,-0.3426522,0.04003775,-0.25606793,-0.53941697,-0.39593452,-0.2561036,0.24932778,-1.3555429,-0.88123953,-0.6433665,-0.21860978,-0.4757255,-0.27484745,-0.279159,-0.27484745,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.21570571,-0.122567125,-0.2624246,-0.17425328,-0.58038,-1.0142053,-0.31513354,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,0.28458205,0.12364409,-0.124163374,-0.2481344,-0.23827,-0.04189153,-0.58096445,0,0.017720344293545118
7,0.06531651,0.95908535,0.03077812,0.14828557,1.054989,0.04003775,4.6640797,0.19339609,-0.6284777,4.664085,1.5166258,2.83774,2.7067394,3.293025,4.6388946,0.53648615,1.2664366,1.1693484,1.2664366,0.2885721,0.05236801,0.23794274,0.23847245,0.079046085,-0.08238615,0.09396752,0.0014294676,0.9472805,0.36777976,-0.31513354,-0.18068781,0.19267786,0.2580861,1.055491,0.7436775,-0.06961164,0.12364409,-0.124163374,-0.2481344,-0.23827,-0.04189153,0.9189627,1,0.999999996454173
8,-0.14210394,-0.3686447,-0.44910866,-0.14969003,-0.3426522,0.04003775,-0.22326696,-0.53941697,-0.16339132,-0.22330233,-1.0179702,1.6211703,1.5302528,-0.6433665,-0.23474766,0.31762958,0.35708824,0.13998355,0.35708824,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.10767725,-0.059575077,-0.2624246,-0.08861692,-0.29900062,-0.44845754,-0.31513354,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,-0.760011,0.12364409,-0.124163374,-0.2481344,-0.23827,-0.04189153,0.9189627,0,0.0032565609540705686
9,-0.3007196,-0.3686447,-0.44910866,-0.23482592,-0.3426522,0.04003775,-0.25606793,-0.53941697,-0.16339132,-0.2561036,0.24932778,-0.23521633,-0.09890646,-0.6433665,-0.23474766,0.31762958,0.35708824,0.13998355,0.35708824,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.10767725,-0.059575077,-0.2624246,-0.08861692,-0.29900062,-0.44845754,-0.31513354,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,-0.760011,0.12364409,-0.124163374,-0.2481344,-0.23827,-0.04189153,0.9189627,0,0.11402530049318305
