,F72,F62,F65,F64,F67,F34,F66,F69,F68,F104,F105,F108,F94,F95,F23,F79,F111,F112,F113,F116,F117,F118,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F43,F42,F45,F44,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F136,F137,F83,F74,F73,F16,F7,F17,F2,F18,F9,F19,F71,category,1
0,-0.8952832,-0.3007196,1.7527134,-0.3686447,-0.12918413,-0.81677604,-0.334799,-0.23482592,-0.3426522,-0.5407342,0.73545384,0.04003775,-0.53941697,-0.62847775,0.7295598,-0.22326696,-0.53941697,-0.6284777,-0.22330233,-1.0179702,-0.31176043,-0.39621747,-0.043025505,1.1210952,1.0918993,1.0806812,-0.6433665,-0.23474766,1.9590539,0.856001,0.6721302,0.856001,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.5063123,-0.03606288,0.0011149374,0.043849878,-0.016928507,-0.16616514,-0.22171189,-0.26370353,0.27094394,-0.30042705,-0.3247198,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,-0.7184671,-0.7184671,0.12364409,-0.41057464,-0.16982031,-0.124163374,-0.2481344,-0.23827,-0.10830019,-0.04189153,0.9189627,0,0.0006723367477136398
1,-0.8952832,-0.3007196,1.7527134,-0.3686447,-0.12918413,-0.81677604,-0.334799,-0.23482592,-0.3426522,-0.5407342,0.73545384,0.04003775,-0.53941697,-0.62847775,0.7295598,-0.22326696,-0.53941697,-0.6284777,-0.22330233,-1.0179702,-0.5241162,-0.4902581,-0.48311114,1.1210952,1.0918993,1.0806812,-0.6433665,-0.23474766,2.013768,0.8933273,0.73479617,0.8933273,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.5063123,-0.03606288,0.0011149374,0.043849878,-0.016928507,-0.16616514,-0.22171189,-0.26370353,0.27094394,-0.30042705,-0.3247198,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,-0.7184671,-0.7184671,0.12364409,-0.41057464,-0.16982031,-0.124163374,-0.2481344,-0.23827,-0.10830019,-0.04189153,0.9189627,0,0.00045016958376259067
2,1.7852918,0.06531651,0.4219005,0.95908535,0.03077812,0.3865795,1.4489509,0.14828557,1.054989,0.6273162,-0.85414094,0.04003775,0.19339606,-0.62847775,-0.27274358,4.6640797,0.19339609,-0.6284777,4.664085,1.5166258,2.83774,-0.870556,2.7067394,1.1210952,1.0918993,1.0806812,3.293025,4.6388946,0.53648615,1.2664366,1.1693484,1.2664366,0.2885721,0.05236801,0.23794274,0.23847245,0.25764862,0.079046085,-0.08238615,0.09396752,0.0014294676,-0.18715642,0.9472805,-0.27243292,0.36777976,-0.31513354,0.5987714,-0.18068781,0.19267786,0.2580861,1.055491,0.7436775,-0.06961164,-0.06961167,0.12364409,-0.41057464,-0.16982031,-0.124163374,-0.2481344,-0.23827,-0.10830019,-0.04189153,0.9189627,1,0.999999967033512
3,1.7852918,0.06531651,0.4219005,0.95908535,0.03077812,0.3865795,1.4489509,0.14828557,1.054989,0.6273162,-0.85414094,0.04003775,0.19339606,-0.62847775,-0.27274358,4.6640797,0.19339609,-0.6284777,4.664085,1.5166258,2.83774,-0.870556,2.7067394,1.1210952,1.0918993,1.0806812,3.293025,4.6388946,0.53648615,1.2664366,1.1693484,1.2664366,0.2885721,0.05236801,0.23794274,0.23847245,0.25764862,0.079046085,-0.08238615,0.09396752,0.0014294676,-0.18715642,0.9472805,-0.27243292,0.36777976,-0.31513354,0.5987714,-0.18068781,0.19267786,0.2580861,1.055491,0.7436775,-0.06961164,-0.06961167,0.12364409,-0.41057464,-0.16982031,-0.124163374,-0.2481344,-0.23827,-0.10830019,-0.04189153,0.9189627,1,0.999999967033512
4,0.20141195,-0.3007196,-0.90891236,-0.3686447,-0.12918413,-0.81677604,-0.334799,-0.23482592,-0.3426522,-0.16769333,0.73545384,0.04003775,-0.53941697,-0.39593452,0.7295598,-0.22326696,-0.53941697,-0.39593452,-0.22330233,1.5166258,-0.5241162,-0.4902581,-0.48311114,1.1210952,1.0918993,1.0806812,-0.6433665,-0.21860978,-0.4757255,-0.27484745,-0.279159,-0.27484745,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.5063123,-0.21570571,-0.122567125,-0.2624246,-0.17425328,-0.18715642,-0.58038,-0.27243292,-1.0142053,-0.31513354,-0.3247198,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,0.28458205,0.28458202,0.12364409,-0.41057464,-0.16982031,-0.124163374,-0.2481344,-0.23827,-0.10830019,-0.04189153,-0.58096445,1,0.9675287091711209
5,0.20141195,-0.3007196,-0.90891236,-0.3686447,-0.12918413,0.21467158,-0.334799,-0.23482592,-0.3426522,-0.16769333,0.73545384,0.04003775,-0.53941697,-0.39593452,-0.94094586,-0.25606793,-0.53941697,-0.39593452,-0.2561036,0.24932778,-1.3555429,-1.0116447,-0.88123953,-1.2449422,-1.2860144,0.24080187,-0.6433665,-0.21860978,-0.4757255,-0.27484745,-0.279159,-0.27484745,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.5063123,-0.21570571,-0.122567125,-0.2624246,-0.17425328,-0.18715642,-0.58038,-0.27243292,-1.0142053,-0.31513354,-0.3247198,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,0.28458205,0.28458202,0.12364409,-0.41057464,-0.16982031,-0.124163374,-0.2481344,-0.23827,-0.10830019,-0.04189153,-0.58096445,0,0.03361123998769502
6,0.20141195,-0.3007196,-0.90891236,-0.3686447,-0.12918413,0.21467158,-0.334799,-0.23482592,-0.3426522,-0.16769333,0.73545384,0.04003775,-0.53941697,-0.39593452,-0.94094586,-0.25606793,-0.53941697,-0.39593452,-0.2561036,0.24932778,-1.3555429,-1.0116447,-0.88123953,-1.2449422,-1.2860144,0.24080187,-0.6433665,-0.21860978,-0.4757255,-0.27484745,-0.279159,-0.27484745,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.5063123,-0.21570571,-0.122567125,-0.2624246,-0.17425328,-0.18715642,-0.58038,-0.27243292,-1.0142053,-0.31513354,-0.3247198,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,0.28458205,0.28458202,0.12364409,-0.41057464,-0.16982031,-0.124163374,-0.2481344,-0.23827,-0.10830019,-0.04189153,-0.58096445,0,0.03361123998769502
7,1.7852918,0.06531651,0.4219005,0.95908535,0.03077812,0.3865795,1.4489509,0.14828557,1.054989,0.6273162,-0.85414094,0.04003775,0.19339606,-0.62847775,-0.27274358,4.6640797,0.19339609,-0.6284777,4.664085,1.5166258,2.83774,-0.870556,2.7067394,1.1210952,1.0918993,1.0806812,3.293025,4.6388946,0.53648615,1.2664366,1.1693484,1.2664366,0.2885721,0.05236801,0.23794274,0.23847245,0.25764862,0.079046085,-0.08238615,0.09396752,0.0014294676,-0.18715642,0.9472805,-0.27243292,0.36777976,-0.31513354,0.5987714,-0.18068781,0.19267786,0.2580861,1.055491,0.7436775,-0.06961164,-0.06961167,0.12364409,-0.41057464,-0.16982031,-0.124163374,-0.2481344,-0.23827,-0.10830019,-0.04189153,0.9189627,1,0.999999967033512
8,-0.9847769,-0.14210394,-0.71879625,-0.3686447,-0.44910866,-0.12914428,-0.334799,-0.14969003,-0.3426522,-0.3802007,-0.48653653,0.04003775,-0.53941697,-0.16339132,0.7295598,-0.22326696,-0.53941697,-0.16339132,-0.22330233,-1.0179702,1.6211703,0.77853066,1.5302528,-0.8081353,-0.4658945,-0.9484738,-0.6433665,-0.23474766,0.31762958,0.35708824,0.13998355,0.35708824,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.5063123,-0.10767725,-0.059575077,-0.2624246,-0.08861692,-0.18715642,-0.29900062,-0.27243292,-0.44845754,-0.31513354,-0.3247198,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,-0.760011,-0.760011,0.12364409,-0.41057464,-0.16982031,-0.124163374,-0.2481344,-0.23827,-0.10830019,-0.04189153,0.9189627,0,0.002780783955601486
9,-0.9847769,-0.3007196,-0.71879625,-0.3686447,-0.44910866,-0.47296014,-0.334799,-0.23482592,-0.3426522,-0.3802007,0.73545384,0.04003775,-0.53941697,-0.16339132,0.06135756,-0.25606793,-0.53941697,-0.16339132,-0.2561036,0.24932778,-0.23521633,-0.36622393,-0.09890646,1.1210952,1.0918993,1.0806812,-0.6433665,-0.23474766,0.31762958,0.35708824,0.13998355,0.35708824,-0.5196221,-0.21744296,-0.4852752,-0.382176,-0.5063123,-0.10767725,-0.059575077,-0.2624246,-0.08861692,-0.18715642,-0.29900062,-0.27243292,-0.44845754,-0.31513354,-0.3247198,-0.18068781,-0.35990435,-0.35629988,-0.24204884,0.14287727,-0.760011,-0.760011,0.12364409,-0.41057464,-0.16982031,-0.124163374,-0.2481344,-0.23827,-0.10830019,-0.04189153,0.9189627,0,0.15829232708865362
