,F108,F116,F110,F114,F115,F73,category,1
0,0.04003775,-1.0179702,-0.043025505,-0.6433665,-0.23474766,0.12364409,0,0.0007964169072720151
1,0.04003775,-1.0179702,-0.48311114,-0.6433665,-0.23474766,0.12364409,0,0.00044674157260196715
2,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
3,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
4,0.04003775,1.5166258,-0.48311114,-0.6433665,-0.21860978,0.12364409,1,0.9834823744601318
5,0.04003775,0.24932778,-0.88123953,-0.6433665,-0.21860978,0.12364409,0,0.08918607753079548
6,0.04003775,0.24932778,-0.88123953,-0.6433665,-0.21860978,0.12364409,0,0.08918607753079548
7,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
8,0.04003775,-1.0179702,1.5302528,-0.6433665,-0.23474766,0.12364409,0,0.006264842575389876
9,0.04003775,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.12364409,0,0.2106352130509637
10,0.04003775,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.12364409,0,0.2106352130509637
11,0.04003775,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.12364409,0,0.2106352130509637
12,0.04003775,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.12364409,0,0.2106352130509637
13,0.04003775,0.24932778,0.08784404,-0.6433665,-0.23474766,0.12364409,0,0.2543362952378008
14,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
15,0.04003775,-1.0179702,0.97756284,-0.6433665,-0.23474766,0.12364409,0,0.00303946999339067
16,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
17,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
18,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
19,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
20,0.04003775,-1.0179702,-1.0705136,-0.6433665,-0.23474766,0.12364409,0,0.00020645456030330024
21,0.04003775,0.24932778,0.22195823,-0.6433665,-0.23474766,0.12364409,0,0.28918938409659267
22,0.04003775,0.24932778,0.22195823,-0.6433665,-0.23474766,0.12364409,0,0.28918938409659267
23,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
24,0.04003775,-1.0179702,1.0513488,-0.6433665,-0.23474766,0.12364409,0,0.0033480070141142207
25,0.04003775,0.24932778,0.22195823,-0.6433665,-0.23474766,0.12364409,0,0.28918938409659267
26,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
27,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
28,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
29,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
30,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
31,0.04003775,0.24932778,0.22195823,-0.6433665,-0.23474766,0.12364409,0,0.28918938409659267
32,0.04003775,0.24932778,-0.48311114,-0.6433665,-0.2024719,0.12364409,1,0.14499470545875867
33,0.04003775,0.24932778,-0.48311114,-0.6433665,-0.2024719,0.12364409,0,0.14499470545875867
34,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
35,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
36,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
37,0.04003775,0.24932778,-0.46605748,0.23138721,-0.17019612,0.12364409,1,0.2844407165018731
38,0.04003775,0.24932778,-0.46605748,0.23138721,-0.17019612,0.12364409,1,0.2844407165018731
39,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
40,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
41,0.04003775,1.5166258,-0.72982025,-0.097821206,-0.17019612,0.12364409,1,0.986939254432962
42,0.04003775,-1.0179702,-0.19724192,-0.756238,-0.23474766,0.12364409,0,0.0005883145799799529
43,0.04003775,-1.0179702,-0.19724192,-0.756238,-0.23474766,0.12364409,0,0.0005883145799799529
44,0.04003775,-1.0179702,-0.19724192,-0.756238,-0.23474766,0.12364409,0,0.0005883145799799529
45,0.04003775,-1.0179702,-0.19724192,-0.756238,-0.23474766,0.12364409,0,0.0005883145799799529
46,-1.304367,-1.0179702,-0.16867809,-0.756238,-0.23474766,0.12364409,0,0.0016625324961271175
47,0.04003775,-1.0179702,1.5302528,-0.756238,-0.23474766,0.12364409,0,0.005670061613686436
48,0.04003775,-1.0179702,1.5302528,-0.756238,-0.23474766,0.12364409,0,0.005670061613686436
49,0.04003775,-1.0179702,1.5302528,-0.756238,-0.23474766,0.12364409,0,0.005670061613686436
50,0.04003775,0.24932778,-0.38439485,-0.756238,-0.23474766,0.12364409,0,0.1422499543795453
51,0.04003775,-1.0179702,0.97756284,-0.756238,-0.23474766,0.12364409,0,0.00275005684282589
52,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
53,0.04003775,-1.0179702,-1.002375,-0.756238,-0.23474766,0.12364409,0,0.0002042406368143877
54,0.04003775,-1.0179702,-1.002375,-0.756238,-0.23474766,0.12364409,0,0.0002042406368143877
55,0.04003775,-1.0179702,-1.002375,-0.756238,-0.23474766,0.12364409,0,0.0002042406368143877
56,0.04003775,-1.0179702,-1.002375,-0.756238,-0.23474766,0.12364409,0,0.0002042406368143877
57,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
58,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
59,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
60,0.04003775,-1.0179702,-1.0188934,-0.5367657,-0.2024719,0.12364409,0,0.00025579842732368084
61,0.04003775,0.24932778,1.3900499,-0.5367657,-0.2024719,0.12364409,1,0.6862479127491997
62,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
63,-1.304367,1.5166258,0.3490423,0.95564574,-0.19171329,0.12364409,1,0.9995230670757869
64,0.04003775,0.24932778,-0.82716113,0.95564574,-0.19171329,0.12364409,0,0.3126475091176714
65,-1.304367,0.24932778,0.6329534,0.95564574,-0.19171329,0.12364409,1,0.8941559056567887
66,-1.304367,1.5166258,-0.16867809,0.95564574,-0.17019612,0.12364409,1,0.9990904032896263
67,0.04003775,1.5166258,0.17869559,0.95564574,-0.17019612,0.12364409,1,0.9984311745269506
68,0.04003775,1.5166258,0.40902352,0.95564574,-0.17019612,0.12364409,1,0.9988405205475736
69,0.04003775,1.5166258,-0.6580953,0.95564574,-0.17019612,0.12364409,1,0.9953019408950459
70,0.04003775,1.5166258,-0.7403843,0.95564574,-0.17826506,0.12364409,1,0.9947003250656677
71,0.04003775,1.5166258,0.6329534,0.95564574,-0.17826506,0.12364409,1,0.9991246822485176
72,-1.304367,1.5166258,0.3490423,0.95564574,-0.17826506,0.12364409,1,0.9995332316802195
73,0.04003775,0.24932778,-0.82716113,0.95564574,-0.17826506,0.12364409,0,0.3172978259993872
74,0.04003775,1.5166258,-0.82716113,0.95564574,-0.17826506,0.12364409,1,0.9940637745901508
75,0.04003775,1.5166258,-0.043025505,0.95564574,-0.17826506,0.12364409,1,0.9978741890906392
76,-1.304367,0.24932778,0.6329534,0.95564574,-0.17826506,0.12364409,1,0.8961784454062209
77,0.04003775,1.5166258,-0.3233789,0.95564574,-0.17826506,0.12364409,1,0.9969298361225488
78,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
79,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
80,0.04003775,0.24932778,-0.88123953,-0.756238,-0.23474766,0.12364409,0,0.07945104587446296
81,0.04003775,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999968138453
82,0.04003775,1.5166258,0.13437776,0.97210616,-0.17019612,0.12364409,1,0.9983613406875982
83,0.04003775,1.5166258,-0.6580953,0.97210616,-0.17019612,0.12364409,1,0.9953698786147336
84,0.04003775,1.5166258,-0.6580953,0.97210616,-0.17019612,0.12364409,1,0.9953698786147336
85,0.04003775,1.5166258,1.2007757,0.97210616,-0.17019612,0.12364409,1,0.9995961312262388
86,0.04003775,1.5166258,0.13437776,0.97210616,-0.17019612,0.12364409,1,0.9983613406875982
87,0.04003775,1.5166258,-0.6580953,0.97210616,-0.17019612,0.12364409,1,0.9953698786147336
88,0.04003775,1.5166258,-0.6580953,0.97210616,-0.17019612,0.12364409,1,0.9953698786147336
