,F108,F79,F113,F116,F110,F114,F115,F73,category,1
0,0.04003775,-0.22326696,-0.22330233,-1.0179702,-0.043025505,-0.6433665,-0.23474766,0.12364409,0,0.0008169845493883637
1,0.04003775,-0.22326696,-0.22330233,-1.0179702,-0.48311114,-0.6433665,-0.23474766,0.12364409,0,0.0004581107504282191
2,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
3,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
4,0.04003775,-0.22326696,-0.22330233,1.5166258,-0.48311114,-0.6433665,-0.21860978,0.12364409,1,0.9837452833910311
5,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.88123953,-0.6433665,-0.21860978,0.12364409,0,0.08884121781901619
6,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.88123953,-0.6433665,-0.21860978,0.12364409,0,0.08884121781901619
7,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
8,0.04003775,-0.22326696,-0.22330233,-1.0179702,1.5302528,-0.6433665,-0.23474766,0.12364409,0,0.006434310858664576
9,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.12364409,0,0.21004704489369502
10,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.12364409,0,0.21004704489369502
11,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.12364409,0,0.21004704489369502
12,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.09890646,-0.6433665,-0.23474766,0.12364409,0,0.21004704489369502
13,0.04003775,-0.25606793,-0.2561036,0.24932778,0.08784404,-0.6433665,-0.23474766,0.12364409,0,0.25369551383266964
14,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
15,0.04003775,-0.22326696,-0.22330233,-1.0179702,0.97756284,-0.6433665,-0.23474766,0.12364409,0,0.0031204949148557768
16,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
17,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
18,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
19,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
20,0.04003775,-0.22326696,-0.22330233,-1.0179702,-1.0705136,-0.6433665,-0.23474766,0.12364409,0,0.00021160376526372848
21,0.04003775,-0.25606793,-0.2561036,0.24932778,0.22195823,-0.6433665,-0.23474766,0.12364409,0,0.2885182816169651
22,0.04003775,-0.25606793,-0.2561036,0.24932778,0.22195823,-0.6433665,-0.23474766,0.12364409,0,0.2885182816169651
23,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
24,0.04003775,-0.22326696,-0.22330233,-1.0179702,1.0513488,-0.6433665,-0.23474766,0.12364409,0,0.003437444329039293
25,0.04003775,-0.25606793,-0.2561036,0.24932778,0.22195823,-0.6433665,-0.23474766,0.12364409,0,0.2885182816169651
26,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
27,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
28,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
29,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
30,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
31,0.04003775,-0.25606793,-0.2561036,0.24932778,0.22195823,-0.6433665,-0.23474766,0.12364409,0,0.2885182816169651
32,0.04003775,-0.19046597,-0.19050106,0.24932778,-0.48311114,-0.6433665,-0.2024719,0.12364409,1,0.15069885223972818
33,0.04003775,-0.19046597,-0.19050106,0.24932778,-0.48311114,-0.6433665,-0.2024719,0.12364409,0,0.15069885223972818
34,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
35,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
36,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
37,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.46605748,0.23138721,-0.17019612,0.12364409,1,0.2830605342124507
38,0.04003775,-0.25606793,-0.2561036,0.24932778,-0.46605748,0.23138721,-0.17019612,0.12364409,1,0.2830605342124507
39,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
40,0.04003775,4.6640797,4.664085,1.5166258,2.7067394,3.293025,4.6388946,0.12364409,1,0.9999999999181457
