,F62,F116,F117,F110,F114,F115,F88,F6,F13,F1,F5,category,1
0,-0.21225066,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.019698,-0.26468047,-0.085960224,0.96500033,2.8986719,0,0.0003162214787216799
1,-0.59441686,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0795839,3.404957,-0.085960224,-0.6012105,2.8986719,0,0.009896561793824442
2,-0.32984027,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0795839,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0002507952855535777
3,-0.7120065,-0.54470265,-0.31713596,-0.47566697,0.865194,-0.23607753,-0.9564851,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00014490847116809593
4,-0.7120065,1.4852144,-0.31713596,0.8379527,0.865194,-0.23607753,-0.90907544,-0.26468047,-0.085960224,-0.6012105,2.8986719,0,0.024259042348773494
5,-0.7120065,1.4852144,-0.31713596,0.8379527,0.865194,-0.23607753,-0.90907544,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.006150734153451871
6,1.3458116,3.515131,9.51182,8.719671,0.865194,3.780104,0.5015696,3.404957,-0.085960224,-0.6012105,2.8986719,1,0.9999997673352377
7,-0.47682726,-0.54470265,-0.028049037,-0.20521584,0.865194,3.780104,-1.0770886,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.01525523074415607
8,-0.30044287,3.515131,1.6486552,1.3634006,0.865194,3.780104,-1.3349305,-0.26468047,-0.085960224,-0.6012105,-0.3449856,1,0.975989009177387
9,-0.7120065,1.4852144,0.91148347,0.6737503,0.865194,-0.23607753,-0.9431771,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.011647381615706394
10,-0.7120065,1.4852144,0.91148347,0.6737503,0.865194,-0.23607753,-0.90658015,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.011490575344644805
11,-0.6238143,-0.54470265,2.140103,1.8231676,0.865194,-0.23607753,-0.46076313,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.002246423340333816
12,-0.5062247,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0346695,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0002689375549242898
13,-0.32984027,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0346695,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0002466108983947175
14,-0.41803247,0.8085752,9.51182,8.719671,1.0505514,1.2699904,-0.8051069,3.404957,-0.085960224,0.96500033,2.8986719,1,0.9998817505653174
15,-0.5062247,-0.54470265,-0.028049037,-0.20521584,1.0505514,1.2699904,0.189664,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0007116980840938335
16,-0.41803247,0.8085752,-0.028049037,-0.20521584,1.0505514,1.2699904,0.189664,3.404957,-0.085960224,0.96500033,2.8986719,0,0.053695860811442314
17,-0.59441686,0.8085752,0.11020995,0.19066201,1.0505514,1.2699904,-0.9282056,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.010992791534697444
18,-0.47682726,-0.54470265,-0.31713596,-0.47566697,1.0505514,-0.23607753,0.20796247,-0.26468047,-0.085960224,-0.6012105,2.8986719,0,0.0003800942436818368
19,-0.59441686,-0.54470265,0.11020995,0.19066201,1.0505514,-0.23607753,-0.41335347,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0002523669452800682
20,-0.38863507,-0.54470265,0.11020995,0.19066201,-0.2469495,-0.23607753,0.15140359,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,7.650481857538097e-05
21,-0.7120065,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.24206413,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0008030700271288225
22,-0.5062247,-0.54470265,0.11020995,0.19066201,-0.2469495,-0.23607753,0.15140359,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,8.105616870660483e-05
23,-0.7120065,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.5015696,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0007287127526275871
24,-0.7120065,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.14391786,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0008331279589233043
25,-0.7120065,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.3135945,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0007818482997308555
26,-0.7120065,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.5015696,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0007287127526275871
27,-0.7120065,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.21877518,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0008101028767465957
28,0.052325938,-0.54470265,-0.31713596,-0.24578345,-0.2469495,-0.23607753,-1.0438187,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,5.613441227542222e-05
