,F62,F107,F109,F116,F117,F110,F114,F115,F88,F6,F13,F1,F5,category,1
0,-0.21225066,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.019698,-0.26468047,-0.085960224,0.96500033,2.8986719,0,0.0003532217495272814
1,-0.59441686,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0795839,3.404957,-0.085960224,-0.6012105,2.8986719,0,0.010474517937523886
2,-0.32984027,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0795839,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.000208728790433573
3,-0.7120065,-0.31727704,-1.492003,-0.54470265,-0.31713596,-0.47566697,0.865194,-0.23607753,-0.9564851,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00021525708229908454
4,-0.7120065,-0.31727704,-1.376349,1.4852144,-0.31713596,0.8379527,0.865194,-0.23607753,-0.90907544,-0.26468047,-0.085960224,-0.6012105,2.8986719,0,0.03526578913002516
5,-0.7120065,-0.31727704,-1.376349,1.4852144,-0.31713596,0.8379527,0.865194,-0.23607753,-0.90907544,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.007516227726871024
6,1.3458116,0.5396197,-1.434176,3.515131,9.51182,8.719671,0.865194,3.780104,0.5015696,3.404957,-0.085960224,-0.6012105,2.8986719,1,0.9999995880053315
7,-0.47682726,-0.31727704,-0.85590583,-0.54470265,-0.028049037,-0.20521584,0.865194,3.780104,-1.0770886,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.021634357267283747
8,-0.30044287,0.5396197,-1.4149003,3.515131,1.6486552,1.3634006,0.865194,3.780104,-1.3349305,-0.26468047,-0.085960224,-0.6012105,-0.3449856,1,0.9781090136988733
9,-0.7120065,-0.31727704,-1.3570733,1.4852144,0.91148347,0.6737503,0.865194,-0.23607753,-0.9431771,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.01307565433513466
10,-0.7120065,-0.31727704,-1.3570733,1.4852144,0.91148347,0.6737503,0.865194,-0.23607753,-0.90658015,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.01291887021878068
11,-0.6238143,-0.31727704,-1.434176,-0.54470265,2.140103,1.8231676,0.865194,-0.23607753,-0.46076313,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00235104334734802
12,-0.5062247,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0346695,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00022129208100579742
13,-0.32984027,1.6107407,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0346695,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00014758717047788034
