,F62,F107,F109,F116,F117,F110,F114,F115,F88,F74,F7,F6,F13,F1,F5,category,1
0,-0.21225066,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.019698,0.0696986,-0.11675073,-0.26468047,-0.085960224,0.96500033,2.8986719,0,0.00034532060884007615
1,-0.59441686,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0795839,0.0696986,-0.11675073,3.404957,-0.085960224,-0.6012105,2.8986719,0,0.006057422792004093
2,-0.32984027,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0795839,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0001614617619556195
3,-0.7120065,-0.31727704,-1.492003,-0.54470265,-0.31713596,-0.47566697,0.865194,-0.23607753,-0.9564851,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00016140169896585452
4,-0.7120065,-0.31727704,-1.376349,1.4852144,-0.31713596,0.8379527,0.865194,-0.23607753,-0.90907544,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,2.8986719,0,0.02105520778625428
5,-0.7120065,-0.31727704,-1.376349,1.4852144,-0.31713596,0.8379527,0.865194,-0.23607753,-0.90907544,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.005425211018528906
6,1.3458116,0.5396197,-1.434176,3.515131,9.51182,8.719671,0.865194,3.780104,0.5015696,0.0696986,-0.11675073,3.404957,-0.085960224,-0.6012105,2.8986719,1,0.9999996485582503
7,-0.47682726,-0.31727704,-0.85590583,-0.54470265,-0.028049037,-0.20521584,0.865194,3.780104,-1.0770886,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.015343767151445966
8,-0.30044287,0.5396197,-1.4149003,3.515131,1.6486552,1.3634006,0.865194,3.780104,-1.3349305,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,1,0.9623142945358548
9,-0.7120065,-0.31727704,-1.3570733,1.4852144,0.91148347,0.6737503,0.865194,-0.23607753,-0.9431771,0.66616446,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.011663811542763141
10,-0.7120065,-0.31727704,-1.3570733,1.4852144,0.91148347,0.6737503,0.865194,-0.23607753,-0.90658015,0.66616446,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.011524688134258443
11,-0.6238143,-0.31727704,-1.434176,-0.54470265,2.140103,1.8231676,0.865194,-0.23607753,-0.46076313,0.65483916,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.002796782026815852
12,-0.5062247,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0346695,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0001699440854274461
13,-0.32984027,1.6107407,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0346695,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,7.987372539071679e-05
14,-0.41803247,-0.31727704,-1.492003,0.8085752,9.51182,8.719671,1.0505514,1.2699904,-0.8051069,0.0696986,-0.11675073,3.404957,-0.085960224,0.96500033,2.8986719,1,0.9999161232061464
15,-0.5062247,-0.31727704,-0.85590583,-0.54470265,-0.028049037,-0.20521584,1.0505514,1.2699904,0.189664,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0006845019845539759
16,-0.41803247,-0.31727704,-0.85590583,0.8085752,-0.028049037,-0.20521584,1.0505514,1.2699904,0.189664,0.0696986,-0.11675073,3.404957,-0.085960224,0.96500033,2.8986719,0,0.07474014514840345
17,-0.59441686,-0.31727704,-0.18125731,0.8085752,0.11020995,0.19066201,1.0505514,1.2699904,-0.9282056,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.006545842211877488
18,-0.47682726,-0.31727704,-1.4727273,-0.54470265,-0.31713596,-0.47566697,1.0505514,-0.23607753,0.20796247,1.6948794,-0.11675073,-0.26468047,-0.085960224,-0.6012105,2.8986719,0,0.0007168517656964042
19,-0.59441686,-0.10305287,-0.18125731,-0.54470265,0.11020995,0.19066201,1.0505514,-0.23607753,-0.41335347,3.1256423,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00036588335913525176
20,-0.38863507,0.96806806,-0.18125731,-0.54470265,0.11020995,0.19066201,-0.2469495,-0.23607753,0.15140359,1.6948794,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,5.0228006830468815e-05
21,-0.7120065,-0.31727704,-1.4149003,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.24206413,1.6948794,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0011621392232602516
22,-0.5062247,0.21828343,-0.18125731,-0.54470265,0.11020995,0.19066201,-0.2469495,-0.23607753,0.15140359,1.6948794,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,6.861923448087863e-05
23,-0.7120065,-0.31727704,-1.4149003,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.5015696,2.0440762,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0011796715731070718
24,-0.7120065,-0.31727704,-1.4149003,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.14391786,3.2200198,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.001865583966395421
25,-0.7120065,-0.31727704,-1.4149003,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.3135945,2.8896985,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0016030974129891682
26,-0.7120065,-0.31727704,-1.4149003,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.5015696,1.3135942,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0009550609248732754
