,F62,F107,F109,F116,F117,F110,F114,F115,F88,F70,F74,F7,F6,F13,F1,F5,category,1
0,-0.21225066,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.019698,-1.2518517,0.0696986,-0.11675073,-0.26468047,-0.085960224,0.96500033,2.8986719,0,0.00036048725929374483
1,-0.59441686,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0795839,-1.324391,0.0696986,-0.11675073,3.404957,-0.085960224,-0.6012105,2.8986719,0,0.0062987650286794135
2,-0.32984027,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0795839,-1.324391,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00017530178819994078
3,-0.7120065,-0.31727704,-1.492003,-0.54470265,-0.31713596,-0.47566697,0.865194,-0.23607753,-0.9564851,-1.1625923,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00016938587193919734
4,-0.7120065,-0.31727704,-1.376349,1.4852144,-0.31713596,0.8379527,0.865194,-0.23607753,-0.90907544,-1.0658733,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,2.8986719,0,0.02108571562394172
5,-0.7120065,-0.31727704,-1.376349,1.4852144,-0.31713596,0.8379527,0.865194,-0.23607753,-0.90907544,-1.0658733,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.005558670906335776
6,1.3458116,0.5396197,-1.434176,3.515131,9.51182,8.719671,0.865194,3.780104,0.5015696,0.72574455,0.0696986,-0.11675073,3.404957,-0.085960224,-0.6012105,2.8986719,1,0.9999993859494585
7,-0.47682726,-0.31727704,-0.85590583,-0.54470265,-0.028049037,-0.20521584,0.865194,3.780104,-1.0770886,-1.3195035,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0160050290431105
8,-0.30044287,0.5396197,-1.4149003,3.515131,1.6486552,1.3634006,0.865194,3.780104,-1.3349305,-1.4290842,0.0696986,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,1,0.9634687651323338
9,-0.7120065,-0.31727704,-1.3570733,1.4852144,0.91148347,0.6737503,0.865194,-0.23607753,-0.9431771,-1.1273516,0.66616446,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.011977280613740513
