,F62,F107,F109,F116,F117,F110,F114,F115,F88,F70,F37,F74,F84,F7,F6,F13,F1,F5,category,1
0,-0.21225066,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.019698,-1.2518517,6.8817663,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,0.96500033,2.8986719,0,8.776939700196501e-05
1,-0.59441686,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0795839,-1.324391,6.8817663,0.0696986,-1.2664572,-0.11675073,3.404957,-0.085960224,-0.6012105,2.8986719,0,0.0017615305415048738
2,-0.32984027,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0795839,-1.324391,6.8817663,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,4.085414196803405e-05
3,-0.7120065,-0.31727704,-1.492003,-0.54470265,-0.31713596,-0.47566697,0.865194,-0.23607753,-0.9564851,-1.1625923,6.8817663,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,3.9380867395486037e-05
4,-0.7120065,-0.31727704,-1.376349,1.4852144,-0.31713596,0.8379527,0.865194,-0.23607753,-0.90907544,-1.0658733,6.8817663,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,2.8986719,0,0.0046755509638477175
5,-0.7120065,-0.31727704,-1.376349,1.4852144,-0.31713596,0.8379527,0.865194,-0.23607753,-0.90907544,-1.0658733,6.8817663,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0012295518534606315
6,1.3458116,0.5396197,-1.434176,3.515131,9.51182,8.719671,0.865194,3.780104,0.5015696,0.72574455,2.1176457,0.0696986,-1.2664572,-0.11675073,3.404957,-0.085960224,-0.6012105,2.8986719,1,0.9999987408405985
7,-0.47682726,-0.31727704,-0.85590583,-0.54470265,-0.028049037,-0.20521584,0.865194,3.780104,-1.0770886,-1.3195035,2.1176457,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.010585428587084982
8,-0.30044287,0.5396197,-1.4149003,3.515131,1.6486552,1.3634006,0.865194,3.780104,-1.3349305,-1.4290842,2.1176457,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,1,0.9367431862533565
9,-0.7120065,-0.31727704,-1.3570733,1.4852144,0.91148347,0.6737503,0.865194,-0.23607753,-0.9431771,-1.1273516,-0.26441452,0.66616446,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.013020502209351284
10,-0.7120065,-0.31727704,-1.3570733,1.4852144,0.91148347,0.6737503,0.865194,-0.23607753,-0.90658015,-1.0602142,-0.26441452,0.66616446,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.01273357011519611
11,-0.6238143,-0.31727704,-1.434176,-0.54470265,2.140103,1.8231676,0.865194,-0.23607753,-0.46076313,-0.70009,-0.26441452,0.65483916,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0027673732414208027
12,-0.5062247,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0346695,-1.2773176,0.21199754,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00019904801194381728
13,-0.32984027,1.6107407,-0.18125731,-0.54470265,0.11020995,0.19066201,0.865194,-0.23607753,-1.0346695,-1.2773176,0.21199754,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,9.750530663231264e-05
14,-0.41803247,-0.31727704,-1.492003,0.8085752,9.51182,8.719671,1.0505514,1.2699904,-0.8051069,-0.86780494,0.68840957,0.0696986,-1.2664572,-0.11675073,3.404957,-0.085960224,0.96500033,2.8986719,1,0.9998394768070633
15,-0.5062247,-0.31727704,-0.85590583,-0.54470265,-0.028049037,-0.20521584,1.0505514,1.2699904,0.189664,0.1595779,0.68840957,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0005705542912349365
16,-0.41803247,-0.31727704,-0.85590583,0.8085752,-0.028049037,-0.20521584,1.0505514,1.2699904,0.189664,0.1595779,0.68840957,0.0696986,-1.2664572,-0.11675073,3.404957,-0.085960224,0.96500033,2.8986719,0,0.07396370700311052
17,-0.59441686,-0.31727704,-0.18125731,0.8085752,0.11020995,0.19066201,1.0505514,1.2699904,-0.9282056,-1.0874807,0.68840957,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.006327454143126766
18,-0.47682726,-0.31727704,-1.4727273,-0.54470265,-0.31713596,-0.47566697,1.0505514,-0.23607753,0.20796247,0.2051079,-0.26441452,1.6948794,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,2.8986719,0,0.0007055605487908174
19,-0.59441686,-0.10305287,-0.18125731,-0.54470265,0.11020995,0.19066201,1.0505514,-0.23607753,-0.41335347,-0.6638203,-0.26441452,3.1256423,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0004113704182497277
20,-0.38863507,0.96806806,-0.18125731,-0.54470265,0.11020995,0.19066201,-0.2469495,-0.23607753,0.15140359,-0.026657755,-0.26441452,1.6948794,-1.1439161,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,5.655333575711508e-05
21,-0.7120065,-0.31727704,-1.4149003,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.24206413,0.32394886,-0.26441452,1.6948794,-1.1846933,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0011754072113866836
22,-0.5062247,0.21828343,-0.18125731,-0.54470265,0.11020995,0.19066201,-0.2469495,-0.23607753,0.15140359,-0.026657755,-0.26441452,1.6948794,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,7.882234382609826e-05
23,-0.7120065,-0.31727704,-1.4149003,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.5015696,0.7270307,-0.26441452,2.0440762,-1.0864096,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0010830220623366852
24,-0.7120065,-0.31727704,-1.4149003,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.14391786,-0.1208045,-0.26441452,3.2200198,-1.0864096,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0019138934128710406
25,-0.7120065,-0.31727704,-1.4149003,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.3135945,0.54208124,-0.26441452,2.8896985,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0015491411739736885
26,-0.7120065,-0.31727704,-1.4149003,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.5015696,0.7270307,-0.26441452,1.3135942,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0009425147510885354
27,-0.7120065,-0.31727704,-1.4149003,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.21877518,0.25218126,-0.26441452,2.2686946,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00142906561393162
28,0.052325938,-0.31727704,-1.1257653,-0.54470265,-0.31713596,-0.24578345,-0.2469495,-0.23607753,-1.0438187,-1.2878641,-0.26441452,0.118774906,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,7.719437285032386e-05
29,-0.27104548,0.75384384,-1.1257653,-0.54470265,-0.31713596,-0.24578345,-0.2469495,-0.23607753,-0.8051069,-0.86780494,-0.26441452,0.118774906,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,5.262954811744396e-05
30,-0.6238143,-0.31727704,-1.4534516,0.4702558,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-0.9955772,-1.2137814,3.546882,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00015208387068913452
31,-0.6238143,-0.31727704,-1.4534516,0.4702558,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-0.9955772,-1.2137814,3.546882,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00015208387068913452
32,-0.32984027,-0.10305287,-1.376349,-0.54470265,-0.31713596,-0.47566697,-0.2469495,2.7760584,-0.97561526,-1.1975758,-0.26441452,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.002151200229876668
33,-0.59441686,-0.31727704,-1.4534516,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.1705338,0.11456238,0.21199754,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,4.825808372870172e-05
34,-0.59441686,-0.31727704,-1.4534516,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.1705338,0.11456238,0.21199754,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,4.825808372870172e-05
35,0.8166584,2.5747495,-0.85590583,-0.54470265,-0.028049037,-0.20521584,-0.2469495,-0.23607753,-2.357149,-1.6629077,0.21199754,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,0.96500033,-0.3449856,0,1.8588641792803186e-05
36,0.8166584,2.5747495,-0.85590583,-0.54470265,-0.028049037,-0.20521584,-0.2469495,-0.23607753,0.1755243,0.1317969,0.21199754,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,0.96500033,-0.3449856,0,7.067713545144607e-06
37,0.8166584,2.5747495,-0.85590583,-0.54470265,-0.028049037,-0.20521584,-0.2469495,-0.23607753,0.1755243,0.1317969,0.21199754,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,1.1669526349876519e-05
38,0.02292854,-0.31727704,-0.85590583,-0.54470265,-0.028049037,-0.20521584,-0.2469495,-0.23607753,-2.357149,-1.663165,-0.26441452,0.42078295,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00013348354290060427
39,1.2870169,-0.31727704,-0.85590583,-0.54470265,-0.028049037,-0.20521584,-0.2469495,-0.23607753,-2.357149,-1.663165,-0.26441452,0.42078295,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,8.335690072760141e-05
40,1.2870169,-0.31727704,-0.85590583,-0.54470265,-0.028049037,-0.20521584,-0.2469495,-0.23607753,0.17801954,0.13899939,-0.26441452,0.42078295,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,3.1627188689944976e-05
41,-0.0064688614,2.146301,-1.434176,-0.54470265,2.140103,1.8231676,-0.2469495,-0.23607753,-0.8758055,-0.96272343,-0.26441452,0.42078295,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0004999343844818447
42,-0.7120065,-0.31727704,0.1464292,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00028753034039301036
43,-0.7120065,-0.31727704,0.1464292,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00028753034039301036
44,-0.7120065,-0.31727704,-1.4727273,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.14391786,-0.11694603,-0.26441452,1.6948794,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0013819871003281795
