,F62,F69,F107,F108,F109,F116,F117,F110,F122,F114,F115,F61,F77,F88,F70,F42,F130,F37,F74,F84,F16,F7,F6,F13,F1,F5,F15,category,1
0,-0.21225066,-0.07572129,-0.31727704,0.17031428,-0.18125731,-0.54470265,0.11020995,0.19066201,0.65025586,0.865194,-0.23607753,0.2294238,-1.2518517,-1.019698,-1.2518517,-0.25175604,-0.087680906,6.8817663,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,0.96500033,2.8986719,-0.54060996,0,6.967142232516303e-05
1,-0.59441686,-0.6078518,-0.31727704,0.17031428,-0.18125731,-0.54470265,0.11020995,0.19066201,0.65025586,0.865194,-0.23607753,0.12754071,-1.324391,-1.0795839,-1.324391,-0.25175604,-0.087680906,6.8817663,0.0696986,-1.2664572,-0.42068797,-0.11675073,3.404957,-0.085960224,-0.6012105,2.8986719,-0.54060996,0,0.0011212039616336638
2,-0.32984027,-0.5014257,-0.31727704,0.17031428,-0.18125731,-0.54470265,0.11020995,0.19066201,0.65025586,0.865194,-0.23607753,0.12754071,-1.324391,-1.0795839,-1.324391,-0.25175604,-0.087680906,6.8817663,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,4.0737351107843266e-05
3,-0.7120065,-0.6078518,-0.31727704,0.17031428,-1.492003,-0.54470265,-0.31713596,-0.47566697,-2.0821548,0.865194,-0.23607753,0.84072244,-1.1625923,-0.9564851,-1.1625923,-0.25175604,-0.087680906,6.8817663,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,1.4500148996671776e-05
4,-0.7120065,-0.6078518,-0.31727704,0.17031428,-1.376349,1.4852144,-0.31713596,0.8379527,0.65025586,0.865194,-0.23607753,1.1463717,-1.0658733,-0.90907544,-1.0658733,-0.25175604,-0.087680906,6.8817663,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,2.8986719,-0.54060996,0,0.0025776416060097583
5,-0.7120065,-0.6078518,-0.31727704,0.17031428,-1.376349,1.4852144,-0.31713596,0.8379527,0.65025586,0.865194,-0.23607753,1.1463717,-1.0658733,-0.90907544,-1.0658733,-0.25175604,-0.087680906,6.8817663,0.0696986,-1.2664572,2.3770583,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,1.8497626,0,0.0009090449795841034
6,1.3458116,-0.07572129,0.5396197,-4.8052955,-1.434176,3.515131,9.51182,8.719671,-1.6267531,0.865194,3.780104,17.19296,0.72574455,0.5015696,0.72574455,-0.25175604,3.032166,2.1176457,0.0696986,-1.2664572,-0.42068797,-0.11675073,3.404957,-0.085960224,-0.6012105,2.8986719,-0.54060996,1,0.9998726977091457
7,-0.47682726,-0.5014257,-0.31727704,0.17031428,-0.85590583,-0.54470265,-0.028049037,-0.20521584,-1.1713514,0.865194,3.780104,3.3368585,-1.3195035,-1.0770886,-1.3195035,-0.25175604,3.032166,2.1176457,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,0.006935980296884737
8,-0.30044287,-0.5014257,0.5396197,0.17031428,-1.4149003,3.515131,1.6486552,1.3634006,-1.1713514,0.865194,3.780104,2.368969,-1.4290842,-1.3349305,-1.4290842,-0.25175604,3.032166,2.1176457,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,1,0.8891256240663514
9,-0.7120065,-0.6078518,-0.31727704,0.17031428,-1.3570733,1.4852144,0.91148347,0.6737503,0.65025586,0.865194,-0.23607753,-0.025283948,-1.1273516,-0.9431771,-1.1273516,-0.25175604,0.103720754,-0.26441452,0.66616446,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,0.012813114293949815
10,-0.7120065,-0.6078518,-0.31727704,0.17031428,-1.3570733,1.4852144,0.91148347,0.6737503,0.65025586,0.865194,-0.23607753,0.07659916,-1.0602142,-0.90658015,-1.0602142,-0.25175604,0.103720754,-0.26441452,0.66616446,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,0.01218848353319356
11,-0.6238143,-0.6078518,-0.31727704,0.17031428,-1.434176,-0.54470265,2.140103,1.8231676,0.65025586,0.865194,-0.23607753,-0.1781086,-0.70009,-0.46076313,-0.70009,-0.25175604,-0.33171803,-0.26441452,0.65483916,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,0.002449434969810158
12,-0.5062247,-0.2885735,-0.31727704,0.17031428,-0.18125731,-0.54470265,0.11020995,0.19066201,0.65025586,0.865194,-0.23607753,-0.0762255,-1.2773176,-1.0346695,-1.2773176,-0.25175604,0.06544042,0.21199754,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,0.0002340295389249112
13,-0.32984027,-0.1821474,1.6107407,0.17031428,-0.18125731,-0.54470265,0.11020995,0.19066201,0.65025586,0.865194,-0.23607753,-0.0762255,-1.2773176,-1.0346695,-1.2773176,-0.25175604,0.06544042,0.21199754,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,0.00013161588597286348
14,-0.41803247,0.030704815,-0.31727704,0.17031428,-1.492003,0.8085752,9.51182,8.719671,-1.1713514,1.0505514,1.2699904,0.43319005,-0.86780494,-0.8051069,-0.86780494,-0.25175604,-2.1596038,0.68840957,0.0696986,-1.2664572,-0.42068797,-0.11675073,3.404957,-0.085960224,0.96500033,2.8986719,-0.54060996,1,0.9968858507507226
15,-0.5062247,-0.3949996,-0.31727704,0.17031428,-0.85590583,-0.54470265,-0.028049037,-0.20521584,-1.1713514,1.0505514,1.2699904,0.7388394,0.1595779,0.189664,0.1595779,-0.25175604,-2.1596038,0.68840957,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,0.00016514552722784721
16,-0.41803247,0.030704815,-0.31727704,0.17031428,-0.85590583,0.8085752,-0.028049037,-0.20521584,-1.1713514,1.0505514,1.2699904,0.7388394,0.1595779,0.189664,0.1595779,-0.25175604,-2.1596038,0.68840957,0.0696986,-1.2664572,-0.42068797,-0.11675073,3.404957,-0.085960224,0.96500033,2.8986719,-0.54060996,0,0.012636496653705863
17,-0.59441686,-0.5014257,-0.31727704,0.17031428,-0.18125731,0.8085752,0.11020995,0.19066201,0.65025586,1.0505514,1.2699904,0.38224846,-1.0874807,-0.9282056,-1.0874807,-0.25175604,-2.1596038,0.68840957,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,0.0033426524035670905
18,-0.47682726,-0.3949996,-0.31727704,0.17031428,-1.4727273,-0.54470265,-0.31713596,-0.47566697,-2.0821548,1.0505514,-0.23607753,0.025657604,0.2051079,0.20796247,0.2051079,-0.25175604,-1.1451751,-0.26441452,1.6948794,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,2.8986719,-0.54060996,0,0.00021552645926894168
19,-0.59441686,-0.3949996,-0.10305287,0.17031428,-0.18125731,-0.54470265,0.11020995,0.19066201,0.65025586,1.0505514,-0.23607753,-0.12716705,-0.6638203,-0.41335347,-0.6638203,-0.25175604,0.25205705,-0.26441452,3.1256423,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,0.0005351481316163517
20,-0.38863507,0.030704815,0.96806806,0.17031428,-0.18125731,-0.54470265,0.11020995,0.19066201,0.65025586,-0.2469495,-0.23607753,0.12754071,-0.026657755,0.15140359,-0.026657755,-0.25175604,0.20899168,-0.26441452,1.6948794,-1.1439161,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,7.510964074794957e-05
21,-0.7120065,-0.6078518,-0.31727704,0.17031428,-1.4149003,1.4852144,-0.31713596,-0.47566697,-2.0821548,-0.2469495,-0.23607753,0.3313069,0.32394886,0.24206413,0.32394886,-0.25175604,-0.20252189,-0.26441452,1.6948794,-1.1846933,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,0.0005014059060092214
22,-0.5062247,-0.07572129,0.21828343,0.17031428,-0.18125731,-0.54470265,0.11020995,0.19066201,0.65025586,-0.2469495,-0.23607753,0.025657604,-0.026657755,0.15140359,-0.026657755,-0.25175604,0.07979555,-0.26441452,1.6948794,-1.2664572,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,9.879253773906077e-05
23,-0.7120065,-0.6078518,-0.31727704,0.17031428,-1.4149003,1.4852144,-0.31713596,-0.47566697,-1.1713514,-0.2469495,-0.23607753,6.1386437,0.7270307,0.5015696,0.7270307,-0.25175604,3.4388945,-0.26441452,2.0440762,-1.0864096,-0.42068797,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,0,0.00039829196032020476
24,-0.7120065,-0.6078518,-0.31727704,0.17031428,-1.4149003,1.4852144,-0.31713596,-0.47566697,-1.1713514,-0.2469495,-0.23607753,0.07659916,-0.1208045,0.14391786,-0.1208045,-0.25175604,0.17549638,-0.26441452,3.2200198,-1.0864096,2.3770583,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,1.8497626,0,0.0015441088306472237
