,F62,F64,F34,F69,F68,F104,F105,F107,F108,F109,F113,F116,F117,F120,F110,F122,F123,F114,F115,F61,F77,F88,F70,F41,F43,F42,F44,F126,F130,F37,F134,F74,F84,F16,F7,F12,F2,F6,F13,F1,F5,F15,F4,F11,F71,category,1
0,-0.21225066,-0.26328135,0.82960415,-0.07572129,0.39997724,-0.7963653,-1.0215551,-0.31727704,0.17031428,-0.18125731,-0.24115022,-0.54470265,0.11020995,-0.3642403,0.19066201,0.65025586,-0.3642403,0.865194,-0.23607753,0.2294238,-1.2518517,-1.019698,-1.2518517,-0.20899068,1.0965079,-0.25175604,0.13204226,-0.13356604,-0.087680906,6.8817663,1.9372165,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,0.96500033,2.8986719,-0.54060996,-0.42494717,-0.08185595,2.0251994,0,7.507012949491076e-05
1,-0.59441686,-0.26328135,0.030291805,-0.6078518,0.39997724,-0.7963653,0.22765008,-0.31727704,0.17031428,-0.18125731,-0.24115022,-0.54470265,0.11020995,-0.3642403,0.19066201,0.65025586,-0.3642403,0.865194,-0.23607753,0.12754071,-1.324391,-1.0795839,-1.324391,-0.20899068,1.0965079,-0.25175604,0.13204226,-0.13356604,-0.087680906,6.8817663,1.9372165,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.08185595,2.5504093,3.404957,-0.085960224,-0.6012105,2.8986719,-0.54060996,2.269679,-0.08185595,2.0251994,0,0.001566337396836811
2,-0.32984027,-0.26328135,0.030291805,-0.5014257,0.39997724,-0.7963653,0.77217543,-0.31727704,0.17031428,-0.18125731,-0.24115022,-0.54470265,0.11020995,-0.3642403,0.19066201,0.65025586,-0.3642403,0.865194,-0.23607753,0.12754071,-1.324391,-1.0795839,-1.324391,-0.20899068,1.0965079,-0.25175604,0.13204226,-0.13356604,-0.087680906,6.8817663,1.9372165,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,2.269679,-0.08185595,2.0251994,0,5.102718782851217e-05
3,-0.7120065,-0.26328135,-1.5683329,-0.6078518,0.39997724,-0.7963653,1.0141867,-0.31727704,0.17031428,-1.492003,-0.24115022,-0.54470265,-0.31713596,-0.2809779,-0.47566697,-2.0821548,-0.2809779,0.865194,-0.23607753,0.84072244,-1.1625923,-0.9564851,-1.1625923,-0.20899068,1.0965079,-0.25175604,0.13204226,-0.13356604,-0.087680906,6.8817663,1.9372165,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,-0.42494717,-0.08185595,2.4159102,0,1.970971722047056e-05
4,-0.7120065,-0.26328135,0.030291805,-0.6078518,0.39997724,-0.7963653,1.0141867,-0.31727704,0.17031428,-1.376349,-0.9308735,1.4852144,-0.31713596,-0.7392696,0.8379527,0.65025586,-0.7392696,0.865194,-0.23607753,1.1463717,-1.0658733,-0.90907544,-1.0658733,-0.20899068,1.0965079,-0.25175604,0.13204226,-0.13356604,-0.087680906,6.8817663,1.9372165,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.6012105,2.8986719,-0.54060996,-0.42494717,-0.08185595,2.4159102,0,0.003008544105724353
5,-0.7120065,-0.26328135,0.030291805,-0.6078518,0.39997724,-0.7963653,1.0141867,-0.31727704,0.17031428,-1.376349,-0.9308735,1.4852144,-0.31713596,-0.7392696,0.8379527,0.65025586,-0.7392696,0.865194,-0.23607753,1.1463717,-1.0658733,-0.90907544,-1.0658733,-0.20899068,1.0965079,-0.25175604,0.13204226,-0.13356604,-0.087680906,6.8817663,1.9372165,0.0696986,-1.2664572,2.3770583,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.6012105,-0.3449856,1.8497626,-0.42494717,-0.08185595,2.4159102,0,0.0009930930487319313
6,1.3458116,-0.26328135,1.0294323,-0.07572129,0.39997724,-0.8655768,-1.8622901,0.5396197,-4.8052955,-1.434176,0.4485731,3.515131,9.51182,-0.13858283,8.719671,-1.6267531,-0.13858283,0.865194,3.780104,17.19296,0.72574455,0.5015696,0.72574455,-0.20899068,1.0965079,-0.25175604,0.13204226,5.6608143,3.032166,2.1176457,1.9372165,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.08185595,-0.39209396,3.404957,-0.085960224,-0.6012105,2.8986719,-0.54060996,2.269679,-0.08185595,5.5415955,1,0.9998068886760122
7,-0.47682726,-0.26328135,0.030291805,-0.5014257,0.39997724,-0.8655768,-0.5588865,-0.31727704,0.17031428,-0.85590583,-0.24115022,-0.54470265,-0.028049037,1.9777333,-0.20521584,-1.1713514,1.9777333,0.865194,3.780104,3.3368585,-1.3195035,-1.0770886,-1.3195035,-0.20899068,1.0965079,-0.25175604,0.13204226,5.6608143,3.032166,2.1176457,1.9372165,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,-0.42494717,-0.08185595,3.1973317,0,0.0037600718296087383
8,-0.30044287,-0.26328135,0.030291805,-0.5014257,0.39997724,-0.8655768,-1.4577854,0.5396197,0.17031428,-1.4149003,0.4485731,3.515131,1.6486552,1.9777333,1.3634006,-1.1713514,1.9777333,0.865194,3.780104,2.368969,-1.4290842,-1.3349305,-1.4290842,-0.20899068,1.0965079,-0.25175604,0.13204226,5.6608143,3.032166,2.1176457,1.9372165,0.0696986,-1.2664572,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,-0.42494717,-0.08185595,2.4159102,1,0.8196014918735364
9,-0.7120065,-0.26328135,0.030291805,-0.6078518,0.39997724,-0.32110116,1.0141867,-0.31727704,0.17031428,-1.3570733,-0.9308735,1.4852144,0.91148347,-0.7392696,0.6737503,0.65025586,-0.7392696,0.865194,-0.23607753,-0.025283948,-1.1273516,-0.9431771,-1.1273516,-0.20899068,1.0965079,-0.25175604,0.13204226,-0.11583717,0.103720754,-0.26441452,1.9372165,0.66616446,-1.2664572,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,-0.42494717,-0.08185595,0.85306746,0,0.0157809905463891
10,-0.7120065,-0.26328135,0.030291805,-0.6078518,0.39997724,-0.32110116,1.0141867,-0.31727704,0.17031428,-1.3570733,-0.9308735,1.4852144,0.91148347,-0.7392696,0.6737503,0.65025586,-0.7392696,0.865194,-0.23607753,0.07659916,-1.0602142,-0.90658015,-1.0602142,-0.20899068,1.0965079,-0.25175604,0.13204226,-0.11583717,0.103720754,-0.26441452,1.9372165,0.66616446,-1.2664572,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.6012105,-0.3449856,-0.54060996,-0.42494717,-0.08185595,0.85306746,0,0.015083256059120899
