,F25,F62,F65,F64,F34,F69,F68,F101,F102,F104,F105,F107,F108,F95,F109,F79,F112,F113,F116,F117,F118,F119,F120,F110,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F44,F46,F126,F127,F128,F129,F130,F131,F37,F134,F74,F84,F146,F16,F7,F12,F2,F6,F13,F18,F14,F1,F5,F9,F15,F4,F8,F11,F71,category,1
0,1.1168591,-0.21225066,-0.5676763,-0.26328135,0.82960415,-0.07572129,0.39997724,-0.45889804,-0.50181425,-0.7963653,-1.0215551,-0.31727704,0.17031428,-0.52879393,-0.18125731,-0.24015363,-0.528794,-0.24115022,-0.54470265,0.11020995,-0.09346264,-0.15263934,-0.3642403,0.19066201,0.65025586,-0.3642403,0.865194,-0.23607753,0.2294238,-1.2518517,-1.019698,-1.2518517,-0.20899068,-0.19088058,1.0965079,-0.25175604,0.13204226,-0.16734496,-0.13356604,-0.11701487,0.2696863,-0.09775842,-0.087680906,-0.17921454,6.8817663,1.9372165,0.0696986,-1.2664572,0.62098426,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.396234,-0.03498556,0.96500033,2.8986719,-0.10493443,-0.54060996,-0.42494717,-0.11124854,-0.08185595,2.0251994,0,8.273434477945475e-05
1,1.1168591,-0.59441686,-0.5676763,-0.26328135,0.030291805,-0.6078518,0.39997724,0.1998404,-0.50181425,-0.7963653,0.22765008,-0.31727704,0.17031428,-0.52879393,-0.18125731,-0.24015363,-0.528794,-0.24115022,-0.54470265,0.11020995,-0.09346264,-0.15263934,-0.3642403,0.19066201,0.65025586,-0.3642403,0.865194,-0.23607753,0.12754071,-1.324391,-1.0795839,-1.324391,-0.20899068,-0.19088058,1.0965079,-0.25175604,0.13204226,-0.16734496,-0.13356604,-0.11701487,0.2696863,-0.09775842,-0.087680906,-0.17921454,6.8817663,1.9372165,0.0696986,-1.2664572,0.62098426,-0.42068797,-0.11675073,-0.08185595,2.5504093,3.404957,-0.085960224,-0.396234,-0.03498556,-0.6012105,2.8986719,-0.10493443,-0.54060996,2.269679,-0.11124854,-0.08185595,2.0251994,0,0.0016404112869139987
2,1.1168591,-0.32984027,-0.5676763,-0.26328135,0.030291805,-0.5014257,0.39997724,0.06421782,-0.50181425,-0.7963653,0.77217543,-0.31727704,0.17031428,-0.52879393,-0.18125731,-0.24015363,-0.528794,-0.24115022,-0.54470265,0.11020995,-0.09346264,-0.15263934,-0.3642403,0.19066201,0.65025586,-0.3642403,0.865194,-0.23607753,0.12754071,-1.324391,-1.0795839,-1.324391,-0.20899068,-0.19088058,1.0965079,-0.25175604,0.13204226,-0.16734496,-0.13356604,-0.11701487,0.2696863,-0.09775842,-0.087680906,-0.17921454,6.8817663,1.9372165,0.0696986,-1.2664572,0.62098426,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.396234,-0.03498556,-0.6012105,-0.3449856,-0.10493443,-0.54060996,2.269679,-0.11124854,-0.08185595,2.0251994,0,5.156958377432983e-05
3,1.1168591,-0.7120065,-0.5676763,-0.26328135,-1.5683329,-0.6078518,0.39997724,1.2751342,-0.50181425,-0.7963653,1.0141867,-0.31727704,0.17031428,-0.52879393,-1.492003,-0.24015363,-0.528794,-0.24115022,-0.54470265,-0.31713596,-0.19168533,-0.18336852,-0.2809779,-0.47566697,-2.0821548,-0.2809779,0.865194,-0.23607753,0.84072244,-1.1625923,-0.9564851,-1.1625923,-0.20899068,-0.19088058,1.0965079,-0.25175604,0.13204226,-0.16734496,-0.13356604,-0.11701487,0.2696863,-0.09775842,-0.087680906,-0.17921454,6.8817663,1.9372165,0.0696986,-1.2664572,0.62098426,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.396234,-0.03498556,-0.6012105,-0.3449856,-0.10493443,-0.54060996,-0.42494717,-0.11124854,-0.08185595,2.4159102,0,1.8633605052771095e-05
4,1.1168591,-0.7120065,-0.5676763,-0.26328135,0.030291805,-0.6078518,0.39997724,1.1685735,-0.50181425,-0.7963653,1.0141867,-0.31727704,0.17031428,-0.52879393,-1.376349,-0.9294366,-0.528794,-0.9308735,1.4852144,-0.31713596,-0.19168533,-0.0007475293,-0.7392696,0.8379527,0.65025586,-0.7392696,0.865194,-0.23607753,1.1463717,-1.0658733,-0.90907544,-1.0658733,-0.20899068,-0.19088058,1.0965079,-0.25175604,0.13204226,-0.16734496,-0.13356604,-0.11701487,0.2696863,-0.09775842,-0.087680906,-0.17921454,6.8817663,1.9372165,0.0696986,-1.2664572,0.62098426,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.396234,-0.03498556,-0.6012105,2.8986719,-0.10493443,-0.54060996,-0.42494717,-0.11124854,-0.08185595,2.4159102,0,0.0031614264304637243
5,1.1168591,-0.7120065,-0.5676763,-0.26328135,0.030291805,-0.6078518,0.39997724,0.27733904,-0.50181425,-0.7963653,1.0141867,-0.31727704,0.17031428,-0.52879393,-1.376349,-0.9294366,-0.528794,-0.9308735,1.4852144,-0.31713596,-0.19168533,-0.0007475293,-0.7392696,0.8379527,0.65025586,-0.7392696,0.865194,-0.23607753,1.1463717,-1.0658733,-0.90907544,-1.0658733,-0.20899068,-0.19088058,1.0965079,-0.25175604,0.13204226,-0.16734496,-0.13356604,-0.11701487,0.2696863,-0.09775842,-0.087680906,-0.17921454,6.8817663,1.9372165,0.0696986,-1.2664572,0.62098426,2.3770583,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.396234,-0.03498556,-0.6012105,-0.3449856,6.0262346,1.8497626,-0.42494717,8.988882,-0.08185595,2.4159102,0,0.0004588490988324292
6,1.0913918,1.3458116,-0.26237768,-0.26328135,1.0294323,-0.07572129,0.39997724,-0.06835555,-0.0056911632,-0.8655768,-1.8622901,0.5396197,-4.8052955,-0.6540749,-1.434176,0.4491294,-0.65407497,0.4485731,3.515131,9.51182,-0.19168533,9.089539,-0.13858283,8.719671,-1.6267531,-0.13858283,0.865194,3.780104,17.19296,0.72574455,0.5015696,0.72574455,-0.20899068,-0.18824065,1.0965079,-0.25175604,0.13204226,-0.16734496,5.6608143,5.581581,9.303643,6.3301373,3.032166,1.3308096,2.1176457,1.9372165,0.0696986,-1.2664572,0.62098426,-0.42068797,-0.11675073,-0.08185595,-0.39209396,3.404957,-0.085960224,-0.396234,-0.03498556,-0.6012105,2.8986719,-0.10493443,-0.54060996,2.269679,-0.11124854,-0.08185595,5.5415955,1,0.9966835876311314
7,1.0913918,-0.47682726,-0.26237768,-0.26328135,0.030291805,-0.5014257,0.39997724,-0.0048887995,-0.0056911632,-0.8655768,-0.5588865,-0.31727704,0.17031428,-0.6540749,-0.85590583,-0.24015363,-0.65407497,-0.24115022,-0.54470265,-0.028049037,-0.11077906,-0.21291478,1.9777333,-0.20521584,-1.1713514,1.9777333,0.865194,3.780104,3.3368585,-1.3195035,-1.0770886,-1.3195035,-0.20899068,-0.18824065,1.0965079,-0.25175604,0.13204226,-0.16734496,5.6608143,5.581581,9.303643,6.3301373,3.032166,1.3308096,2.1176457,1.9372165,0.0696986,-1.2664572,0.62098426,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.396234,-0.03498556,-0.6012105,-0.3449856,-0.10493443,-0.54060996,-0.42494717,-0.11124854,-0.08185595,3.1973317,0,0.000626679916241264
8,1.0913918,-0.30044287,-0.26237768,-0.26328135,0.030291805,-0.5014257,0.39997724,-0.08260321,-0.0056911632,-0.8655768,-1.4577854,0.5396197,0.17031428,-0.6540749,-1.4149003,0.4491294,-0.65407497,0.4485731,3.515131,1.6486552,0.261782,-0.21291478,1.9777333,1.3634006,-1.1713514,1.9777333,0.865194,3.780104,2.368969,-1.4290842,-1.3349305,-1.4290842,-0.20899068,-0.18824065,1.0965079,-0.25175604,0.13204226,-0.16734496,5.6608143,5.581581,9.303643,6.3301373,3.032166,1.3308096,2.1176457,1.9372165,0.0696986,-1.2664572,0.62098426,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.396234,-0.03498556,-0.6012105,-0.3449856,-0.10493443,-0.54060996,-0.42494717,-0.11124854,-0.08185595,2.4159102,1,0.38102163479083984
9,2.6062548,-0.7120065,-0.96020323,-0.26328135,0.030291805,-0.6078518,0.39997724,-0.04402756,-0.7018639,-0.32110116,1.0141867,-0.31727704,0.17031428,-0.69583523,-1.3570733,-0.9294366,-0.69583523,-0.9308735,1.4852144,0.91148347,0.27329582,-0.0007475293,-0.7392696,0.6737503,0.65025586,-0.7392696,0.865194,-0.23607753,-0.025283948,-1.1273516,-0.9431771,-1.1273516,-0.20899068,-0.22702442,1.0965079,-0.25175604,0.13204226,-0.16734496,-0.11583717,-0.26503035,-0.1310134,-0.18309955,0.103720754,-0.29227617,-0.26441452,1.9372165,0.66616446,-1.2664572,0.62098426,-0.42068797,-0.11675073,-0.08185595,-0.39209396,-0.26468047,-0.085960224,-0.396234,-0.03498556,-0.6012105,-0.3449856,-0.10493443,-0.54060996,-0.42494717,-0.11124854,-0.08185595,0.85306746,0,0.020606517644093908
