,F62,F67,F66,F104,F79,F113,F116,F117,F118,F120,F115,F42,F83,F3,F1,F4,category,1
0,-0.069962844,-0.31527,-1.2447813,1.6284035,-0.30483934,-0.30601406,-0.6569131,0.17418268,-0.5619273,1.6755152,-0.4044043,-0.9618143,0.17548929,0.1943628,0.56534547,-0.70600045,0,0.0005260617690423219
1,-0.09041848,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,0.17548929,-0.7090083,-0.7745457,-0.70600045,1,0.999999099091638
2,-0.09041848,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,0.17548929,-0.7090083,-0.7745457,-0.70600045,1,0.999999099091638
3,-0.09041848,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,0.17548929,-0.7090083,-0.7745457,-0.70600045,1,0.999999099091638
4,-0.09041848,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,0.17548929,-0.7090083,-0.7745457,-0.70600045,1,0.999999099091638
5,-0.09753349,-0.2264202,-1.1642803,0.86515903,-0.30483934,-0.30601406,2.3423522,2.0862057,-0.5147649,0.7421534,4.738445,-0.95928603,0.17548929,-0.7090083,-0.7745457,-0.70600045,1,0.9999981806203339
6,0.1319254,-0.31527,-1.1642803,-0.42543614,0.16259405,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.95928603,0.16896212,-0.7090083,-0.7745457,-0.70600045,0,0.000364812830295655
7,-0.022825938,-0.31527,-1.1642803,-0.42543614,0.16259405,0.16171953,-0.6569131,0.33444262,-0.5970422,0.7421534,-0.4044043,-0.95928603,0.16896212,-0.7090083,-0.7745457,-0.70600045,0,0.001678408343462951
8,-0.095754735,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,0.16896212,-0.7090083,-0.7745457,-0.70600045,1,0.9999938024603512
9,-0.09842286,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,0.33444262,-0.5970422,0.7421534,4.738445,-0.95928603,0.16896212,-0.7090083,-0.7745457,-0.70600045,1,0.9999807824909409
10,-0.09842286,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,0.92339736,-0.5607914,0.7421534,4.738445,-0.95928603,0.16896212,-0.7090083,-0.7745457,-0.70600045,1,0.9999883719856004
11,-0.07707785,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,0.92339736,-0.5607914,0.7421534,4.738445,-0.95928603,0.16896212,-0.7090083,-0.7745457,-0.70600045,1,0.9999881228055496
12,-0.085082226,-0.2264202,-1.1642803,-0.22290015,-0.30483934,-0.30601406,2.3423522,0.33444262,-0.5970422,0.7421534,4.738445,-0.95928603,-0.5881905,-0.7090083,-0.7745457,-0.70600045,1,0.9999974275841568
