,F62,F67,F66,F104,F79,F113,F116,F117,F118,F120,F115,F42,F83,F3,F18,F1,F4,category,1
0,-0.069962844,-0.31527,-1.2447813,1.6284035,-0.30483934,-0.30601406,-0.6569131,0.17418268,-0.5619273,1.6755152,-0.4044043,-0.9618143,0.17548929,0.1943628,-0.098595366,0.56534547,-0.70600045,0,0.0005703056396355309
1,-0.09041848,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,0.17548929,-0.7090083,-0.098595366,-0.7745457,-0.70600045,1,0.9999989024781226
2,-0.09041848,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,0.17548929,-0.7090083,-0.098595366,-0.7745457,-0.70600045,1,0.9999989024781226
3,-0.09041848,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,0.17548929,-0.7090083,-0.098595366,-0.7745457,-0.70600045,1,0.9999989024781226
4,-0.09041848,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,0.17548929,-0.7090083,-0.098595366,-0.7745457,-0.70600045,1,0.9999989024781226
5,-0.09753349,-0.2264202,-1.1642803,0.86515903,-0.30483934,-0.30601406,2.3423522,2.0862057,-0.5147649,0.7421534,4.738445,-0.95928603,0.17548929,-0.7090083,-0.098595366,-0.7745457,-0.70600045,1,0.9999979908559192
6,0.1319254,-0.31527,-1.1642803,-0.42543614,0.16259405,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.95928603,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,0.000408038148705286
7,-0.022825938,-0.31527,-1.1642803,-0.42543614,0.16259405,0.16171953,-0.6569131,0.33444262,-0.5970422,0.7421534,-0.4044043,-0.95928603,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,0.0017740280717990515
8,-0.095754735,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.70600045,1,0.999992657528595
9,-0.09842286,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,0.33444262,-0.5970422,0.7421534,4.738445,-0.95928603,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.70600045,1,0.999980037174163
10,-0.09842286,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,0.92339736,-0.5607914,0.7421534,4.738445,-0.95928603,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.70600045,1,0.9999876526743882
11,-0.07707785,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,0.92339736,-0.5607914,0.7421534,4.738445,-0.95928603,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.70600045,1,0.9999873870023975
12,-0.085082226,-0.2264202,-1.1642803,-0.22290015,-0.30483934,-0.30601406,2.3423522,0.33444262,-0.5970422,0.7421534,4.738445,-0.95928603,-0.5881905,-0.7090083,-0.098595366,-0.7745457,-0.70600045,1,0.9999973288550227
13,-0.09219723,-0.31527,-1.2359765,0.97776264,0.16259405,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.9415884,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,0.00020464844214887216
14,-0.09219723,-0.31527,-1.2359765,0.97776264,-0.30483934,-0.30601406,0.092903145,-0.5716418,-0.6719447,1.0032079,-0.4044043,-0.9415884,0.16896212,-0.7090083,-0.098595366,0.56534547,-0.70600045,0,0.002262122516789773
15,-0.09397598,-0.31527,-1.2359765,0.97776264,-0.30483934,-0.30601406,-0.6569131,-0.7125883,-0.68297017,0.7421534,-0.4044043,-0.9415884,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,0.00022787980612421575
16,-0.0788566,-0.2264202,-1.2661643,2.1679947,-0.30483934,-0.30601406,-0.6569131,2.219098,-0.51890874,1.0032079,-0.4044043,-0.9618143,0.932642,1.0977339,-0.098595366,-0.7745457,-0.70600045,0,0.00292250477773805
17,-0.100201614,-0.13757037,-1.2246561,1.0524938,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.9441166,-0.81337816,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,0.022779895058634172
18,0.01363846,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.6755152,0.6241654,-0.9441166,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,0.0019002300701897014
19,-0.05662221,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.6755152,0.6241654,-0.9441166,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,0.0020378841122594476
20,-0.100201614,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,2.3423522,7.401901,-0.73624545,1.6755152,0.6241654,-0.9441166,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.70600045,1,0.9999886805360323
21,-0.100201614,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,-0.6569131,-1.0818536,-0.6815404,-0.79336905,0.6241654,-0.9441166,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,0.00034197674960120155
22,-0.09753349,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,-0.6569131,2.580689,0.033007268,-0.79336905,0.6241654,-0.9441166,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,0.010079143560220301
23,-0.100201614,-0.2264202,-1.2246561,1.1478826,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.9441166,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,0.020778730241894253
24,-0.095754735,-0.2264202,-1.2309452,1.6176001,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.0032079,-0.4044043,-0.9618143,1.099085,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,6.639277183423442e-05
25,-0.09308661,-0.048720524,-1.2309452,1.0336478,-0.30483934,-0.30601406,-0.6569131,2.0862057,-0.5147649,0.7421534,-0.4044043,-0.9618143,1.5951506,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,0.0008155755617315468
26,-0.09753349,-0.048720524,-1.2309452,1.0336478,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.6755152,-0.4044043,-0.9618143,1.5951506,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,0.00011424858220764187
27,-0.071741596,-0.048720524,-1.2309452,1.0336478,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.0032079,-0.4044043,-0.9618143,1.5951506,-0.7090083,-0.098595366,-0.7745457,-0.70600045,0,6.470299906041356e-05
