,F62,F64,F67,F66,F104,F79,F113,F116,F117,F118,F120,F115,F42,F133,F134,F83,F3,F18,F1,F5,F4,category,1
0,-0.069962844,-1.0341388,-0.31527,-1.2447813,1.6284035,-0.30483934,-0.30601406,-0.6569131,0.17418268,-0.5619273,1.6755152,-0.4044043,-0.9618143,-1.0097094,-1.0952266,0.17548929,0.1943628,-0.098595366,0.56534547,-0.24996941,-0.70600045,0,0.0006596925484937886
1,-0.09041848,-0.9668807,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999988525603217
2,-0.09041848,-0.9668807,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999988525603217
3,-0.09041848,-0.9668807,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999988525603217
4,-0.09041848,-0.9668807,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999988525603217
5,-0.09753349,-0.9668807,-0.2264202,-1.1642803,0.86515903,-0.30483934,-0.30601406,2.3423522,2.0862057,-0.5147649,0.7421534,4.738445,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999982372886208
6,0.1319254,-0.9668807,-0.31527,-1.1642803,-0.42543614,0.16259405,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0004299966010852504
7,-0.022825938,-0.9668807,-0.31527,-1.1642803,-0.42543614,0.16259405,0.16171953,-0.6569131,0.33444262,-0.5970422,0.7421534,-0.4044043,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0018189912893543927
8,-0.095754735,-0.9668807,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999931956072616
9,-0.09842286,-0.9668807,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,0.33444262,-0.5970422,0.7421534,4.738445,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999823749360384
10,-0.09842286,-0.9668807,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,0.92339736,-0.5607914,0.7421534,4.738445,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999889718835047
11,-0.07707785,-0.9668807,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,0.92339736,-0.5607914,0.7421534,4.738445,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999887312009834
12,-0.085082226,-0.9668807,-0.2264202,-1.1642803,-0.22290015,-0.30483934,-0.30601406,2.3423522,0.33444262,-0.5970422,0.7421534,4.738445,-0.95928603,-0.9904764,-1.059889,-0.5881905,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999978201235228
13,-0.09219723,-1.018184,-0.31527,-1.2359765,0.97776264,0.16259405,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.9415884,-0.9796873,-1.0920141,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.00021792741520418915
14,-0.09219723,-1.018184,-0.31527,-1.2359765,0.97776264,-0.30483934,-0.30601406,0.092903145,-0.5716418,-0.6719447,1.0032079,-0.4044043,-0.9415884,-0.9796873,-1.0920141,0.16896212,-0.7090083,-0.098595366,0.56534547,3.6027853,-0.70600045,0,0.006208585056097497
15,-0.09397598,-1.018184,-0.31527,-1.2359765,0.97776264,-0.30483934,-0.30601406,-0.6569131,-0.7125883,-0.68297017,0.7421534,-0.4044043,-0.9415884,-0.9796873,-1.0920141,0.16896212,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.00025367346637837797
16,-0.0788566,-1.0408784,-0.2264202,-1.2661643,2.1679947,-0.30483934,-0.30601406,-0.6569131,2.219098,-0.51890874,1.0032079,-0.4044043,-0.9618143,-1.0434841,-1.0952266,0.932642,1.0977339,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0026079058789414463
17,-0.100201614,-1.0161208,-0.13757037,-1.2246561,1.0524938,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.9441166,-1.0209676,-0.94423836,-0.81337816,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.024036413694646524
18,0.01363846,-1.0161208,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.6755152,0.6241654,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0020410375388936353
19,-0.05662221,-1.0161208,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.6755152,0.6241654,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0021910368015409104
20,-0.100201614,-1.0161208,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,2.3423522,7.401901,-0.73624545,1.6755152,0.6241654,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999872465161916
21,-0.100201614,-1.0161208,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,-0.6569131,-1.0818536,-0.6815404,-0.79336905,0.6241654,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0003562436928687619
22,-0.09753349,-1.0161208,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,-0.6569131,2.580689,0.033007268,-0.79336905,0.6241654,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.009917229539330065
23,-0.100201614,-1.0161208,-0.2264202,-1.2246561,1.1478826,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.02192491617563553
24,-0.095754735,-1.0015413,-0.2264202,-1.2309452,1.6176001,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.0032079,-0.4044043,-0.9618143,-1.0322258,-1.0759516,1.099085,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,6.893992018999844e-05
25,-0.09308661,-1.0015413,-0.048720524,-1.2309452,1.0336478,-0.30483934,-0.30601406,-0.6569131,2.0862057,-0.5147649,0.7421534,-0.4044043,-0.9618143,-1.0322258,-1.0759516,1.5951506,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0007892581119556739
26,-0.09753349,-1.0015413,-0.048720524,-1.2309452,1.0336478,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.6755152,-0.4044043,-0.9618143,-1.0322258,-1.0759516,1.5951506,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.00011933098268190862
27,-0.071741596,-1.0015413,-0.048720524,-1.2309452,1.0336478,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.0032079,-0.4044043,-0.9618143,-1.0322258,-1.0759516,1.5951506,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,6.699497835852367e-05
28,-0.100201614,-1.0015413,-0.048720524,-1.2309452,1.0336478,0.16259405,0.16171953,-0.6569131,-1.0818536,-0.6815404,-0.79336905,-0.4044043,-0.9618143,-1.0322258,-1.0759516,1.5951506,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,2.470794541252692e-05
29,-0.100201614,-1.0015413,-0.048720524,-1.2309452,1.0336478,0.16259405,0.16171953,-0.6569131,-1.0818536,-0.6815404,-0.79336905,-0.4044043,-0.9618143,-1.0322258,-1.0759516,1.5951506,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,2.470794541252692e-05
30,-0.100201614,-1.0015413,-0.048720524,-1.2309452,1.0336478,0.16259405,0.16171953,-0.6569131,-1.0818536,-0.6815404,-0.79336905,-0.4044043,-0.9618143,-1.0322258,-1.0759516,1.5951506,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,2.470794541252692e-05
31,-0.08419285,-1.0015413,-0.048720524,-1.2309452,1.0336478,-0.30483934,-0.30601406,-0.6569131,2.580689,0.033007268,-0.79336905,-0.4044043,-0.9618143,-1.0322258,-1.0759516,1.5951506,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0005150699562014879
32,-0.100201614,-1.0015413,-0.048720524,-1.2309452,1.0336478,0.16259405,0.16171953,-0.6569131,2.580689,0.033007268,-0.79336905,-0.4044043,-0.9618143,-1.0322258,-1.0759516,1.5951506,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0006958794756359265
33,-0.08775035,-1.0015413,-0.13757037,-1.2309452,1.7800115,0.16259405,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.9618143,-1.0322258,-1.0759516,2.956067,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,2.2838201369250627e-05
34,-0.05484346,-1.0015413,-0.13757037,-1.2309452,1.7800115,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.9618143,-1.0322258,-1.0759516,2.956067,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,1.661480483951139e-05
35,-0.08775035,-1.0015413,-0.13757037,-1.2309452,1.7800115,0.16259405,0.16171953,-0.6569131,-1.2361038,-0.73624545,1.6755152,-0.4044043,-0.9618143,-1.0322258,-1.0759516,2.956067,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,4.909237727624836e-05
36,-0.08419285,-1.0015413,-0.13757037,-1.2309452,1.7800115,-0.30483934,-0.30601406,-0.6569131,-0.5716418,-0.66980135,0.7421534,-0.4044043,-0.9618143,-1.0322258,-1.0759516,2.956067,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,2.969704764384432e-05
37,-0.100201614,-1.0015413,-0.13757037,-1.2309452,1.7800115,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.9618143,-1.0322258,-1.0759516,2.956067,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,1.7394812099506308e-05
38,-0.100201614,-1.0015413,0.04012931,-1.2309452,1.7502506,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.6755152,-0.4044043,-0.9618143,-1.0322258,-1.0759516,0.17548929,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0001397140454067682
39,-0.100201614,-0.3707036,-0.2264202,-0.19575302,1.2973534,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.5359731,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.008635324919359049
40,-0.100201614,-0.3707036,-0.2264202,-0.19575302,0.43152988,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.5359731,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.015854472523562438
41,-0.100201614,-0.3707036,-0.048720524,-0.19575302,-0.35917073,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.5359731,0.1943628,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.04138023796051491
42,-0.100201614,-0.3707036,0.12897915,-0.19575302,-0.103243455,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,0.8813079,-0.54212713,0.39100605,2.7565777,-0.82316893,0.1943628,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.22837977514675406
43,-0.100201614,-0.3707036,0.12897915,-0.19575302,-0.103243455,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,0.8813079,-0.54212713,0.39100605,2.7565777,-0.82316893,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.14175416086343906
44,-0.100201614,-0.3707036,0.12897915,-0.19575302,-0.103243455,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.0032079,0.8813079,-0.54212713,0.39100605,2.7565777,-0.82316893,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0017027081625653436
45,-0.100201614,-0.3707036,0.12897915,-0.19575302,-0.103243455,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.0032079,0.8813079,-0.54212713,0.39100605,2.7565777,-0.82316893,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0017027081625653436
46,0.13103603,-0.3707036,0.21782899,-0.19575302,-0.07836352,0.16259405,0.16171953,2.3423522,2.5332072,-0.50609607,0.7421534,4.738445,-0.54212713,0.39100605,2.7565777,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999986706675691
47,0.13103603,-0.3707036,0.21782899,-0.19575302,-0.07836352,0.16259405,0.16171953,2.3423522,2.5332072,-0.50609607,0.7421534,4.738445,-0.54212713,0.39100605,2.7565777,-0.61103565,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999986706675691
48,-0.100201614,-0.3707036,-0.2264202,-0.19575302,1.973778,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.5359731,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.005358965538840897
49,0.011859708,-0.3707036,0.9286276,-0.19575302,-0.39868718,-0.30483934,-0.30601406,-0.6569131,-0.15635316,-0.5966797,1.6755152,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.27814957,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0003628872391231459
50,-0.100201614,-0.3707036,0.9286276,-0.19575302,-0.39868718,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.27814957,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.008935539057125583
51,-0.100201614,-0.3707036,0.9286276,-0.19575302,-0.39868718,0.16259405,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.27814957,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,9.992774247424029e-05
52,-0.100201614,-0.3707036,0.9286276,-0.19575302,-0.39868718,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.27814957,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.008935539057125583
53,-0.100201614,-0.3707036,0.9286276,-0.19575302,-0.39868718,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.27814957,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.008935539057125583
54,-0.100201614,-0.3707036,0.9286276,-0.19575302,-0.39868718,0.16259405,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.27814957,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,9.992774247424029e-05
55,-0.100201614,-0.3707036,0.9286276,-0.19575302,-0.39868718,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.27814957,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.008935539057125583
56,-0.100201614,-0.3707036,0.9286276,-0.19575302,-0.39868718,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.27814957,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.008935539057125583
57,-0.100201614,-0.3707036,0.9286276,-0.19575302,-0.39868718,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.27814957,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.008935539057125583
58,-0.100201614,-0.3707036,0.9286276,-0.19575302,-0.39868718,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.27814957,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.008935539057125583
59,-0.100201614,-0.3707036,0.9286276,-0.19575302,-0.39868718,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.54212713,0.39100605,2.7565777,-0.27814957,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.008935539057125583
60,-0.08419285,-0.3707036,-0.31527,-0.19575302,1.8066614,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.54212713,0.39100605,2.7565777,0.9848594,-0.7090083,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,2.4297014142201744e-05
