,F62,F64,F67,F66,F104,F79,F113,F116,F117,F118,F120,F115,F42,F133,F134,F83,F3,F6,F18,F1,F5,F4,category,1
0,-0.069962844,-1.0341388,-0.31527,-1.2447813,1.6284035,-0.30483934,-0.30601406,-0.6569131,0.17418268,-0.5619273,1.6755152,-0.4044043,-0.9618143,-1.0097094,-1.0952266,0.17548929,0.1943628,-0.21152818,-0.098595366,0.56534547,-0.24996941,-0.70600045,0,0.0006315394293380958
1,-0.09041848,-0.9668807,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999988726804502
2,-0.09041848,-0.9668807,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999988726804502
3,-0.09041848,-0.9668807,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999988726804502
4,-0.09041848,-0.9668807,-0.2264202,-1.1642803,0.86515903,1.0974607,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999988726804502
5,-0.09753349,-0.9668807,-0.2264202,-1.1642803,0.86515903,-0.30483934,-0.30601406,2.3423522,2.0862057,-0.5147649,0.7421534,4.738445,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999981865558464
6,0.1319254,-0.9668807,-0.31527,-1.1642803,-0.42543614,0.16259405,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.00045917453852743333
7,-0.022825938,-0.9668807,-0.31527,-1.1642803,-0.42543614,0.16259405,0.16171953,-0.6569131,0.33444262,-0.5970422,0.7421534,-0.4044043,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.001883262068027619
8,-0.095754735,-0.9668807,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999927367860606
9,-0.09842286,-0.9668807,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,0.33444262,-0.5970422,0.7421534,4.738445,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999822258876799
10,-0.09842286,-0.9668807,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,0.92339736,-0.5607914,0.7421534,4.738445,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999887451775458
11,-0.07707785,-0.9668807,0.12897915,-1.1642803,1.7322657,-0.30483934,-0.30601406,2.3423522,0.92339736,-0.5607914,0.7421534,4.738445,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999884971809672
12,-0.085082226,-0.9668807,-0.2264202,-1.1642803,-0.22290015,-0.30483934,-0.30601406,2.3423522,0.33444262,-0.5970422,0.7421534,4.738445,-0.95928603,-0.9904764,-1.059889,-0.5881905,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999979015592771
13,-0.09219723,-1.018184,-0.31527,-1.2359765,0.97776264,0.16259405,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.9415884,-0.9796873,-1.0920141,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0002276308470439013
14,-0.09219723,-1.018184,-0.31527,-1.2359765,0.97776264,-0.30483934,-0.30601406,0.092903145,-0.5716418,-0.6719447,1.0032079,-0.4044043,-0.9415884,-0.9796873,-1.0920141,0.16896212,-0.7090083,-0.21152818,-0.098595366,0.56534547,3.6027853,-0.70600045,0,0.00925343756131427
15,-0.09397598,-1.018184,-0.31527,-1.2359765,0.97776264,-0.30483934,-0.30601406,-0.6569131,-0.7125883,-0.68297017,0.7421534,-0.4044043,-0.9415884,-0.9796873,-1.0920141,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0002562471310240831
16,-0.0788566,-1.0408784,-0.2264202,-1.2661643,2.1679947,-0.30483934,-0.30601406,-0.6569131,2.219098,-0.51890874,1.0032079,-0.4044043,-0.9618143,-1.0434841,-1.0952266,0.932642,1.0977339,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0024056822317181105
17,-0.100201614,-1.0161208,-0.13757037,-1.2246561,1.0524938,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.9441166,-1.0209676,-0.94423836,-0.81337816,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.02285705988662301
18,0.01363846,-1.0161208,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.6755152,0.6241654,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.002163694741624729
19,-0.05662221,-1.0161208,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.6755152,0.6241654,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.0023242572124633613
20,-0.100201614,-1.0161208,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,2.3423522,7.401901,-0.73624545,1.6755152,0.6241654,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,1,0.9999846322162718
21,-0.100201614,-1.0161208,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,-0.6569131,-1.0818536,-0.6815404,-0.79336905,0.6241654,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.00037390767912764435
22,-0.09753349,-1.0161208,0.04012931,-1.2246561,0.7411354,-0.30483934,-0.30601406,-0.6569131,2.580689,0.033007268,-0.79336905,0.6241654,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.009603635977490064
23,-0.100201614,-1.0161208,-0.2264202,-1.2246561,1.1478826,-0.7722727,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,0,0.020747956067513482
