,F62,F65,F64,F67,F66,F104,F108,F79,F111,F113,F116,F117,F118,F120,F115,F61,F42,F133,F134,F83,F3,F6,F18,F1,F5,F4,F8,category,1
0,-0.069962844,-0.7728175,-1.0341388,-0.31527,-1.2447813,1.6284035,-1.7042791,-0.30483934,-0.7824373,-0.30601406,-0.6569131,0.17418268,-0.5619273,1.6755152,-0.4044043,-0.36130634,-0.9618143,-1.0097094,-1.0952266,0.17548929,0.1943628,-0.21152818,-0.098595366,0.56534547,-0.24996941,-0.70600045,-0.09417136,0,0.00029769278337733133
1,-0.09041848,-0.6118451,-0.9668807,-0.2264202,-1.1642803,0.86515903,0.49416724,1.0974607,-0.7776585,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.41644275,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,1,0.9999985247555491
2,-0.09041848,-0.6118451,-0.9668807,-0.2264202,-1.1642803,0.86515903,0.49416724,1.0974607,-0.7776585,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.36130634,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,1,0.9999985463584092
3,-0.09041848,-0.6118451,-0.9668807,-0.2264202,-1.1642803,0.86515903,0.49416724,1.0974607,-0.7776585,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.41644275,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,1,0.9999985247555491
4,-0.09041848,-0.6118451,-0.9668807,-0.2264202,-1.1642803,0.86515903,0.49416724,1.0974607,-0.7776585,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.36130634,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,1,0.9999985463584092
5,-0.09753349,-0.6118451,-0.9668807,-0.2264202,-1.1642803,0.86515903,0.49416724,-0.30483934,-0.7776585,-0.30601406,2.3423522,2.0862057,-0.5147649,0.7421534,4.738445,-0.36130634,-0.95928603,-0.9904764,-1.059889,0.17548929,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,1,0.9999979588555311
6,0.1319254,-0.7498214,-0.9668807,-0.31527,-1.1642803,-0.42543614,-1.7042791,0.16259405,-0.7776585,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.36130634,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.0004016651762190495
7,-0.022825938,-0.7498214,-0.9668807,-0.31527,-1.1642803,-0.42543614,0.49416724,0.16259405,-0.7776585,0.16171953,-0.6569131,0.33444262,-0.5970422,0.7421534,-0.4044043,-0.36130634,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.002690805753927298
8,-0.095754735,-0.2899004,-0.9668807,0.12897915,-1.1642803,1.7322657,0.49416724,-0.30483934,-0.7776585,-0.30601406,2.3423522,2.580689,0.033007268,-0.79336905,4.738445,-0.3061699,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,1,0.9999857933397995
9,-0.09842286,-0.2899004,-0.9668807,0.12897915,-1.1642803,1.7322657,0.49416724,-0.30483934,-0.7776585,-0.30601406,2.3423522,0.33444262,-0.5970422,0.7421534,4.738445,-0.3061699,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,1,0.9999752331321684
10,-0.09842286,-0.2899004,-0.9668807,0.12897915,-1.1642803,1.7322657,0.49416724,-0.30483934,-0.7776585,-0.30601406,2.3423522,0.92339736,-0.5607914,0.7421534,4.738445,-0.3061699,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,1,0.9999831543988734
11,-0.07707785,-0.2899004,-0.9668807,0.12897915,-1.1642803,1.7322657,0.49416724,-0.30483934,-0.7776585,-0.30601406,2.3423522,0.92339736,-0.5607914,0.7421534,4.738445,-0.3061699,-0.95928603,-0.9904764,-1.059889,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,1,0.9999828249877402
12,-0.085082226,-0.7728175,-0.9668807,-0.2264202,-1.1642803,-0.22290015,0.49416724,-0.30483934,-0.7776585,-0.30601406,2.3423522,0.33444262,-0.5970422,0.7421534,4.738445,-0.25103348,-0.95928603,-0.9904764,-1.059889,-0.5881905,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,1,0.9999986005909994
13,-0.09219723,-0.565853,-1.018184,-0.31527,-1.2359765,0.97776264,0.49416724,0.16259405,-0.78156847,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-0.4044043,-0.581852,-0.9415884,-0.9796873,-1.0920141,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.00024680462397085517
14,-0.09219723,-0.565853,-1.018184,-0.31527,-1.2359765,0.97776264,-1.7042791,-0.30483934,-0.78156847,-0.30601406,0.092903145,-0.5716418,-0.6719447,1.0032079,-0.4044043,-0.25103348,-0.9415884,-0.9796873,-1.0920141,0.16896212,-0.7090083,-0.21152818,-0.098595366,0.56534547,3.6027853,-0.70600045,10.618941,0,0.00024302151984093902
15,-0.09397598,-0.565853,-1.018184,-0.31527,-1.2359765,0.97776264,0.49416724,-0.30483934,-0.78156847,-0.30601406,-0.6569131,-0.7125883,-0.68297017,0.7421534,-0.4044043,-0.25103348,-0.9415884,-0.9796873,-1.0920141,0.16896212,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.00028717859080712866
16,-0.0788566,-0.81880957,-1.0408784,-0.2264202,-1.2661643,2.1679947,0.49416724,-0.30483934,-0.7824373,-0.30601406,-0.6569131,2.219098,-0.51890874,1.0032079,-0.4044043,-0.63698846,-0.9618143,-1.0434841,-1.0952266,0.932642,1.0977339,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.0013348645103302102
17,-0.100201614,-0.6578372,-1.0161208,-0.13757037,-1.2246561,1.0524938,0.49416724,-0.7722727,-0.7798307,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,0.024648666,-0.9441166,-1.0209676,-0.94423836,-0.81337816,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.02259201045588428
18,0.01363846,-0.7038293,-1.0161208,0.04012931,-1.2246561,0.7411354,0.49416724,-0.30483934,-0.7798307,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.6755152,0.6241654,-0.25103348,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.002530592556794871
19,-0.05662221,-0.7038293,-1.0161208,0.04012931,-1.2246561,0.7411354,0.49416724,-0.30483934,-0.7798307,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.6755152,0.6241654,-0.25103348,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.002696715102798139
20,-0.100201614,-0.7038293,-1.0161208,0.04012931,-1.2246561,0.7411354,0.49416724,-0.30483934,-0.7798307,-0.30601406,2.3423522,7.401901,-0.73624545,1.6755152,0.6241654,-0.581852,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,1,0.9999641875340431
21,-0.100201614,-0.7038293,-1.0161208,0.04012931,-1.2246561,0.7411354,0.49416724,-0.30483934,-0.7798307,-0.30601406,-0.6569131,-1.0818536,-0.6815404,-0.79336905,0.6241654,0.35546723,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.0003946583934894371
22,-0.09753349,-0.7038293,-1.0161208,0.04012931,-1.2246561,0.7411354,0.49416724,-0.30483934,-0.7798307,-0.30601406,-0.6569131,2.580689,0.033007268,-0.79336905,0.6241654,0.35546723,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.007079197228365573
23,-0.100201614,-0.7038293,-1.0161208,-0.2264202,-1.2246561,1.1478826,0.49416724,-0.7722727,-0.7798307,-0.7737477,0.84271944,-0.18907285,-0.50622296,-0.92818224,-0.4044043,-0.25103348,-0.9441166,-1.0209676,-0.94423836,-0.61103565,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.019739347629863128
24,-0.095754735,-0.72682536,-1.0015413,-0.2264202,-1.2309452,1.6176001,0.49416724,-0.30483934,-0.77635527,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.0032079,-0.4044043,-0.36130634,-0.9618143,-1.0322258,-1.0759516,1.099085,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,7.363661808746197e-05
25,-0.09308661,-0.6118451,-1.0015413,-0.048720524,-1.2309452,1.0336478,0.49416724,-0.30483934,-0.77635527,-0.30601406,-0.6569131,2.0862057,-0.5147649,0.7421534,-0.4044043,-0.3061699,-0.9618143,-1.0322258,-1.0759516,1.5951506,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.0005495759114187654
26,-0.09753349,-0.6118451,-1.0015413,-0.048720524,-1.2309452,1.0336478,0.49416724,-0.30483934,-0.77635527,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.6755152,-0.4044043,-0.3061699,-0.9618143,-1.0322258,-1.0759516,1.5951506,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,0.00014567097967232355
27,-0.071741596,-0.6118451,-1.0015413,-0.048720524,-1.2309452,1.0336478,0.49416724,-0.30483934,-0.77635527,-0.30601406,-0.6569131,-1.2361038,-0.73624545,1.0032079,-0.4044043,-0.3061699,-0.9618143,-1.0322258,-1.0759516,1.5951506,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,7.66355456778854e-05
28,-0.100201614,-0.6118451,-1.0015413,-0.048720524,-1.2309452,1.0336478,0.49416724,0.16259405,-0.77635527,0.16171953,-0.6569131,-1.0818536,-0.6815404,-0.79336905,-0.4044043,-0.3061699,-0.9618143,-1.0322258,-1.0759516,1.5951506,-0.7090083,-0.21152818,-0.098595366,-0.7745457,-0.24996941,-0.70600045,-0.09417136,0,2.3586428893102115e-05
