,F62,F67,F79,F116,F117,F115,category,1
0,-0.069962844,-0.31527,-0.30483934,-0.6569131,0.17418268,-0.4044043,0,0.0006537680929576703
1,-0.09041848,-0.2264202,1.0974607,2.3423522,2.580689,4.738445,1,0.9999999061941413
2,-0.09041848,-0.2264202,1.0974607,2.3423522,2.580689,4.738445,1,0.9999999061941413
3,-0.09041848,-0.2264202,1.0974607,2.3423522,2.580689,4.738445,1,0.9999999061941413
4,-0.09041848,-0.2264202,1.0974607,2.3423522,2.580689,4.738445,1,0.9999999061941413
5,-0.09753349,-0.2264202,-0.30483934,2.3423522,2.0862057,4.738445,1,0.9999992046401376
6,0.1319254,-0.31527,0.16259405,-0.6569131,-1.2361038,-0.4044043,0,0.00019922995150470143
7,-0.022825938,-0.31527,0.16259405,-0.6569131,0.33444262,-0.4044043,0,0.0012533206467795234
8,-0.095754735,0.12897915,-0.30483934,2.3423522,2.580689,4.738445,1,0.9999993593299074
9,-0.09842286,0.12897915,-0.30483934,2.3423522,0.33444262,4.738445,1,0.9999932827126604
10,-0.09842286,0.12897915,-0.30483934,2.3423522,0.92339736,4.738445,1,0.9999963756799843
11,-0.07707785,0.12897915,-0.30483934,2.3423522,0.92339736,4.738445,1,0.9999962770002507
12,-0.085082226,-0.2264202,-0.30483934,2.3423522,0.33444262,4.738445,1,0.9999949370619869
13,-0.09219723,-0.31527,0.16259405,-0.6569131,-1.2361038,-0.4044043,0,0.0002641343117152257
14,-0.09219723,-0.31527,-0.30483934,0.092903145,-0.5716418,-0.4044043,0,0.004912956619362476
15,-0.09397598,-0.31527,-0.30483934,-0.6569131,-0.7125883,-0.4044043,0,0.00026622245334307113
16,-0.0788566,-0.2264202,-0.30483934,-0.6569131,2.219098,-0.4044043,0,0.005202348532805167
17,-0.100201614,-0.13757037,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.05635193766650515
18,0.01363846,0.04012931,-0.30483934,-0.6569131,-1.2361038,0.6241654,0,0.00052518131782443
19,-0.05662221,0.04012931,-0.30483934,-0.6569131,-1.2361038,0.6241654,0,0.0005737074056233712
20,-0.100201614,0.04012931,-0.30483934,2.3423522,7.401901,0.6241654,1,0.9999970679397655
21,-0.100201614,0.04012931,-0.30483934,-0.6569131,-1.0818536,0.6241654,0,0.0007122487733484462
22,-0.09753349,0.04012931,-0.30483934,-0.6569131,2.580689,0.6241654,0,0.03190241311794512
23,-0.100201614,-0.2264202,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.06046874206045841
24,-0.095754735,-0.2264202,-0.30483934,-0.6569131,-1.2361038,-0.4044043,0,0.00014307211696578973
25,-0.09308661,-0.048720524,-0.30483934,-0.6569131,2.0862057,-0.4044043,0,0.003971982904976713
26,-0.09753349,-0.048720524,-0.30483934,-0.6569131,-1.2361038,-0.4044043,0,0.0001234508066204905
27,-0.071741596,-0.048720524,-0.30483934,-0.6569131,-1.2361038,-0.4044043,0,0.00011950844833888877
28,-0.100201614,-0.048720524,0.16259405,-0.6569131,-1.0818536,-0.4044043,0,0.0002505101428610024
29,-0.100201614,-0.048720524,0.16259405,-0.6569131,-1.0818536,-0.4044043,0,0.0002505101428610024
30,-0.100201614,-0.048720524,0.16259405,-0.6569131,-1.0818536,-0.4044043,0,0.0002505101428610024
31,-0.08419285,-0.048720524,-0.30483934,-0.6569131,2.580689,-0.4044043,0,0.006576492115510475
32,-0.100201614,-0.048720524,0.16259405,-0.6569131,2.580689,-0.4044043,0,0.011490437478436134
33,-0.08775035,-0.13757037,0.16259405,-0.6569131,-1.2361038,-0.4044043,0,0.0002261356379461759
34,-0.05484346,-0.13757037,-0.30483934,-0.6569131,-1.2361038,-0.4044043,0,0.00012609000541845565
35,-0.08775035,-0.13757037,0.16259405,-0.6569131,-1.2361038,-0.4044043,0,0.0002261356379461759
36,-0.08419285,-0.13757037,-0.30483934,-0.6569131,-0.5716418,-0.4044043,0,0.00026241381305513507
37,-0.100201614,-0.13757037,-0.30483934,-0.6569131,-1.2361038,-0.4044043,0,0.0001334961644069187
38,-0.100201614,0.04012931,-0.30483934,-0.6569131,-1.2361038,-0.4044043,0,0.00011493043368370279
39,-0.100201614,-0.2264202,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.06046874206045841
40,-0.100201614,-0.2264202,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.06046874206045841
41,-0.100201614,-0.048720524,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.05249974940551917
42,-0.100201614,0.12897915,-0.7722727,0.84271944,-0.18907285,0.8813079,1,0.2760956825918985
43,-0.100201614,0.12897915,-0.7722727,0.84271944,-0.18907285,0.8813079,0,0.2760956825918985
44,-0.100201614,0.12897915,-0.30483934,-0.6569131,-1.2361038,0.8813079,0,0.000851993422181001
45,-0.100201614,0.12897915,-0.30483934,-0.6569131,-1.2361038,0.8813079,0,0.000851993422181001
46,0.13103603,0.21782899,0.16259405,2.3423522,2.5332072,4.738445,1,0.9999994389908952
47,0.13103603,0.21782899,0.16259405,2.3423522,2.5332072,4.738445,1,0.9999994389908952
48,-0.100201614,-0.2264202,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.06046874206045841
49,0.011859708,0.9286276,-0.30483934,-0.6569131,-0.15635316,-0.4044043,0,0.00014629832232947277
50,-0.100201614,0.9286276,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.023736412876236325
51,-0.100201614,0.9286276,0.16259405,-0.6569131,-1.2361038,-0.4044043,0,9.353653327336535e-05
52,-0.100201614,0.9286276,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.023736412876236325
53,-0.100201614,0.9286276,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.023736412876236325
54,-0.100201614,0.9286276,0.16259405,-0.6569131,-1.2361038,-0.4044043,0,9.353653327336535e-05
55,-0.100201614,0.9286276,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.023736412876236325
56,-0.100201614,0.9286276,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.023736412876236325
57,-0.100201614,0.9286276,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.023736412876236325
58,-0.100201614,0.9286276,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.023736412876236325
59,-0.100201614,0.9286276,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.023736412876236325
60,-0.08419285,-0.31527,-0.30483934,-0.6569131,-1.2361038,-0.4044043,0,0.00015196818258700923
61,-0.100201614,0.21782899,-0.30483934,-0.6569131,0.49149722,-0.4044043,0,0.0006042580525464875
62,-0.100201614,0.8397778,0.16259405,-0.6569131,0.49149722,-0.4044043,0,0.0006156262469274841
63,-0.100201614,0.8397778,0.16259405,-0.6569131,0.49149722,-0.4044043,0,0.0006156262469274841
64,-0.100201614,0.8397778,-0.7722727,0.84271944,-1.2361038,-0.4044043,0,0.008673544245582735
65,-0.100201614,0.8397778,-0.30483934,-0.6569131,2.0862057,-0.4044043,0,0.0018992844116866461
66,-0.09219723,-0.31527,0.16259405,-0.6569131,-1.2361038,2.1670203,0,0.016609268880768847
67,-0.08863973,-0.31527,-0.30483934,-0.6569131,0.23419486,-0.4044043,0,0.0007127073968998194
68,-0.076188475,0.04012931,-0.30483934,-0.6569131,3.0828984,-0.4044043,0,0.010186334231775902
69,-0.100201614,0.04012931,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.04889724974213246
70,-0.100201614,0.04012931,-0.7722727,0.84271944,-0.18907285,-0.4044043,0,0.04889724974213246
71,-0.100201614,0.04012931,0.16259405,-0.6569131,-1.2361038,-0.4044043,0,0.00019776297965498561
