,F72,F25,F62,F65,F64,F67,F66,F68,F101,F102,F103,F104,F105,F107,F108,F94,F95,F109,F23,F22,F79,F111,F112,F113,F116,F117,F118,F120,F110,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F135,F136,F137,F83,F74,F73,F84,F146,F3,F7,F12,F17,F2,F6,F18,F14,F1,F5,F9,F10,F4,F8,F11,category,1
0,0.41607442,0.4580252,-0.069962844,-0.7728175,-1.0341388,-0.31527,-1.2447813,-1.6261274,0.015127116,-0.56914437,-0.36052656,1.6284035,-0.7660151,0.79275495,-1.7042791,-0.7824371,-0.69681793,-0.7895958,-3.3145893,-0.6948579,-0.30483934,-0.7824373,-0.69681793,-0.30601406,-0.6569131,0.17418268,-0.5619273,1.6755152,0.15509538,-1.6189928,-0.8185991,-0.52510834,-0.4044043,-0.36130634,0.4443313,0.5006443,0.4443313,-0.9222315,-0.54671913,-0.5526732,-0.9618143,-0.8877076,-0.9704455,-1.3466519,-0.6781152,-0.0508793,-0.2921276,-0.5766613,-0.2118436,-0.7963662,-0.36910403,-0.7227155,-0.4245414,-1.143879,-0.13996476,-1.0097094,-1.0952266,-1.1425828,-1.1637784,-0.7917333,0.17548929,0.4858874,0.040953003,3.0549712,3.0448492,0.1943628,-0.33859366,-0.08296961,-0.11085185,-0.67453617,-0.21152818,-0.098595366,-0.089537024,0.56534547,-0.24996941,-0.071051955,-0.040953007,-0.70600045,-0.09417136,-0.08225623,0,0.00039272416530981505
1,0.1268128,0.111303955,-0.09041848,-0.6118451,-0.9668807,-0.2264202,-1.1642803,-1.4505966,-0.9669563,-0.42646405,-0.10677214,0.86515903,0.50305635,-0.28360763,0.49416724,-0.77765834,-0.6402355,-0.8304076,0.35899574,-0.6948579,1.0974607,-0.7776585,-0.64023554,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,2.567872,-0.92758423,0.5795489,5.844184,4.738445,-0.41644275,-0.6100215,-0.5575971,-0.6100215,-0.9155167,-0.54671913,-0.5366528,-0.95928603,-0.8785398,-0.96409965,-0.60919327,-0.5993282,-0.23385328,-0.17941621,-0.54043037,-0.2118436,-0.65161186,-0.36910403,-0.1749091,-0.4245414,-1.0419447,-0.13996476,-0.9904764,-1.059889,-1.0512019,-1.0475204,-0.2764418,0.17548929,0.4858874,0.040953003,0.45748088,0.46038952,-0.7090083,-0.33859366,-0.08296961,-0.11085185,-0.67453617,-0.21152818,-0.098595366,-0.089537024,-0.7745457,-0.24996941,-0.071051955,-0.040953007,-0.70600045,-0.09417136,-0.08225623,1,0.9999994784557096
2,0.1268128,0.111303955,-0.09041848,-0.6118451,-0.9668807,-0.2264202,-1.1642803,-1.4505966,-0.9795323,-0.42646405,-0.10677214,0.86515903,0.007097411,-0.28360763,0.49416724,-0.77765834,-0.6402355,-0.8304076,0.35899574,-0.6948579,1.0974607,-0.7776585,-0.64023554,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,2.567872,-0.92758423,0.5795489,5.844184,4.738445,-0.36130634,0.15407418,0.14789718,0.15407422,-0.9155167,-0.54671913,-0.5366528,-0.95928603,-0.8785398,-0.96409965,-0.60919327,-0.5993282,-0.23385328,-0.17941621,-0.54043037,-0.2118436,-0.65161186,-0.36910403,-0.1749091,-0.4245414,-1.0419447,-0.13996476,-0.9904764,-1.059889,-1.0512019,-1.0475204,-0.2764418,0.17548929,0.4858874,0.040953003,0.45748088,0.46038952,-0.7090083,-0.33859366,-0.08296961,-0.11085185,-0.67453617,-0.21152818,-0.098595366,-0.089537024,-0.7745457,-0.24996941,-0.071051955,-0.040953007,-0.70600045,-0.09417136,-0.08225623,1,0.9999993021457406
3,0.1268128,0.111303955,-0.09041848,-0.6118451,-0.9668807,-0.2264202,-1.1642803,-1.4505966,-1.1744595,-0.42646405,-0.10677214,0.86515903,0.50305635,-0.28360763,0.49416724,-0.77765834,-0.6402355,-0.8304076,0.35899574,-0.6948579,1.0974607,-0.7776585,-0.64023554,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,2.567872,-0.92758423,0.5795489,5.844184,4.738445,-0.41644275,-0.6100215,-0.5575971,-0.6100215,-0.9155167,-0.54671913,-0.5366528,-0.95928603,-0.8785398,-0.96409965,-0.60919327,-0.5993282,-0.23385328,-0.17941621,-0.54043037,-0.2118436,-0.65161186,-0.36910403,-0.1749091,-0.4245414,-1.0419447,-0.13996476,-0.9904764,-1.059889,-1.0512019,-1.0475204,-0.2764418,0.17548929,0.4858874,0.040953003,0.45748088,0.46038952,-0.7090083,-0.33859366,-0.08296961,-0.11085185,-0.67453617,-0.21152818,-0.098595366,-0.089537024,-0.7745457,-0.24996941,-0.071051955,-0.040953007,-0.70600045,-0.09417136,-0.08225623,1,0.999999489067214
4,0.1268128,0.111303955,-0.09041848,-0.6118451,-0.9668807,-0.2264202,-1.1642803,-1.4505966,-1.1870354,-0.42646405,-0.10677214,0.86515903,0.007097411,-0.28360763,0.49416724,-0.77765834,-0.6402355,-0.8304076,0.35899574,-0.6948579,1.0974607,-0.7776585,-0.64023554,1.0971867,2.3423522,2.580689,0.033007268,-0.79336905,2.567872,-0.92758423,0.5795489,5.844184,4.738445,-0.36130634,0.15407418,0.14789718,0.15407422,-0.9155167,-0.54671913,-0.5366528,-0.95928603,-0.8785398,-0.96409965,-0.60919327,-0.5993282,-0.23385328,-0.17941621,-0.54043037,-0.2118436,-0.65161186,-0.36910403,-0.1749091,-0.4245414,-1.0419447,-0.13996476,-0.9904764,-1.059889,-1.0512019,-1.0475204,-0.2764418,0.17548929,0.4858874,0.040953003,0.45748088,0.46038952,-0.7090083,-0.33859366,-0.08296961,-0.11085185,-0.67453617,-0.21152818,-0.098595366,-0.089537024,-0.7745457,-0.24996941,-0.071051955,-0.040953007,-0.70600045,-0.09417136,-0.08225623,1,0.9999993163445007
5,0.1268128,0.111303955,-0.09753349,-0.6118451,-0.9668807,-0.2264202,-1.1642803,-1.4505966,1.3407295,-0.42646405,-0.10677214,0.86515903,0.08975732,-0.28360763,0.49416724,-0.77765834,-0.6402355,-1.0344669,0.9241626,0.7807114,-0.30483934,-0.7776585,-0.64023554,-0.30601406,2.3423522,2.0862057,-0.5147649,0.7421534,2.0721004,0.0058171675,0.7803628,5.844184,4.738445,-0.36130634,0.15407418,0.14789718,0.15407422,-0.9155167,-0.54671913,-0.5366528,-0.95928603,-0.8785398,-0.96409965,-0.60919327,-0.5993282,-0.23385328,-0.17941621,-0.54043037,-0.2118436,-0.65161186,-0.36910403,-0.1749091,-0.4245414,-1.0419447,-0.13996476,-0.9904764,-1.059889,-1.0512019,-1.0475204,-0.2764418,0.17548929,0.4858874,0.040953003,0.45748088,0.46038952,-0.7090083,-0.33859366,-0.08296961,-0.11085185,-0.67453617,-0.21152818,-0.098595366,-0.089537024,-0.7745457,-0.24996941,-0.071051955,-0.040953007,-0.70600045,-0.09417136,-0.08225623,1,0.999999220702869
6,0.1268128,0.111303955,0.1319254,-0.7498214,-0.9668807,-0.31527,-1.1642803,-1.4505966,-0.19348688,-0.4869218,-0.386777,-0.42543614,-1.148715,4.9715743,-1.7042791,-0.77765834,-0.6826723,-0.3202595,-0.20617115,-0.6948579,0.16259405,-0.7776585,-0.6826724,0.16171953,-0.6569131,-1.2361038,-0.73624545,0.7421534,-1.258866,0.0058171675,0.7803628,5.844184,-0.4044043,-0.36130634,0.15407418,0.14789718,0.15407422,-0.9155167,-0.54671913,-0.5366528,-0.95928603,-0.8785398,-0.96409965,-0.60919327,-0.6122634,-0.37108377,-0.2921276,-0.5833354,-0.2118436,-0.6291257,-0.36910403,-0.41646296,-0.4245414,-1.0419447,-0.13996476,-0.9904764,-1.059889,-1.0512019,-1.0475204,-0.2764418,0.16896212,0.48255178,0.040953003,0.45748088,0.46038952,-0.7090083,-0.33859366,-0.08296961,-0.11085185,-0.67453617,-0.21152818,-0.098595366,-0.089537024,-0.7745457,-0.24996941,-0.071051955,-0.040953007,-0.70600045,-0.09417136,-0.08225623,0,0.0013004464826796278
7,0.1268128,0.111303955,-0.022825938,-0.7498214,-0.9668807,-0.31527,-1.1642803,-1.4505966,-0.6177415,-0.4869218,-0.386777,-0.42543614,-1.1957457,4.9715743,0.49416724,-0.77765834,-0.6826723,-0.89842737,0.9241626,0.7807114,0.16259405,-0.7776585,-0.6826724,0.16171953,-0.6569131,0.33444262,-0.5970422,0.7421534,0.31577277,0.0058171675,0.7803628,5.844184,-0.4044043,-0.36130634,0.15407418,0.14789718,0.15407422,-0.9155167,-0.54671913,-0.5366528,-0.95928603,-0.8785398,-0.96409965,-0.60919327,-0.6122634,-0.37108377,-0.2921276,-0.5833354,-0.2118436,-0.6291257,-0.36910403,-0.41646296,-0.4245414,-1.0419447,-0.13996476,-0.9904764,-1.059889,-1.0512019,-1.0475204,-0.2764418,0.16896212,0.48255178,0.040953003,0.45748088,0.46038952,-0.7090083,-0.33859366,-0.08296961,-0.11085185,-0.67453617,-0.21152818,-0.098595366,-0.089537024,-0.7745457,-0.24996941,-0.071051955,-0.040953007,-0.70600045,-0.09417136,-0.08225623,0,0.013421097962217693
8,0.1268128,0.111303955,-0.095754735,-0.2899004,-0.9668807,0.12897915,-1.1642803,-1.4505966,-1.3441964,-0.3026466,0.42407045,1.7322657,0.45346054,-0.28360763,0.49416724,-0.77765834,-0.6543811,-0.8304076,0.35899574,-0.6948579,-0.30483934,-0.7776585,-0.65438116,-0.30601406,2.3423522,2.580689,0.033007268,-0.79336905,2.567872,-0.92758423,0.5795489,5.844184,4.738445,-0.3061699,0.15407418,0.14789718,0.15407422,-0.9155167,-0.54671913,-0.5366528,-0.95928603,-0.8785398,-0.96409965,-0.60919327,0.359051,-0.11695324,-0.27602598,0.25283626,-0.2118436,0.46145058,-0.36910403,0.27865356,-0.4245414,-1.0419447,-0.13996476,-0.9904764,-1.059889,-1.0512019,-1.0475204,-0.2764418,0.16896212,0.48255178,0.040953003,0.45748088,0.46038952,-0.7090083,-0.33859366,-0.08296961,-0.11085185,-0.67453617,-0.21152818,-0.098595366,-0.089537024,-0.7745457,-0.24996941,-0.071051955,-0.040953007,-0.70600045,-0.09417136,-0.08225623,1,0.9999934964518402
9,0.1268128,0.111303955,-0.09842286,-0.2899004,-0.9668807,0.12897915,-1.1642803,-1.4505966,-0.9205251,-0.3026466,0.42407045,1.7322657,0.9990154,-0.28360763,0.49416724,-0.77765834,-0.6543811,-0.89842737,0.9241626,0.7807114,-0.30483934,-0.7776585,-0.65438116,-0.30601406,2.3423522,0.33444262,-0.5970422,0.7421534,0.31577277,0.0058171675,0.7803628,5.844184,4.738445,-0.3061699,0.15407418,0.14789718,0.15407422,-0.9155167,-0.54671913,-0.5366528,-0.95928603,-0.8785398,-0.96409965,-0.60919327,0.359051,-0.11695324,-0.27602598,0.25283626,-0.2118436,0.46145058,-0.36910403,0.27865356,-0.4245414,-1.0419447,-0.13996476,-0.9904764,-1.059889,-1.0512019,-1.0475204,-0.2764418,0.16896212,0.48255178,0.040953003,0.45748088,0.46038952,-0.7090083,-0.33859366,-0.08296961,-0.11085185,-0.67453617,-0.21152818,-0.098595366,-0.089537024,-0.7745457,-0.24996941,-0.071051955,-0.040953007,-0.70600045,-0.09417136,-0.08225623,1,0.9999893579799962
