,F64,F69,F108,F109,F111,F116,F117,F110,F114,F115,F45,F38,F1,category,1
0,-0.7790405,-0.38570926,-0.8849096,-0.44301668,-0.9257764,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.08636365,-0.20193073,-0.32707766,0,0.0010128570471088214
1,-0.38978732,-0.38570926,-0.8849096,-0.44301668,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0008195719281986445
2,-0.38978732,-0.38570926,-0.8849096,-0.44301668,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0008195719281986445
3,-0.38978732,-0.38570926,-0.8849096,-0.44301668,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0008195719281986445
4,-0.526163,-0.38570926,-0.8849096,-0.44301668,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0011046245668706698
5,-0.526163,-0.38570926,-0.8849096,-0.44301668,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0011046245668706698
6,-0.6330705,-0.38570926,-0.8849096,-0.44301668,-1.1987896,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0008654674876898902
7,-0.40897584,-0.38570926,-0.8849096,-0.44301668,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0008575043238648066
8,-0.40897584,-0.38570926,-0.8849096,-0.44301668,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0008575043238648066
9,-0.40897584,-0.38570926,-0.8849096,-0.44301668,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0008575043238648066
10,-0.40897584,0.820993,0.024615882,1.514659,-1.062283,-0.80678064,-0.28713745,-0.28713742,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,8.455407911989285e-05
11,-0.40897584,-0.14436881,-0.8849096,0.22185442,-1.062283,-0.80678064,-0.35227492,-0.3522749,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.00011684792649104893
12,-0.40897584,-0.38570926,-0.8849096,-0.44301668,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0008575043238648066
13,-0.40897584,-0.084033705,0.024615882,1.514659,-1.062283,-0.80678064,-0.28713745,-0.28713742,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.00013541234910586036
14,-0.66116804,-0.32537416,0.024615882,1.514659,-1.062283,-0.80678064,-0.28713745,-0.28713742,2.2367778,-0.6877364,-0.37149706,-0.2588163,-0.32707766,0,0.0008659833565932632
15,-0.66116804,0.036636516,0.024615882,1.514659,-1.062283,-0.80678064,-0.28713745,-0.28713742,2.2367778,-0.6877364,-0.37149706,-0.2588163,-0.32707766,0,0.0007173908164890863
16,-0.66116804,-0.20470393,0.024615882,1.1822237,-1.062283,1.8314286,0.9045822,0.9045822,2.2367778,2.4259,-0.37149706,-0.2588163,-0.32707766,1,0.9999508038025241
17,-0.66116804,0.45898232,0.024615882,-0.73851484,-1.062283,1.8314286,2.2937868,2.2937868,2.2367778,2.4259,-0.37149706,-0.23353381,-0.32707766,1,0.9999835434064203
18,-0.66116804,0.45898232,0.024615882,-0.73851484,-1.062283,1.8314286,2.2937868,2.2937868,2.2367778,2.4259,-0.37149706,-0.23353381,-0.32707766,1,0.9999835434064203
19,-0.66116804,0.45898232,0.024615882,0.5173526,-1.062283,1.8314286,2.5048914,2.5048914,2.2367778,2.4259,-0.37149706,-0.23353381,-0.32707766,1,0.9999951834366059
20,-0.66116804,0.45898232,0.024615882,0.5173526,-1.062283,1.8314286,2.5048914,2.5048914,2.2367778,2.4259,-0.37149706,-0.23353381,-0.32707766,1,0.9999951834366059
21,-0.10058861,0.3383121,0.024615882,1.1822237,-0.72101665,-0.80678064,0.9045822,0.9045822,-0.9299314,-0.6877364,0.042406283,-0.2588163,-0.32707766,0,0.0008281887309076019
22,-0.10058861,-0.38570926,0.024615882,1.1822237,-0.72101665,-0.80678064,0.9045822,0.9045822,-0.9299314,-0.6877364,0.042406283,-0.2588163,-0.32707766,0,0.001206705784551409
23,-0.10058861,-0.14436881,0.024615882,1.1822237,-0.72101665,-0.80678064,0.9045822,0.9045822,-0.9299314,-0.6877364,0.042406283,-0.2588163,-0.32707766,0,0.0010644314811022728
24,-0.10058861,-0.26503903,0.024615882,-1.4033859,-0.72101665,-0.80678064,-0.8319236,-0.8319236,-0.9299314,-0.6877364,0.042406283,-0.2588163,-0.32707766,0,7.331270662535924e-06
25,-0.10058861,-0.084033705,0.024615882,-1.0340132,-0.72101665,-0.80678064,0.7002874,0.7002874,-0.9299314,-0.6877364,0.042406283,-0.2588163,-0.32707766,0,0.00016338474509052856
26,-0.10058861,-0.38570926,0.024615882,0.73897624,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,0.042406283,-0.2588163,-0.32707766,0,0.007912390162515546
27,-0.10058861,-0.38570926,0.024615882,0.73897624,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,0.042406283,-0.2588163,-0.32707766,0,0.007912390162515546
28,-0.10058861,-0.38570926,0.024615882,0.73897624,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,0.042406283,-0.2588163,2.6749535,0,0.024461131039731604
29,-0.10058861,-0.38570926,0.024615882,0.73897624,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,0.042406283,-0.2588163,-0.32707766,0,0.007912390162515546
30,-0.10058861,-0.38570926,0.024615882,0.73897624,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,0.042406283,-0.2588163,-0.32707766,0,0.007912390162515546
31,-0.10058861,-0.38570926,0.024615882,0.73897624,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,0.042406283,-0.2588163,-0.32707766,0,0.007912390162515546
32,-0.10058861,-0.38570926,-0.8849096,-0.44301668,-0.72101665,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,0.042406283,-0.2588163,-0.32707766,0,0.00081499196898396
33,-0.10058861,-0.38570926,-0.8849096,-0.44301668,-0.72101665,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,0.042406283,-0.2588163,-0.32707766,0,0.00081499196898396
34,-0.10058861,-0.38570926,0.024615882,0.29572892,-0.72101665,0.512324,-0.6787025,-0.67870253,-0.9299314,-0.6877364,0.042406283,0.6071081,-0.32707766,0,0.00757967561054026
35,-0.76670504,-0.38570926,0.024615882,0.59122705,-1.1646628,1.8314286,-0.109595545,-0.109595545,2.3951132,2.4259,0.12825291,0.24683298,-0.32707766,1,0.9996312065018979
36,-0.76670504,-0.38570926,0.024615882,0.59122705,-1.1646628,1.8314286,-0.109595545,-0.109595545,2.3951132,2.4259,0.12825291,0.24683298,-0.32707766,1,0.9996312065018979
37,-0.76670504,-0.38570926,0.024615882,0.73897624,-1.1646628,0.512324,-0.52548134,-0.52548134,2.3951132,2.4259,0.12825291,0.2657948,-0.32707766,1,0.9067071903484374
38,-0.8489416,-0.38570926,0.024615882,0.73897624,-1.1987896,0.512324,-0.52548134,-0.52548134,3.5034614,2.4259,-0.3071121,-0.20193073,-0.32707766,1,0.9366900411122718
