,F64,F69,F108,F109,F22,F111,F116,F117,F110,F114,F115,F45,F38,F1,category,1
0,-0.7790405,-0.38570926,-0.8849096,-0.44301668,0.9631263,-0.9257764,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.08636365,-0.20193073,-0.32707766,0,0.0011850754372649173
1,-0.38978732,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0009690768124034732
2,-0.38978732,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0009690768124034732
3,-0.38978732,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0009690768124034732
4,-0.526163,-0.38570926,-0.8849096,-0.44301668,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.001319392205736329
5,-0.526163,-0.38570926,-0.8849096,-0.44301668,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.001319392205736329
6,-0.6330705,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.1987896,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.0010220889893710033
7,-0.40897584,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.001015505302865396
8,-0.40897584,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.001015505302865396
9,-0.40897584,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.37762898,-0.2588163,-0.32707766,0,0.001015505302865396
