,F64,F69,F108,F109,F22,F111,F116,F117,F110,F114,F115,F40,F45,F38,F1,category,1
0,-0.7790405,-0.38570926,-0.8849096,-0.44301668,0.9631263,-0.9257764,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.27726105,-0.08636365,-0.20193073,-0.32707766,0,0.0011201304644890206
1,-0.38978732,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4870455,-0.37762898,-0.2588163,-0.32707766,0,0.0009093455582141276
2,-0.38978732,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4870455,-0.37762898,-0.2588163,-0.32707766,0,0.0009093455582141276
3,-0.38978732,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4870455,-0.37762898,-0.2588163,-0.32707766,0,0.0009093455582141276
4,-0.526163,-0.38570926,-0.8849096,-0.44301668,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4870455,-0.37762898,-0.2588163,-0.32707766,0,0.0012151742022838427
5,-0.526163,-0.38570926,-0.8849096,-0.44301668,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4870455,-0.37762898,-0.2588163,-0.32707766,0,0.0012151742022838427
6,-0.6330705,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.1987896,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4870455,-0.37762898,-0.2588163,-0.32707766,0,0.0009513691592799412
7,-0.40897584,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4870455,-0.37762898,-0.2588163,-0.32707766,0,0.0009502493783328378
8,-0.40897584,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4870455,-0.37762898,-0.2588163,-0.32707766,0,0.0009502493783328378
9,-0.40897584,-0.38570926,-0.8849096,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4870455,-0.37762898,-0.2588163,-0.32707766,0,0.0009502493783328378
10,-0.40897584,0.820993,0.024615882,1.514659,-0.6413419,-1.062283,-0.80678064,-0.28713745,-0.28713742,-0.9299314,-0.6877364,-0.4870455,-0.37762898,-0.2588163,-0.32707766,0,6.0729366420138136e-05
