,F64,F69,F102,F103,F108,F94,F109,F22,F111,F116,F117,F110,F114,F115,F61,F40,F45,F131,F38,F1,category,1
0,-0.7790405,-0.38570926,-0.88898325,-0.78623563,-0.8849096,-0.9257765,-0.44301668,0.9631263,-0.9257764,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.5463455,-0.27726105,-0.08636365,-1.2818109,-0.20193073,-0.32707766,0,0.00160787638986909
1,-0.38978732,-0.38570926,-0.7236383,-0.086961515,-0.8849096,-1.1305362,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.259668,-0.4870455,-0.37762898,-0.55614954,-0.2588163,-0.32707766,0,0.0010573185089533647
2,-0.38978732,-0.38570926,-0.79325724,-0.2769377,-0.8849096,-1.1305362,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4114384,-0.4870455,-0.37762898,-1.3333219,-0.2588163,-0.32707766,0,0.0013293874571642566
3,-0.38978732,-0.38570926,-0.79325724,-0.2769377,-0.8849096,-1.1305362,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4114384,-0.4870455,-0.37762898,-1.3333219,-0.2588163,-0.32707766,0,0.0013293874571642566
4,-0.526163,-0.38570926,-0.7091344,0.09493059,-0.8849096,-0.6868901,-0.44301668,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.5632089,-0.4870455,-0.37762898,-0.45266366,-0.2588163,-0.32707766,0,0.0019226520602849619
5,-0.526163,-0.38570926,-0.8222651,-0.1799286,-0.8849096,-0.6868901,-0.44301668,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4788919,-0.4870455,-0.37762898,-1.2728487,-0.2588163,-0.32707766,0,0.0021717743495611305
6,-0.6330705,-0.38570926,-0.9121896,-0.8024038,-0.8849096,-1.1987895,-0.44301668,0.9631263,-1.1987896,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.6306624,-0.4870455,-0.37762898,0.22086406,-0.2588163,-0.32707766,0,0.0007850587481691066
7,-0.40897584,-0.38570926,-0.700432,-0.48712412,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.37762898,-0.1996638,-0.2588163,-0.32707766,0,0.0008079070987926572
8,-0.40897584,-0.38570926,-0.700432,-0.48712412,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.37762898,-0.1996638,-0.2588163,-0.32707766,0,0.0008079070987926572
9,-0.40897584,-0.38570926,-0.700432,-0.48712412,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.37762898,-0.1996638,-0.2588163,-0.32707766,0,0.0008079070987926572
10,-0.40897584,0.820993,-0.700432,-0.48712412,0.024615882,-1.062283,1.514659,-0.6413419,-1.062283,-0.80678064,-0.28713745,-0.28713742,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.37762898,-0.1996638,-0.2588163,-0.32707766,0,4.643970369259204e-05
11,-0.40897584,-0.14436881,-0.7279895,-0.13142404,-0.8849096,-1.062283,0.22185442,-2.24581,-1.062283,-0.80678064,-0.35227492,-0.3522749,-0.9299314,-0.6877364,-0.44516516,-0.4870455,-0.37762898,-0.9909182,-0.2588163,-0.32707766,0,5.70650653268994e-05
12,-0.40897584,-0.38570926,-0.7279895,-0.13142404,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.44516516,-0.4870455,-0.37762898,-0.9909182,-0.2588163,-0.32707766,0,0.0013576263810369295
13,-0.40897584,-0.084033705,-0.8599754,-0.7094368,0.024615882,-1.062283,1.514659,0.9631263,-1.062283,-0.80678064,-0.28713745,-0.28713742,-0.9299314,-0.6877364,-0.4788919,-0.4870455,-0.37762898,-1.3349987,-0.2588163,-0.32707766,0,0.000167620282960691
14,-0.66116804,-0.32537416,-0.80921155,-0.53562874,0.024615882,-1.062283,1.514659,-0.6413419,-1.062283,-0.80678064,-0.28713745,-0.28713742,2.2367778,-0.6877364,-0.66438913,-0.4870455,-0.37149706,2.774335,-0.2588163,-0.32707766,0,0.00017367937006927
15,-0.66116804,0.036636516,-0.8063108,-0.55988103,0.024615882,-1.062283,1.514659,0.9631263,-1.062283,-0.80678064,-0.28713745,-0.28713742,2.2367778,-0.6877364,-0.42830178,-0.4870455,-0.37149706,-1.0762385,-0.2588163,-0.32707766,0,0.0007458746690449789
16,-0.66116804,-0.20470393,-0.8193643,-0.47904003,0.024615882,-1.062283,1.1822237,0.9631263,-1.062283,1.8314286,0.9045822,0.9045822,2.2367778,2.4259,-0.46202853,-0.4870455,-0.37149706,-1.3837254,-0.2588163,-0.32707766,1,0.9999672782457388
17,-0.66116804,0.45898232,-0.34508523,0.014089659,0.024615882,-1.062283,-0.73851484,0.9631263,-1.062283,1.8314286,2.2937868,2.2937868,2.2367778,2.4259,-0.31025812,1.5369143,-0.37149706,-0.24165371,-0.23353381,-0.32707766,1,0.9999951193465073
18,-0.66116804,0.45898232,-0.34508523,0.014089659,0.024615882,-1.062283,-0.73851484,0.9631263,-1.062283,1.8314286,2.2937868,2.2937868,2.2367778,2.4259,-0.31025812,1.5369143,-0.37149706,-0.24165371,-0.23353381,-0.32707766,1,0.9999951193465073
19,-0.66116804,0.45898232,-0.34508523,0.014089659,0.024615882,-1.062283,0.5173526,-0.6413419,-1.062283,1.8314286,2.5048914,2.5048914,2.2367778,2.4259,-0.31025812,1.5369143,-0.37149706,-0.24165371,-0.23353381,-0.32707766,1,0.9999971790843174
20,-0.66116804,0.45898232,-0.34508523,0.014089659,0.024615882,-1.062283,0.5173526,-0.6413419,-1.062283,1.8314286,2.5048914,2.5048914,2.2367778,2.4259,-0.31025812,1.5369143,-0.37149706,-0.24165371,-0.23353381,-0.32707766,1,0.9999971790843174
21,-0.10058861,0.3383121,-0.20874813,0.6446489,0.024615882,-0.72101676,1.1822237,0.9631263,-0.72101665,-0.80678064,0.9045822,0.9045822,-0.9299314,-0.6877364,0.44859406,-0.4870455,0.042406283,0.47690418,-0.2588163,-0.32707766,0,0.0006805730005825618
22,-0.10058861,-0.38570926,-0.39149788,-0.2769377,0.024615882,-0.72101676,1.1822237,-0.6413419,-0.72101665,-0.80678064,0.9045822,0.9045822,-0.9299314,-0.6877364,-0.1584877,-0.4870455,0.042406283,0.21265967,-0.2588163,-0.32707766,0,0.0004951271438820227
23,-0.10058861,-0.14436881,-0.3334821,-0.21226497,0.024615882,-0.72101676,1.1822237,-0.6413419,-0.72101665,-0.80678064,0.9045822,0.9045822,-0.9299314,-0.6877364,-0.42830178,-0.4870455,0.042406283,0.21933322,-0.2588163,-0.32707766,0,0.0005058039565792083
24,-0.10058861,-0.26503903,-0.52928543,0.16364539,0.024615882,-0.72101676,-1.4033859,-0.6413419,-0.72101665,-0.80678064,-0.8319236,-0.8319236,-0.9299314,-0.6877364,-0.4788919,-0.4870455,0.042406283,0.63291985,-0.2588163,-0.32707766,0,5.340516417268213e-06
25,-0.10058861,-0.084033705,-0.52928543,0.16364539,0.024615882,-0.72101676,-1.0340132,0.9631263,-0.72101665,-0.80678064,0.7002874,0.7002874,-0.9299314,-0.6877364,-0.66438913,-0.4870455,0.042406283,0.63291985,-0.2588163,-0.32707766,0,0.00021935681383302986
26,-0.10058861,-0.38570926,-0.52928543,0.16364539,0.024615882,-0.72101676,0.73897624,-0.6413419,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,-0.4788919,-0.4870455,0.042406283,0.63291985,-0.2588163,-0.32707766,0,0.0050277749221722895
27,-0.10058861,-0.38570926,-0.8237155,-0.43457752,0.024615882,-0.72101676,0.73897624,0.9631263,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,-0.39457503,-0.4870455,0.042406283,-0.57964987,-0.2588163,-0.32707766,0,0.009881082507174623
28,-0.10058861,-0.38570926,-0.8237155,-0.43457752,0.024615882,-0.72101676,0.73897624,0.9631263,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,-0.5632089,-0.4870455,0.042406283,-0.57964987,-0.2588163,2.6749535,0,0.026307753123918746
29,-0.10058861,-0.38570926,-0.8237155,-0.43457752,0.024615882,-0.72101676,0.73897624,0.9631263,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,-0.39457503,-0.4870455,0.042406283,-0.57964987,-0.2588163,-0.32707766,0,0.009881082507174623
30,-0.10058861,-0.38570926,-0.8237155,-0.43457752,0.024615882,-0.72101676,0.73897624,0.9631263,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,-0.39457503,-0.4870455,0.042406283,-0.57964987,-0.2588163,-0.32707766,0,0.009881082507174623
31,-0.10058861,-0.38570926,-0.8237155,-0.43457752,0.024615882,-0.72101676,0.73897624,0.9631263,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,-0.39457503,-0.4870455,0.042406283,-0.57964987,-0.2588163,-0.32707766,0,0.009881082507174623
32,-0.10058861,-0.38570926,-0.81646353,-0.76198334,-0.8849096,-0.72101676,-0.44301668,0.9631263,-0.72101665,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.6475258,-0.4870455,0.042406283,1.5199777,-0.2588163,-0.32707766,0,0.00047405064719225547
33,-0.10058861,-0.38570926,-0.81646353,-0.76198334,-0.8849096,-0.72101676,-0.44301668,0.9631263,-0.72101665,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.66438913,-0.4870455,0.042406283,1.5199777,-0.2588163,-0.32707766,0,0.0004772557179452263
34,-0.10058861,-0.38570926,-0.4190554,-0.5962594,0.024615882,-0.72101676,0.29572892,0.9631263,-0.72101665,0.512324,-0.6787025,-0.67870253,-0.9299314,-0.6877364,-0.20907785,6.302088,0.042406283,1.7942309,0.6071081,-0.32707766,0,0.05596895243553264
35,-0.76670504,-0.38570926,-0.7700509,-0.8024038,0.024615882,-1.1646628,0.59122705,0.9631263,-1.1646628,1.8314286,-0.109595545,-0.109595545,2.3951132,2.4259,-0.6475258,3.7857585,0.12825291,3.519899,0.24683298,-0.32707766,1,0.9997785436865031
36,-0.76670504,-0.38570926,-0.7700509,-0.8024038,0.024615882,-1.1646628,0.59122705,0.9631263,-1.1646628,1.8314286,-0.109595545,-0.109595545,2.3951132,2.4259,-0.6475258,3.7857585,0.12825291,3.519899,0.24683298,-0.32707766,1,0.9997785436865031
37,-0.76670504,-0.38570926,-0.78600526,-0.7781516,0.024615882,-1.1646628,0.73897624,-0.6413419,-1.1646628,0.512324,-0.52548134,-0.52548134,2.3951132,2.4259,-0.5463455,1.5748308,0.12825291,0.90700644,0.2657948,-0.32707766,1,0.8802946658165065
