,F64,F69,F102,F103,F108,F94,F109,F22,F111,F116,F117,F110,F114,F115,F61,F40,F45,F131,F38,F39,F1,category,1
0,-0.7790405,-0.38570926,-0.88898325,-0.78623563,-0.8849096,-0.9257765,-0.44301668,0.9631263,-0.9257764,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.5463455,-0.27726105,-0.08636365,-1.2818109,-0.20193073,-0.15242827,-0.32707766,0,0.001580158296728115
1,-0.38978732,-0.38570926,-0.7236383,-0.086961515,-0.8849096,-1.1305362,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.259668,-0.4870455,-0.37762898,-0.55614954,-0.2588163,-0.14385693,-0.32707766,0,0.0010418072959275883
2,-0.38978732,-0.38570926,-0.79325724,-0.2769377,-0.8849096,-1.1305362,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4114384,-0.4870455,-0.37762898,-1.3333219,-0.2588163,-0.14385693,-0.32707766,0,0.0013092639072783616
3,-0.38978732,-0.38570926,-0.79325724,-0.2769377,-0.8849096,-1.1305362,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4114384,-0.4870455,-0.37762898,-1.3333219,-0.2588163,-0.14385693,-0.32707766,0,0.0013092639072783616
4,-0.526163,-0.38570926,-0.7091344,0.09493059,-0.8849096,-0.6868901,-0.44301668,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.5632089,-0.4870455,-0.37762898,-0.45266366,-0.2588163,-0.14385693,-0.32707766,0,0.0018910920714216447
5,-0.526163,-0.38570926,-0.8222651,-0.1799286,-0.8849096,-0.6868901,-0.44301668,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4788919,-0.4870455,-0.37762898,-1.2728487,-0.2588163,-0.14385693,-0.32707766,0,0.0021459724956367234
6,-0.6330705,-0.38570926,-0.9121896,-0.8024038,-0.8849096,-1.1987895,-0.44301668,0.9631263,-1.1987896,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.6306624,-0.4870455,-0.37762898,0.22086406,-0.2588163,-0.14385693,-0.32707766,0,0.0007639133124800268
7,-0.40897584,-0.38570926,-0.700432,-0.48712412,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.37762898,-0.1996638,-0.2588163,-0.14385693,-0.32707766,0,0.0007959651126081985
8,-0.40897584,-0.38570926,-0.700432,-0.48712412,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.37762898,-0.1996638,-0.2588163,-0.14385693,-0.32707766,0,0.0007959651126081985
9,-0.40897584,-0.38570926,-0.700432,-0.48712412,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.37762898,-0.1996638,-0.2588163,-0.14385693,-0.32707766,0,0.0007959651126081985
10,-0.40897584,0.820993,-0.700432,-0.48712412,0.024615882,-1.062283,1.514659,-0.6413419,-1.062283,-0.80678064,-0.28713745,-0.28713742,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.37762898,-0.1996638,-0.2588163,-0.14385693,-0.32707766,0,4.5754042094476596e-05
11,-0.40897584,-0.14436881,-0.7279895,-0.13142404,-0.8849096,-1.062283,0.22185442,-2.24581,-1.062283,-0.80678064,-0.35227492,-0.3522749,-0.9299314,-0.6877364,-0.44516516,-0.4870455,-0.37762898,-0.9909182,-0.2588163,-0.14385693,-0.32707766,0,5.534453505827467e-05
12,-0.40897584,-0.38570926,-0.7279895,-0.13142404,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.44516516,-0.4870455,-0.37762898,-0.9909182,-0.2588163,-0.14385693,-0.32707766,0,0.0013357564467063926
