,F64,F69,F102,F103,F108,F94,F109,F22,F111,F116,F117,F110,F114,F115,F61,F40,F45,F127,F131,F38,F39,F1,category,1
0,-0.7790405,-0.38570926,-0.88898325,-0.78623563,-0.8849096,-0.9257765,-0.44301668,0.9631263,-0.9257764,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.5463455,-0.27726105,-0.08636365,-0.5706758,-1.2818109,-0.20193073,-0.15242827,-0.32707766,0,0.00156901106543996
1,-0.38978732,-0.38570926,-0.7236383,-0.086961515,-0.8849096,-1.1305362,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.259668,-0.4870455,-0.37762898,-0.53578794,-0.55614954,-0.2588163,-0.14385693,-0.32707766,0,0.0010503562268236075
2,-0.38978732,-0.38570926,-0.79325724,-0.2769377,-0.8849096,-1.1305362,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4114384,-0.4870455,-0.37762898,-0.4460763,-1.3333219,-0.2588163,-0.14385693,-0.32707766,0,0.001396179433038898
3,-0.38978732,-0.38570926,-0.79325724,-0.2769377,-0.8849096,-1.1305362,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4114384,-0.4870455,-0.37762898,-0.4460763,-1.3333219,-0.2588163,-0.14385693,-0.32707766,0,0.001396179433038898
4,-0.526163,-0.38570926,-0.7091344,0.09493059,-0.8849096,-0.6868901,-0.44301668,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.5632089,-0.4870455,-0.37762898,-0.5407719,-0.45266366,-0.2588163,-0.14385693,-0.32707766,0,0.0019214871896644282
5,-0.526163,-0.38570926,-0.8222651,-0.1799286,-0.8849096,-0.6868901,-0.44301668,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4788919,-0.4870455,-0.37762898,-0.42364842,-1.2728487,-0.2588163,-0.14385693,-0.32707766,0,0.0022755057534422996
6,-0.6330705,-0.38570926,-0.9121896,-0.8024038,-0.8849096,-1.1987895,-0.44301668,0.9631263,-1.1987896,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.6306624,-0.4870455,-0.37762898,-0.5681838,0.22086406,-0.2588163,-0.14385693,-0.32707766,0,0.0007760526745241895
7,-0.40897584,-0.38570926,-0.700432,-0.48712412,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.37762898,-0.523328,-0.1996638,-0.2588163,-0.14385693,-0.32707766,0,0.0007880474714373638
8,-0.40897584,-0.38570926,-0.700432,-0.48712412,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.37762898,-0.523328,-0.1996638,-0.2588163,-0.14385693,-0.32707766,0,0.0007880474714373638
9,-0.40897584,-0.38570926,-0.700432,-0.48712412,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.37762898,-0.523328,-0.1996638,-0.2588163,-0.14385693,-0.32707766,0,0.0007880474714373638
10,-0.40897584,0.820993,-0.700432,-0.48712412,0.024615882,-1.062283,1.514659,-0.6413419,-1.062283,-0.80678064,-0.28713745,-0.28713742,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.37762898,-0.523328,-0.1996638,-0.2588163,-0.14385693,-0.32707766,0,4.6763347919413615e-05
11,-0.40897584,-0.14436881,-0.7279895,-0.13142404,-0.8849096,-1.062283,0.22185442,-2.24581,-1.062283,-0.80678064,-0.35227492,-0.3522749,-0.9299314,-0.6877364,-0.44516516,-0.4870455,-0.37762898,-0.5607078,-0.9909182,-0.2588163,-0.14385693,-0.32707766,0,5.579011031352118e-05
12,-0.40897584,-0.38570926,-0.7279895,-0.13142404,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.44516516,-0.4870455,-0.37762898,-0.5607078,-0.9909182,-0.2588163,-0.14385693,-0.32707766,0,0.0013673140973203878
13,-0.40897584,-0.084033705,-0.8599754,-0.7094368,0.024615882,-1.062283,1.514659,0.9631263,-1.062283,-0.80678064,-0.28713745,-0.28713742,-0.9299314,-0.6877364,-0.4788919,-0.4870455,-0.37762898,-0.56569177,-1.3349987,-0.2588163,-0.14385693,-0.32707766,0,0.00017960590147581863
14,-0.66116804,-0.32537416,-0.80921155,-0.53562874,0.024615882,-1.062283,1.514659,-0.6413419,-1.062283,-0.80678064,-0.28713745,-0.28713742,2.2367778,-0.6877364,-0.66438913,-0.4870455,-0.37149706,-0.5781517,2.774335,-0.2588163,-0.14385693,-0.32707766,0,0.00017117855063862565
15,-0.66116804,0.036636516,-0.8063108,-0.55988103,0.024615882,-1.062283,1.514659,0.9631263,-1.062283,-0.80678064,-0.28713745,-0.28713742,2.2367778,-0.6877364,-0.42830178,-0.4870455,-0.37149706,-0.55572385,-1.0762385,-0.2588163,-0.14385693,-0.32707766,0,0.0008125117332853617
16,-0.66116804,-0.20470393,-0.8193643,-0.47904003,0.024615882,-1.062283,1.1822237,0.9631263,-1.062283,1.8314286,0.9045822,0.9045822,2.2367778,2.4259,-0.46202853,-0.4870455,-0.37149706,-0.5607078,-1.3837254,-0.2588163,-0.14385693,-0.32707766,1,0.9999670183245252
17,-0.66116804,0.45898232,-0.34508523,0.014089659,0.024615882,-1.062283,-0.73851484,0.9631263,-1.062283,1.8314286,2.2937868,2.2937868,2.2367778,2.4259,-0.31025812,1.5369143,-0.37149706,-0.510868,-0.24165371,-0.23353381,-0.12671424,-0.32707766,1,0.9999943769047297
18,-0.66116804,0.45898232,-0.34508523,0.014089659,0.024615882,-1.062283,-0.73851484,0.9631263,-1.062283,1.8314286,2.2937868,2.2937868,2.2367778,2.4259,-0.31025812,1.5369143,-0.37149706,-0.510868,-0.24165371,-0.23353381,-0.12671424,-0.32707766,1,0.9999943769047297
19,-0.66116804,0.45898232,-0.34508523,0.014089659,0.024615882,-1.062283,0.5173526,-0.6413419,-1.062283,1.8314286,2.5048914,2.5048914,2.2367778,2.4259,-0.31025812,1.5369143,-0.37149706,-0.510868,-0.24165371,-0.23353381,-0.12671424,-0.32707766,1,0.9999967405558229
20,-0.66116804,0.45898232,-0.34508523,0.014089659,0.024615882,-1.062283,0.5173526,-0.6413419,-1.062283,1.8314286,2.5048914,2.5048914,2.2367778,2.4259,-0.31025812,1.5369143,-0.37149706,-0.510868,-0.24165371,-0.23353381,-0.12671424,-0.32707766,1,0.9999967405558229
21,-0.10058861,0.3383121,-0.20874813,0.6446489,0.024615882,-0.72101676,1.1822237,0.9631263,-0.72101665,-0.80678064,0.9045822,0.9045822,-0.9299314,-0.6877364,0.44859406,-0.4870455,0.042406283,-0.19189349,0.47690418,-0.2588163,-0.14385693,-0.32707766,0,0.0006754368106954254
22,-0.10058861,-0.38570926,-0.39149788,-0.2769377,0.024615882,-0.72101676,1.1822237,-0.6413419,-0.72101665,-0.80678064,0.9045822,0.9045822,-0.9299314,-0.6877364,-0.1584877,-0.4870455,0.042406283,-0.03988218,0.21265967,-0.2588163,-0.14385693,-0.32707766,0,0.0005227878073045213
23,-0.10058861,-0.14436881,-0.3334821,-0.21226497,0.024615882,-0.72101676,1.1822237,-0.6413419,-0.72101665,-0.80678064,0.9045822,0.9045822,-0.9299314,-0.6877364,-0.42830178,-0.4870455,0.042406283,-0.32895285,0.21933322,-0.2588163,-0.14385693,-0.32707766,0,0.0005006969988280469
24,-0.10058861,-0.26503903,-0.52928543,0.16364539,0.024615882,-0.72101676,-1.4033859,-0.6413419,-0.72101665,-0.80678064,-0.8319236,-0.8319236,-0.9299314,-0.6877364,-0.4788919,-0.4870455,0.042406283,0.13704902,0.63291985,-0.2588163,-0.14385693,-0.32707766,0,6.041987014683283e-06
25,-0.10058861,-0.084033705,-0.52928543,0.16364539,0.024615882,-0.72101676,-1.0340132,0.9631263,-0.72101665,-0.80678064,0.7002874,0.7002874,-0.9299314,-0.6877364,-0.66438913,-0.4870455,0.042406283,0.13704902,0.63291985,-0.2588163,-0.14385693,-0.32707766,0,0.0002507856176917881
26,-0.10058861,-0.38570926,-0.52928543,0.16364539,0.024615882,-0.72101676,0.73897624,-0.6413419,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,-0.4788919,-0.4870455,0.042406283,0.13704902,0.63291985,-0.2588163,-0.14385693,-0.32707766,0,0.005811080381320222
27,-0.10058861,-0.38570926,-0.8237155,-0.43457752,0.024615882,-0.72101676,0.73897624,0.9631263,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,-0.39457503,-0.4870455,0.042406283,-0.46102825,-0.57964987,-0.2588163,-0.14385693,-0.32707766,0,0.01014538426975338
28,-0.10058861,-0.38570926,-0.8237155,-0.43457752,0.024615882,-0.72101676,0.73897624,0.9631263,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,-0.5632089,-0.4870455,0.042406283,-0.46102825,-0.57964987,-0.2588163,-0.14385693,2.6749535,0,0.026951488964974464
29,-0.10058861,-0.38570926,-0.8237155,-0.43457752,0.024615882,-0.72101676,0.73897624,0.9631263,-0.72101665,0.512324,-0.52548134,-0.52548134,-0.9299314,-0.6877364,-0.39457503,-0.4870455,0.042406283,-0.46102825,-0.57964987,-0.2588163,-0.14385693,-0.32707766,0,0.01014538426975338
