,F64,F69,F68,F102,F103,F105,F108,F94,F109,F22,F111,F116,F117,F110,F114,F115,F61,F40,F42,F45,F127,F131,F38,F134,F39,F1,F5,category,1
0,-0.7790405,-0.38570926,-0.7400089,-0.88898325,-0.78623563,0.7670511,-0.8849096,-0.9257765,-0.44301668,0.9631263,-0.9257764,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.5463455,-0.27726105,-0.26709026,-0.08636365,-0.5706758,-1.2818109,-0.20193073,-0.89506644,-0.15242827,-0.32707766,-0.25154018,0,0.0015110108061134756
1,-0.38978732,-0.38570926,-0.32837903,-0.7236383,-0.086961515,0.7670511,-0.8849096,-1.1305362,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.259668,-0.4870455,-0.31890777,-0.37762898,-0.53578794,-0.55614954,-0.2588163,-0.6099645,-0.14385693,-0.32707766,-0.25154018,0,0.0010762831518284061
2,-0.38978732,-0.38570926,-0.32837903,-0.79325724,-0.2769377,0.7670511,-0.8849096,-1.1305362,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4114384,-0.4870455,-0.31890777,-0.37762898,-0.4460763,-1.3333219,-0.2588163,-0.6099645,-0.14385693,-0.32707766,-0.25154018,0,0.001413938773157777
3,-0.38978732,-0.38570926,-0.32837903,-0.79325724,-0.2769377,0.7670511,-0.8849096,-1.1305362,-0.44301668,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4114384,-0.4870455,-0.31890777,-0.37762898,-0.4460763,-1.3333219,-0.2588163,-0.6099645,-0.14385693,-0.32707766,-0.25154018,0,0.001413938773157777
4,-0.526163,-0.38570926,-0.43128648,-0.7091344,0.09493059,0.7670511,-0.8849096,-0.6868901,-0.44301668,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.5632089,-0.4870455,-0.31890777,-0.37762898,-0.5407719,-0.45266366,-0.2588163,-0.04434755,-0.14385693,-0.32707766,-0.25154018,0,0.002019674342474765
5,-0.526163,-0.38570926,-0.43128648,-0.8222651,-0.1799286,0.7670511,-0.8849096,-0.6868901,-0.44301668,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.4788919,-0.4870455,-0.31890777,-0.37762898,-0.42364842,-1.2728487,-0.2588163,-0.04434755,-0.14385693,-0.32707766,-0.25154018,0,0.0023552238648370766
6,-0.6330705,-0.38570926,0.057523917,-0.9121896,-0.8024038,0.7670511,-0.8849096,-1.1987895,-0.44301668,0.9631263,-1.1987896,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.6306624,-0.4870455,-0.31890777,-0.37762898,-0.5681838,0.22086406,-0.2588163,-0.89294934,-0.14385693,-0.32707766,-0.25154018,0,0.0007002136631280665
7,-0.40897584,-0.38570926,-0.55992085,-0.700432,-0.48712412,-0.3976418,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.3141971,-0.37762898,-0.523328,-0.1996638,-0.2588163,-0.5887936,-0.14385693,-0.32707766,-0.25154018,0,0.00098077123083059
8,-0.40897584,-0.38570926,-0.55992085,-0.700432,-0.48712412,-0.3976418,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.3141971,-0.37762898,-0.523328,-0.1996638,-0.2588163,-0.5887936,-0.14385693,-0.32707766,-0.25154018,0,0.00098077123083059
9,-0.40897584,-0.38570926,-0.55992085,-0.700432,-0.48712412,0.18470454,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.3141971,-0.37762898,-0.523328,-0.1996638,-0.2588163,-0.5887936,-0.14385693,-0.32707766,-0.25154018,0,0.0009102968324870433
10,-0.40897584,0.820993,-0.55992085,-0.700432,-0.48712412,0.7670511,0.024615882,-1.062283,1.514659,-0.6413419,-1.062283,-0.80678064,-0.28713745,-0.28713742,-0.9299314,-0.6877364,-0.22594123,-0.4870455,-0.3141971,-0.37762898,-0.523328,-0.1996638,-0.2588163,-0.5887936,-0.14385693,-0.32707766,-0.25154018,0,4.862801803782239e-05
11,-0.40897584,-0.14436881,-0.55992085,-0.7279895,-0.13142404,-1.4167482,-0.8849096,-1.062283,0.22185442,-2.24581,-1.062283,-0.80678064,-0.35227492,-0.3522749,-0.9299314,-0.6877364,-0.44516516,-0.4870455,-0.3141971,-0.37762898,-0.5607078,-0.9909182,-0.2588163,-0.5887936,-0.14385693,-0.32707766,3.4471273,0,2.9101364229625916e-05
12,-0.40897584,-0.38570926,-0.55992085,-0.7279895,-0.13142404,0.18470454,-0.8849096,-1.062283,-0.44301668,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.4379264,-0.9299314,-0.6877364,-0.44516516,-0.4870455,-0.3141971,-0.37762898,-0.5607078,-0.9909182,-0.2588163,-0.5887936,-0.14385693,-0.32707766,-0.25154018,0,0.0015674425024507878
13,-0.40897584,-0.084033705,-0.55992085,-0.8599754,-0.7094368,0.7670511,0.024615882,-1.062283,1.514659,0.9631263,-1.062283,-0.80678064,-0.28713745,-0.28713742,-0.9299314,-0.6877364,-0.4788919,-0.4870455,-0.3141971,-0.37762898,-0.56569177,-1.3349987,-0.2588163,-0.5887936,-0.14385693,-0.32707766,-0.25154018,0,0.0001765678119217987
14,-0.66116804,-0.32537416,-0.81718946,-0.80921155,-0.53562874,0.7670511,0.024615882,-1.062283,1.514659,-0.6413419,-1.062283,-0.80678064,-0.28713745,-0.28713742,2.2367778,-0.6877364,-0.66438913,-0.4870455,-0.3141971,-0.37149706,-0.5781517,2.774335,-0.2588163,-0.4063706,-0.14385693,-0.32707766,-0.25154018,0,0.00018728964339914742
15,-0.66116804,0.036636516,-0.81718946,-0.8063108,-0.55988103,0.7670511,0.024615882,-1.062283,1.514659,0.9631263,-1.062283,-0.80678064,-0.28713745,-0.28713742,2.2367778,-0.6877364,-0.42830178,-0.4870455,-0.3141971,-0.37149706,-0.55572385,-1.0762385,-0.2588163,-0.4063706,-0.14385693,-0.32707766,-0.25154018,0,0.0007939022204006975
16,-0.66116804,-0.20470393,-0.81718946,-0.8193643,-0.47904003,-0.9799883,0.024615882,-1.062283,1.1822237,0.9631263,-1.062283,1.8314286,0.9045822,0.9045822,2.2367778,2.4259,-0.46202853,-0.4870455,-0.3141971,-0.37149706,-0.5607078,-1.3837254,-0.2588163,-0.4063706,-0.14385693,-0.32707766,-0.25154018,1,0.999967042887312
17,-0.66116804,0.45898232,-0.81718946,-0.34508523,0.014089659,-0.6680169,0.024615882,-1.062283,-0.73851484,0.9631263,-1.062283,1.8314286,2.2937868,2.2937868,2.2367778,2.4259,-0.31025812,1.5369143,-0.3141971,-0.37149706,-0.510868,-0.24165371,-0.23353381,-0.4063706,-0.12671424,-0.32707766,3.4471273,1,0.9999821743496701
18,-0.66116804,0.45898232,-0.81718946,-0.34508523,0.014089659,-1.1671711,0.024615882,-1.062283,-0.73851484,0.9631263,-1.062283,1.8314286,2.2937868,2.2937868,2.2367778,2.4259,-0.31025812,1.5369143,-0.3141971,-0.37149706,-0.510868,-0.24165371,-0.23353381,-0.4063706,-0.12671424,-0.32707766,3.4471273,1,0.9999832790368373
19,-0.66116804,0.45898232,-0.81718946,-0.34508523,0.014089659,-2.352662,0.024615882,-1.062283,0.5173526,-0.6413419,-1.062283,1.8314286,2.5048914,2.5048914,2.2367778,2.4259,-0.31025812,1.5369143,-0.3141971,-0.37149706,-0.510868,-0.24165371,-0.23353381,-0.4063706,-0.12671424,-0.32707766,3.4471273,1,0.9999919350301522
20,-0.66116804,0.45898232,-0.81718946,-0.34508523,0.014089659,-1.853508,0.024615882,-1.062283,0.5173526,-0.6413419,-1.062283,1.8314286,2.5048914,2.5048914,2.2367778,2.4259,-0.31025812,1.5369143,-0.3141971,-0.37149706,-0.510868,-0.24165371,-0.23353381,-0.4063706,-0.12671424,-0.32707766,3.4471273,1,0.9999914022050614
