,F65,F64,F34,F69,F68,F102,F103,F105,F108,F94,F95,F109,F23,F22,F111,F116,F117,F118,F120,F110,F121,F123,F114,F115,F61,F41,F40,F42,F45,F46,F127,F35,F131,F38,F37,F134,F39,F136,F146,F7,F12,F18,F1,F5,F11,category,1
0,-0.63241756,-0.7790405,-1.0586799,-0.38570926,-0.7400089,-0.88898325,-0.78623563,0.7670511,-0.8849096,-0.9257765,-0.6667066,-0.44301668,0.44771042,0.9631263,-0.9257764,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.5463455,-0.17577256,-0.27726105,-0.26709026,-0.08636365,-0.0296844,-0.5706758,-0.187615,-1.2818109,-0.20193073,-0.083002485,-0.89506644,-0.15242827,-0.8112592,-0.33817172,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.0004026531180676524
1,-0.08270979,-0.38978732,-1.0586799,-0.38570926,-0.32837903,-0.7236383,-0.086961515,0.7670511,-0.8849096,-1.1305362,-0.8697766,-0.44301668,0.44771042,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.259668,-0.39531368,-0.4870455,-0.31890777,-0.37762898,-0.7817181,-0.53578794,-0.20393133,-0.55614954,-0.2588163,-0.17184673,-0.6099645,-0.14385693,-0.1283596,0.5684575,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.00034278392870843826
2,-0.30666482,-0.38978732,-1.0586799,-0.38570926,-0.32837903,-0.79325724,-0.2769377,0.7670511,-0.8849096,-1.1305362,-0.76824164,-0.44301668,0.44771042,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.4114384,-0.39531368,-0.4870455,-0.31890777,-0.37762898,-0.7817181,-0.4460763,-0.20393133,-1.3333219,-0.2588163,-0.17184673,-0.6099645,-0.14385693,-0.1283596,0.5684575,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.00039043822519321694
3,-0.30666482,-0.38978732,-1.0586799,-0.38570926,-0.32837903,-0.79325724,-0.2769377,0.7670511,-0.8849096,-1.1305362,-0.76824164,-0.44301668,0.44771042,0.9631263,-1.1305362,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.4114384,-0.39531368,-0.4870455,-0.31890777,-0.37762898,-0.7817181,-0.4460763,-0.20393133,-1.3333219,-0.2588163,-0.17184673,-0.6099645,-0.14385693,-0.1283596,0.5684575,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.00039043822519321694
4,-0.36774346,-0.526163,-1.0586799,-0.38570926,-0.43128648,-0.7091344,0.09493059,0.7670511,-0.8849096,-0.6868901,-0.05749659,-0.44301668,0.44771042,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.5632089,-0.39531368,-0.4870455,-0.31890777,-0.37762898,-0.7817181,-0.5407719,-0.20393133,-0.45266366,-0.2588163,-0.17184673,-0.04434755,-0.14385693,-0.59844595,2.237338,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.0008828823814563488
5,-0.48990074,-0.526163,-1.0586799,-0.38570926,-0.43128648,-0.8222651,-0.1799286,0.7670511,-0.8849096,-0.6868901,-0.56517166,-0.44301668,0.44771042,0.9631263,-0.68689007,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.4788919,-0.39531368,-0.4870455,-0.31890777,-0.37762898,-0.7817181,-0.42364842,-0.20393133,-1.2728487,-0.2588163,-0.17184673,-0.04434755,-0.14385693,-0.59844595,2.237338,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.0009790102532450204
6,-0.69349617,-0.6330705,-1.0586799,-0.38570926,0.057523917,-0.9121896,-0.8024038,0.7670511,-0.8849096,-1.1987895,-0.8697766,-0.44301668,0.44771042,0.9631263,-1.1987896,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.6306624,-0.39531368,-0.4870455,-0.31890777,-0.37762898,-0.7817181,-0.5681838,-0.20393133,0.22086406,-0.2588163,-0.17184673,-0.89294934,-0.14385693,-0.62482524,0.4271848,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.00021048787769318357
7,-0.5102602,-0.40897584,0.1311867,-0.38570926,-0.55992085,-0.700432,-0.48712412,-0.3976418,-0.8849096,-1.062283,-0.56517166,-0.44301668,0.44771042,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.22594123,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.523328,-0.20393133,-0.1996638,-0.2588163,-0.17184673,-0.5887936,-0.14385693,-0.58747923,-0.63624156,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.0002864208532507561
8,-0.5102602,-0.40897584,0.1311867,-0.38570926,-0.55992085,-0.700432,-0.48712412,-0.3976418,-0.8849096,-1.062283,-0.56517166,-0.44301668,0.44771042,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.22594123,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.523328,-0.20393133,-0.1996638,-0.2588163,-0.17184673,-0.5887936,-0.14385693,-0.58747923,-0.63624156,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.0002864208532507561
9,-0.5102602,-0.40897584,-0.16627996,-0.38570926,-0.55992085,-0.700432,-0.48712412,0.18470454,-0.8849096,-1.062283,-0.56517166,-0.44301668,0.44771042,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.22594123,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.523328,-0.20393133,-0.1996638,-0.2588163,-0.17184673,-0.5887936,-0.14385693,-0.58747923,-0.63624156,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.00025445222933930596
10,-0.5102602,-0.40897584,-1.0586799,0.820993,-0.55992085,-0.700432,-0.48712412,0.7670511,0.024615882,-1.062283,-0.56517166,1.514659,-0.4470895,-0.6413419,-1.062283,-0.80678064,-0.28713745,-0.23385027,-0.25211012,-0.28713742,-0.13783385,-0.25211012,-0.9299314,-0.6877364,-0.22594123,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.523328,-0.20393133,-0.1996638,-0.2588163,-0.17184673,-0.5887936,-0.14385693,-0.58747923,-0.63624156,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,3.763800887134334e-05
11,-0.388103,-0.40897584,0.72612,-0.14436881,-0.55992085,-0.7279895,-0.13142404,-1.4167482,-0.8849096,-1.062283,-0.76824164,0.22185442,0.44771042,-2.24581,-1.062283,-0.80678064,-0.35227492,5.2768407,-1.6980649,-0.3522749,-0.7291804,-1.6980649,-0.9299314,-0.6877364,-0.44516516,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.5607078,-0.20393133,-0.9909182,-0.2588163,-0.17184673,-0.5887936,-0.14385693,-0.58747923,-0.63624156,-0.18578252,-0.07990816,-0.08359497,-0.32707766,3.4471273,-0.075915545,0,1.1944408247137177e-05
12,-0.388103,-0.40897584,-0.16627996,-0.38570926,-0.55992085,-0.7279895,-0.13142404,0.18470454,-0.8849096,-1.062283,-0.76824164,-0.44301668,0.44771042,0.9631263,-1.062283,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.44516516,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.5607078,-0.20393133,-0.9909182,-0.2588163,-0.17184673,-0.5887936,-0.14385693,-0.58747923,-0.63624156,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.00042568090120015725
13,-0.71385574,-0.40897584,-1.0586799,-0.084033705,-0.55992085,-0.8599754,-0.7094368,0.7670511,0.024615882,-1.062283,-0.8697766,1.514659,0.8951104,0.9631263,-1.062283,-0.80678064,-0.28713745,-0.23385027,-0.25211012,-0.28713742,-0.13783385,-0.25211012,-0.9299314,-0.6877364,-0.4788919,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.56569177,-0.20393133,-1.3349987,-0.2588163,-0.17184673,-0.5887936,-0.14385693,-0.58747923,-0.63624156,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.0001200389668815047
14,-0.36774346,-0.66116804,-1.0586799,-0.32537416,-0.81718946,-0.80921155,-0.53562874,0.7670511,0.024615882,-1.062283,-0.8697766,1.514659,-0.4470895,-0.6413419,-1.062283,-0.80678064,-0.28713745,-0.23385027,-0.25211012,-0.28713742,-0.13783385,-0.25211012,2.2367778,-0.6877364,-0.66438913,-0.38910025,-0.4870455,-0.3141971,-0.37149706,-0.3448367,-0.5781517,-0.20393133,2.774335,-0.2588163,-0.17184673,-0.4063706,-0.14385693,-0.57117736,-0.39561227,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.0002176547606768388
15,-0.67313665,-0.66116804,-1.0586799,0.036636516,-0.81718946,-0.8063108,-0.55988103,0.7670511,0.024615882,-1.062283,-0.8697766,1.514659,0.8951104,0.9631263,-1.062283,-0.80678064,-0.28713745,-0.23385027,-0.25211012,-0.28713742,-0.13783385,-0.25211012,2.2367778,-0.6877364,-0.42830178,-0.38910025,-0.4870455,-0.3141971,-0.37149706,-0.3448367,-0.55572385,-0.20393133,-1.0762385,-0.2588163,-0.17184673,-0.4063706,-0.14385693,-0.57117736,-0.39561227,-0.18578252,-0.07990816,-0.08359497,-0.32707766,-0.25154018,-0.075915545,0,0.0005726836648673518
