,F69,F108,F109,F116,F117,F110,F115,F38,category,1
0,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.20193073,0,0.0020319941380352014
1,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.0019571578936942763
2,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.0019571578936942763
3,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.0019571578936942763
4,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.0019571578936942763
5,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.0019571578936942763
6,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.0019571578936942763
7,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.0019571578936942763
8,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.0019571578936942763
9,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.0019571578936942763
10,0.820993,0.024615882,1.514659,-0.80678064,-0.28713745,-0.28713742,-0.6877364,-0.2588163,0,0.0002490178008776673
11,-0.14436881,-0.8849096,0.22185442,-0.80678064,-0.35227492,-0.3522749,-0.6877364,-0.2588163,0,0.0002878631772029203
12,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.0019571578936942763
13,-0.084033705,0.024615882,1.514659,-0.80678064,-0.28713745,-0.28713742,-0.6877364,-0.2588163,0,0.00036190609167679474
14,-0.32537416,0.024615882,1.514659,-0.80678064,-0.28713745,-0.28713742,-0.6877364,-0.2588163,0,0.00039984342094094084
15,0.036636516,0.024615882,1.514659,-0.80678064,-0.28713745,-0.28713742,-0.6877364,-0.2588163,0,0.0003443089146121952
16,-0.20470393,0.024615882,1.1822237,1.8314286,0.9045822,0.9045822,2.4259,-0.2588163,1,0.999917805498586
17,0.45898232,0.024615882,-0.73851484,1.8314286,2.2937868,2.2937868,2.4259,-0.23353381,1,0.9999736984465055
18,0.45898232,0.024615882,-0.73851484,1.8314286,2.2937868,2.2937868,2.4259,-0.23353381,1,0.9999736984465055
19,0.45898232,0.024615882,0.5173526,1.8314286,2.5048914,2.5048914,2.4259,-0.23353381,1,0.9999922347951968
20,0.45898232,0.024615882,0.5173526,1.8314286,2.5048914,2.5048914,2.4259,-0.23353381,1,0.9999922347951968
21,0.3383121,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,-0.6877364,-0.2588163,0,0.002367612698453769
22,-0.38570926,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,-0.6877364,-0.2588163,0,0.003190684318744698
23,-0.14436881,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,-0.6877364,-0.2588163,0,0.0028887159465108407
24,-0.26503903,0.024615882,-1.4033859,-0.80678064,-0.8319236,-0.8319236,-0.6877364,-0.2588163,0,2.0663808780512365e-05
25,-0.084033705,0.024615882,-1.0340132,-0.80678064,0.7002874,0.7002874,-0.6877364,-0.2588163,0,0.0004520485107886169
26,-0.38570926,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,-0.6877364,-0.2588163,0,0.01928934297714792
27,-0.38570926,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,-0.6877364,-0.2588163,0,0.01928934297714792
28,-0.38570926,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,-0.6877364,-0.2588163,0,0.01928934297714792
29,-0.38570926,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,-0.6877364,-0.2588163,0,0.01928934297714792
30,-0.38570926,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,-0.6877364,-0.2588163,0,0.01928934297714792
31,-0.38570926,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,-0.6877364,-0.2588163,0,0.01928934297714792
32,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.0019571578936942763
33,-0.38570926,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.0019571578936942763
34,-0.38570926,0.024615882,0.29572892,0.512324,-0.6787025,-0.67870253,-0.6877364,0.6071081,0,0.019133757901088365
35,-0.38570926,0.024615882,0.59122705,1.8314286,-0.109595545,-0.109595545,2.4259,0.24683298,1,0.9994459553511713
36,-0.38570926,0.024615882,0.59122705,1.8314286,-0.109595545,-0.109595545,2.4259,0.24683298,1,0.9994459553511713
37,-0.38570926,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,2.4259,0.2657948,1,0.8791256965061433
38,-0.38570926,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,2.4259,-0.20193073,1,0.842244948236778
39,-0.38570926,0.024615882,-1.3295113,0.512324,0.08740303,0.08740303,2.4259,-0.20193073,1,0.8170287842843068
40,-0.38570926,0.024615882,-0.81238943,1.8314286,1.0067296,1.0067296,2.4259,-0.20193073,1,0.9997784783866707
41,-0.38570926,0.024615882,1.4038471,1.8314286,-0.407619,-0.407619,2.4259,-0.2208926,1,0.9992154801817406
42,-0.38570926,0.024615882,1.4038471,1.8314286,-0.407619,-0.407619,2.4259,3.0658276,1,0.9999105780304829
43,-0.38570926,0.024615882,-1.0709504,0.512324,0.1709782,0.17097814,2.4259,-0.1892895,1,0.8620383150521499
44,0.09697163,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,-0.6877364,-0.2588163,0,0.0026152510719658663
45,0.09697163,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,-0.6877364,-0.2588163,0,0.0026152510719658663
46,1.9070251,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,-0.6877364,-0.2588163,0,0.0012396037673857061
47,-0.38570926,0.024615882,-1.2556367,-0.80678064,-0.8319236,-0.8319236,-0.6877364,-0.2588163,0,2.3913409003355004e-05
48,0.94166327,0.024615882,0.22185442,-0.80678064,-0.35227492,-0.3522749,0.09067267,-0.05023596,0,0.00041614885058233615
49,-0.26503903,0.024615882,-0.73851484,1.8314286,2.2937868,2.2937868,0.09067267,-0.05023596,1,0.9988780599689168
50,-0.32537416,0.024615882,1.4038471,-0.80678064,-0.407619,-0.407619,0.09067267,-0.05023596,0,0.00136341214002608
