data_dir,result_dir,num_run,balance_data,feaSelect,correlate,eps,min_Pts,k,MLmodel,select_method,LDF_r,predict_time,fit_time,select_Fea_time,totle_time,TN,FP,FN,TP,accuracy,precision,recall,F1,AUC,F_MEASURE,G_MEASURE,MCC
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,std,17,0.000979543,0.002261472,0.072035217,1.002534938,202.4,22.1,5.4,30.2,0.894271434,0.577437859,0.848314607,0.687144482,0.874165675,0.687144482,0.874126764,0.643054283
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,inclass_corr,17,0.000936794,0.002188778,0.201691699,1.080169368,209.5,15,3.3,32.3,0.929642445,0.682875264,0.907303371,0.779252111,0.91984623,0.779252111,0.920062137,0.748942409
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,LDF,17,0.000990009,0.002276874,0.28741827,1.151349354,203,21.5,5.4,30.2,0.896578239,0.584139265,0.848314607,0.691867125,0.875509921,0.691867125,0.875381068,0.64814508
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,LR,std,17,0.000860929,0.042591858,0.068965554,1.307359242,218.5,6,3.3,32.3,0.964244521,0.843342037,0.907303371,0.874154263,0.939751984,0.874154263,0.939131534,0.854123175
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,LR,inclass_corr,17,0.000810361,0.040592408,0.195772243,1.439708829,218.7,5.8,3.2,32.4,0.965397924,0.848167539,0.91011236,0.87804878,0.941587302,0.87804878,0.941049914,0.858640268
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,LR,LDF,17,0.000838661,0.037510252,0.287403369,1.520769691,218.6,5.9,3.1,32.5,0.965397924,0.846354167,0.912921348,0.878378378,0.942833333,0.878378378,0.942340738,0.859077586
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,SVM,std,17,0.00226059,0.041137242,0.069708896,1.419698358,217.3,7.2,3.3,32.3,0.959630911,0.817721519,0.907303371,0.860186418,0.937114087,0.860186418,0.936636056,0.838214382
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,SVM,inclass_corr,17,0.002241921,0.041812706,0.202233982,1.581045747,216.1,8.4,3,32.6,0.956170704,0.795121951,0.915730337,0.851174935,0.938693452,0.851174935,0.938572569,0.82845665
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,SVM,LDF,17,0.002252412,0.042818093,0.285584784,1.700343513,218.4,6.1,3,32.6,0.965013456,0.842377261,0.915730337,0.877523553,0.943776786,0.877523553,0.943416277,0.858173452
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,RF,std,17,0.011625314,0.319912887,0.069325304,4.324854064,218.98,5.52,3.62,31.98,0.964859669,0.8528,0.898314607,0.8749658,0.936222817,0.8749658,0.93527717,0.854929951
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,RF,inclass_corr,17,0.011520028,0.314902949,0.199362373,4.421711278,219.15,5.35,3.56,32.04,0.965743945,0.856913613,0.9,0.877928483,0.937470139,0.877928483,0.936538462,0.85836815
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,RF,LDF,17,0.011475921,0.316961908,0.287151861,4.541859436,218.48,6.02,3.69,31.91,0.962668205,0.841286581,0.896348315,0.867945056,0.934115079,0.867945056,0.93318762,0.846808476
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,DT,std,17,0.000750995,0.012845087,0.070154524,1.035903311,218.91,5.59,4.01,31.59,0.963091119,0.84965035,0.887359551,0.868095631,0.930763492,0.868095631,0.929163151,0.846920821
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,DT,inclass_corr,17,0.000798893,0.012862515,0.190526819,1.158568954,218.87,5.63,3.92,31.68,0.963283353,0.849102117,0.88988764,0.869016596,0.931908036,0.869016596,0.930466081,0.847994914
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,DT,LDF,17,0.000754309,0.012861133,0.292249107,1.268000484,219.04,5.46,4.1,31.5,0.963244906,0.852272727,0.884831461,0.868246968,0.929743948,0.868246968,0.928037347,0.847100182
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,KNN,std,17,0.058366299,0.017375612,0.068607831,1.509300256,217.1,7.4,11.2,24.4,0.928489043,0.767295597,0.685393258,0.724035608,0.825097222,0.724035608,0.802213445,0.684543931
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,KNN,inclass_corr,17,0.056789088,0.017539859,0.184017515,1.627869558,218,6.5,11.1,24.5,0.932333718,0.790322581,0.688202247,0.735735736,0.828450397,0.735735736,0.805516909,0.699341453
