data_dir,result_dir,num_run,balance_data,feaSelect,correlate,eps,min_Pts,k,MLmodel,select_method,LDF_r,predict_time,fit_time,select_Fea_time,totle_time,TN,FP,FN,TP,accuracy,precision,recall,F1,AUC,F_MEASURE,G_MEASURE,MCC
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,std,5,0.001031327,0.002756786,0.079885244,1.142182875,170.7,55,31.3,85.5,0.748029197,0.608540925,0.732020548,0.664593859,0.744164559,0.664593859,0.743968859,0.470641836
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,inclass_corr,5,0.001038766,0.00275209,0.092684746,1.145069885,168.3,57.4,29.7,87.1,0.745693431,0.602768166,0.745719178,0.666666667,0.745678417,0.666666667,0.745699642,0.471688406
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,LDF,5,0.001072168,0.002869463,0.117863727,1.188504648,168.8,56.9,29.3,87.5,0.748321168,0.605955679,0.749143836,0.669984686,0.748497946,0.669984686,0.748519115,0.477146861
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,LR,std,5,0.000900412,0.068104029,0.082025027,1.74539547,206.6,19.1,20.9,95.9,0.883211679,0.833913043,0.821061644,0.827437446,0.868124992,0.827437446,0.865656767,0.739235154
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,LR,inclass_corr,5,0.000922585,0.071549726,0.092400599,1.733918953,206.5,19.2,22.8,94,0.877372263,0.830388693,0.804794521,0.817391304,0.859786546,0.817391304,0.856336164,0.725319007
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,LR,LDF,5,0.000903678,0.075103712,0.116094279,1.807022452,206.3,19.4,21.9,94.9,0.879416058,0.830271216,0.8125,0.821289485,0.863187771,0.821289485,0.860286452,0.730413681
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,SVM,std,5,0.015517306,0.416433001,0.078928804,4.979224849,201.3,24.4,20.2,96.6,0.869781022,0.798347107,0.827054795,0.812447435,0.85936106,0.812447435,0.858250545,0.71302431
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,SVM,inclass_corr,5,0.01516242,0.537236881,0.088698816,5.236204195,202.9,22.8,24,92.8,0.863357664,0.802768166,0.794520548,0.798623064,0.846669669,0.798623064,0.843529028,0.695245903
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,SVM,LDF,5,0.015475845,0.353549719,0.11587677,4.760492158,201.6,24.1,22.7,94.1,0.863357664,0.796108291,0.805650685,0.800851064,0.849340032,0.800851064,0.847178926,0.696885337
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,RF,std,5,0.012687612,0.628179336,0.079483509,7.447186279,192.24,33.46,27.31,89.49,0.822569343,0.727856852,0.766181507,0.746527633,0.808814051,0.746527633,0.806703048,0.610656003
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,RF,inclass_corr,5,0.012746072,0.632027292,0.08644371,7.445326781,193.09,32.61,27.39,89.41,0.824817518,0.73274873,0.765496575,0.74876476,0.810348825,0.74876476,0.808006847,0.614734526
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,RF,LDF,5,0.01276505,0.632144809,0.115563631,7.457992601,191.71,33.99,27.94,88.86,0.819182482,0.723321123,0.760787671,0.741581473,0.804935298,0.741581473,0.802656396,0.603113111
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,DT,std,5,0.000790811,0.033883309,0.079948831,1.402708364,196.17,29.53,20.63,96.17,0.853547445,0.765075577,0.823373288,0.793154639,0.846124123,0.793154639,0.845648562,0.681133452
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,DT,inclass_corr,5,0.000785089,0.033363199,0.090217566,1.406272149,192.81,32.89,21,95.8,0.842656934,0.744424586,0.820205479,0.780479857,0.837074116,0.780479857,0.836893927,0.660192455
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,DT,LDF,5,0.000778556,0.033455062,0.116861129,1.431267357,194.28,31.42,20.8,96,0.847532847,0.753413907,0.821917808,0.786176398,0.841230091,0.786176398,0.840904271,0.669579891
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,KNN,std,5,0.126430106,0.029478979,0.079118609,2.676778245,189.9,35.8,55.8,61,0.732554745,0.630165289,0.522260274,0.571161049,0.681655719,0.571161049,0.644480558,0.382843913
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,KNN,inclass_corr,5,0.125163674,0.029407525,0.092878056,2.713405895,189.7,36,55.8,61,0.731970803,0.628865979,0.522260274,0.570626754,0.681225027,0.570626754,0.644220432,0.381672437
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,KNN,LDF,5,0.126469874,0.029397035,0.114825535,2.721562076,189.3,36.4,55.8,61,0.73080292,0.626283368,0.522260274,0.569561158,0.680329268,0.569561158,0.643699164,0.379336221
../data/,../result_data/,10,NO,DBSCAN,Euclidean,41,1,9,NB,std,1,0.00099287,0.002651429,0.078353047,1.120049739,176.5,49.2,25.8,91,0.781021898,0.649072753,0.779109589,0.708171206,0.780470209,0.708171206,0.780557857,0.540968353
../data/,../result_data/,10,NO,DBSCAN,Euclidean,41,1,9,NB,inclass_corr,1,0.000997853,0.002624559,0.152727485,1.177803516,164.6,61.1,23.8,93,0.752116788,0.603504218,0.796232877,0.686600221,0.762736458,0.686600221,0.76129083,0.500765385
../data/,../result_data/,10,NO,DBSCAN,Euclidean,41,1,9,NB,LDF,1,0.001009274,0.002652907,0.214895415,1.254607606,172.1,53.6,24.9,91.9,0.77080292,0.63161512,0.786815068,0.700724361,0.774587501,0.700724361,0.774475303,0.526813917
