data_dir,result_dir,num_run,balance_data,feaSelect,correlate,eps,min_Pts,k,MLmodel,select_method,LDF_r,predict_time,fit_time,select_Fea_time,totle_time,TN,FP,FN,TP,accuracy,precision,recall,F1,AUC,F_MEASURE,G_MEASURE,MCC
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,12,NB,LDF,7,0.000780153,0.001446342,0.004831553,0.551657081,8.1,98,0,5.4,0.121076233,0.052224371,1,0.099264706,0.53819873,0.099264706,0.141856392,0.06314245
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,13,NB,LDF,7,0.000757599,0.001257491,0.004838467,0.540738535,8.1,98,0,5.4,0.121076233,0.052224371,1,0.099264706,0.53819873,0.099264706,0.141856392,0.06314245
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,14,NB,LDF,7,0.00076139,0.001284242,0.004807162,0.537132215,8.1,98,0,5.4,0.121076233,0.052224371,1,0.099264706,0.53819873,0.099264706,0.141856392,0.06314245
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,15,NB,LDF,7,0.000758529,0.001288629,0.004875708,0.540066791,7.9,98.2,0,5.4,0.119282511,0.052123552,1,0.099082569,0.537255334,0.099082569,0.138596491,0.062297821
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,12,LR,LDF,7,0.000795579,0.011399746,0.004768991,0.642720914,106.1,0,5.4,0,0.951569507,0,0,0,0.5,nan,0,nan
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,13,LR,LDF,7,0.000804758,0.011321211,0.00483501,0.641756225,106.1,0,5.4,0,0.951569507,0,0,0,0.5,nan,0,nan
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,14,LR,LDF,7,0.00080626,0.010994267,0.004841232,0.653112864,106.1,0,5.4,0,0.951569507,0,0,0,0.5,nan,0,nan
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,15,LR,LDF,7,0.000807595,0.012904286,0.004769826,0.662181091,106.1,0,5.4,0,0.951569507,0,0,0,0.5,nan,0,nan
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,12,SVM,LDF,7,0.000921488,0.004592824,0.004821634,0.584744573,106.1,0,5.4,0,0.951569507,0,0,0,0.5,nan,0,nan
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,13,SVM,LDF,7,0.000941801,0.004556108,0.005016279,0.607232213,106.1,0,5.4,0,0.951569507,0,0,0,0.5,nan,0,nan
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,14,SVM,LDF,7,0.000991058,0.005171728,0.004835081,0.579500914,106.1,0,5.4,0,0.951569507,0,0,0,0.5,nan,0,nan
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,15,SVM,LDF,7,0.001140809,0.005567837,0.004985952,0.619643712,106.1,0,5.4,0,0.951569507,0,0,0,0.5,nan,0,nan
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,12,RF,LDF,7,0.010138559,0.172036719,0.004837799,2.372459841,104.49,1.61,4.99,0.41,0.940807175,0.202970297,0.075925926,0.110512129,0.531738994,0.110512129,0.140982679,0.097784257
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,13,RF,LDF,7,0.010119891,0.173115587,0.004797244,2.357577443,104.29,1.81,4.97,0.43,0.939192825,0.191964286,0.07962963,0.112565445,0.532795597,0.112565445,0.147324278,0.095734366
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,14,RF,LDF,7,0.010334253,0.175093031,0.004827046,2.379220533,104.35,1.75,4.93,0.47,0.940089686,0.211711712,0.087037037,0.12335958,0.53708038,0.12335958,0.159921547,0.108408334
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,15,RF,LDF,7,0.010142326,0.171134877,0.004773617,2.337995338,104.4,1.7,4.97,0.43,0.940179372,0.201877934,0.07962963,0.114209827,0.533315788,0.114209827,0.147335912,0.099751777
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,12,DT,LDF,7,0.000667238,0.002251029,0.004888415,0.559047937,94.19,11.91,4.14,1.26,0.856053812,0.095671982,0.233333333,0.135702746,0.560188033,0.135702746,0.369538168,0.080536683
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,13,DT,LDF,7,0.000661778,0.002249336,0.005043316,0.559017301,93.95,12.15,4.15,1.25,0.853811659,0.093283582,0.231481481,0.132978723,0.557896344,0.132978723,0.367017993,0.077220133
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,14,DT,LDF,7,0.000674272,0.002592325,0.004850006,0.562725806,97.08,9.02,4.48,0.92,0.878923767,0.092555332,0.17037037,0.119947849,0.544472227,0.119947849,0.287254038,0.064303598
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,15,DT,LDF,7,0.000674462,0.002636623,0.004868531,0.559417295,96.84,9.26,4.43,0.97,0.877219731,0.094819159,0.17962963,0.124120282,0.547340152,0.124120282,0.300181672,0.06867989
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,12,KNN,LDF,7,0.006494141,0.003298235,0.004876566,0.626298785,104.9,1.2,5.4,0,0.940807175,0,0,0,0.494339623,nan,0,-0.023531091
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,13,KNN,LDF,7,0.006420708,0.003281212,0.004782152,0.617573452,104.9,1.2,5.4,0,0.940807175,0,0,0,0.494339623,nan,0,-0.023531091
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,14,KNN,LDF,7,0.006786132,0.00342164,0.0048136,0.622353101,104.7,1.4,5.4,0,0.939013453,0,0,0,0.493405043,nan,0,-0.025439557
../data/,../result_data/,10,NO,Variance,Euclidean,21,2,15,KNN,LDF,7,0.007356238,0.003517795,0.004896593,0.631123686,104.7,1.4,5.4,0,0.939013453,0,0,0,0.493405043,nan,0,-0.025439557
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,12,NB,LDF,7,0.00075655,0.001265526,0.013320065,0.553678751,101.4,4.7,0.5,4.9,0.953363229,0.510416667,0.907407407,0.653333333,0.931176747,0.653333333,0.930928849,0.660537986
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,13,NB,LDF,7,0.000758505,0.00129385,0.0132617,0.549737334,100.3,5.8,0.5,4.9,0.943497758,0.457943925,0.907407407,0.608695652,0.925988068,0.608695652,0.925982798,0.621512789
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,14,NB,LDF,7,0.000762391,0.001291561,0.013739967,0.561735725,100.1,6,0.7,4.7,0.939910314,0.439252336,0.87037037,0.583850932,0.906711338,0.583850932,0.905437784,0.593144827
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,15,NB,LDF,7,0.000765634,0.001308131,0.013596296,0.558019567,100,6.1,0.7,4.7,0.939013453,0.435185185,0.87037037,0.580246914,0.90623964,0.580246914,0.905003514,0.590001382
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,12,LR,LDF,7,0.000809836,0.012222695,0.013812613,0.690118027,105.8,0.3,0.4,5,0.993721973,0.943396226,0.925925926,0.934579439,0.961918239,0.934579439,0.960229439,0.931327398
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,13,LR,LDF,7,0.000819325,0.011555505,0.01322608,0.675482202,105.8,0.3,0.4,5,0.993721973,0.943396226,0.925925926,0.934579439,0.961918239,0.934579439,0.960229439,0.931327398
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,14,LR,LDF,7,0.000817657,0.012223625,0.01325295,0.684503365,105.8,0.3,0.4,5,0.993721973,0.943396226,0.925925926,0.934579439,0.961918239,0.934579439,0.960229439,0.931327398
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,15,LR,LDF,7,0.000829935,0.01259234,0.015688038,0.744765162,105.8,0.3,0.4,5,0.993721973,0.943396226,0.925925926,0.934579439,0.961918239,0.934579439,0.960229439,0.931327398
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,12,SVM,LDF,7,0.000751114,0.004897237,0.016005826,0.625583577,105.7,0.4,0.4,5,0.992825112,0.925925926,0.925925926,0.925925926,0.959779874,0.925925926,0.959792242,0.922155898
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,13,SVM,LDF,7,0.000741434,0.003867912,0.013215423,0.588911605,105.7,0.4,0.4,5,0.992825112,0.925925926,0.925925926,0.925925926,0.959779874,0.925925926,0.959792242,0.922155898
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,14,SVM,LDF,7,0.000751185,0.006899309,0.013311362,0.591673899,105.7,0.4,0.5,4.9,0.991928251,0.924528302,0.907407407,0.91588785,0.951446541,0.91588785,0.949746486,0.911692886
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,15,SVM,LDF,7,0.000768375,0.004691553,0.01358614,0.590330791,105.7,0.4,0.4,5,0.992825112,0.925925926,0.925925926,0.925925926,0.959779874,0.925925926,0.959792242,0.922155898
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,12,RF,LDF,7,0.010187793,0.15965817,0.015976763,2.292223382,105.74,0.36,0.35,5.05,0.993632287,0.933456562,0.935185185,0.934320074,0.964968553,0.934320074,0.96491962,0.930974459
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,13,RF,LDF,7,0.009551215,0.156232595,0.013192749,2.195269394,105.86,0.24,0.36,5.04,0.994618834,0.954545455,0.933333333,0.943820225,0.964534591,0.943820225,0.964461654,0.941060207
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,14,RF,LDF,7,0.010166717,0.15984745,0.016294861,2.29678781,105.83,0.27,0.41,4.99,0.993901345,0.948669202,0.924074074,0.936210131,0.959393082,0.936210131,0.959363478,0.933097056
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,15,RF,LDF,7,0.009644175,0.155718803,0.013668394,2.187796593,105.83,0.27,0.39,5.01,0.994080717,0.948863636,0.927777778,0.938202247,0.961393082,0.938202247,0.961355632,0.935159264
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,12,DT,LDF,7,0.000653243,0.001961994,0.013357806,0.561582828,105.88,0.22,0.3,5.1,0.995336323,0.958646617,0.944444444,0.951492537,0.970628931,0.951492537,0.970449166,0.94907225
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,13,DT,LDF,7,0.000680232,0.002183557,0.013209987,0.558954358,105.86,0.24,0.3,5.1,0.995156951,0.95505618,0.944444444,0.94972067,0.970534591,0.94972067,0.970360026,0.947193019
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,14,DT,LDF,7,0.000663114,0.002147555,0.013215065,0.555692768,105.85,0.25,0.3,5.1,0.995067265,0.953271028,0.944444444,0.948837209,0.970487421,0.948837209,0.970315449,0.946257283
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,15,DT,LDF,7,0.000662327,0.002161837,0.013360667,0.557322454,105.88,0.22,0.3,5.1,0.995336323,0.958646617,0.944444444,0.951492537,0.970628931,0.951492537,0.970449166,0.94907225
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,12,KNN,LDF,7,0.005554605,0.002414179,0.012933612,0.612229156,105.5,0.6,0.7,4.7,0.988340807,0.886792453,0.87037037,0.878504673,0.937169811,0.878504673,0.928236472,0.872423863
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,13,KNN,LDF,7,0.005641627,0.002484989,0.013300705,0.62126646,105.6,0.5,0.7,4.7,0.989237668,0.903846154,0.87037037,0.886792453,0.937641509,0.886792453,0.928646939,0.88131778
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,14,KNN,LDF,7,0.006347179,0.003119802,0.013404989,0.620161271,105.8,0.3,0.7,4.7,0.99103139,0.94,0.87037037,0.903846154,0.938584906,0.903846154,0.929466631,0.89988228
../data/,../result_data/,10,NO,Correlate,Euclidean,21,2,15,KNN,LDF,7,0.006451321,0.003193784,0.013167024,0.618378997,105.8,0.3,0.7,4.7,0.99103139,0.94,0.87037037,0.903846154,0.938584906,0.903846154,0.929466631,0.89988228
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,12,NB,LDF,7,0.000762987,0.001256824,0.005147791,0.546571398,102,4.1,0.4,5,0.959641256,0.549450549,0.925925926,0.689655172,0.944011344,0.689655172,0.94330898,0.695738641
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,13,NB,LDF,7,0.000763893,0.001278448,0.005102873,0.539479637,101.7,4.4,0.5,4.9,0.956053812,0.52688172,0.907407407,0.666666667,0.93259625,0.666666667,0.932268233,0.672316848
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,14,NB,LDF,7,0.000847745,0.001385856,0.005121613,0.541748071,101.5,4.6,0.5,4.9,0.95426009,0.515789474,0.907407407,0.657718121,0.931652854,0.657718121,0.931375762,0.66440456
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,15,NB,LDF,7,0.00076015,0.00130024,0.005128956,0.545201397,100,6.1,0.5,4.9,0.940807175,0.445454545,0.907407407,0.597560976,0.92623964,0.597560976,0.924624253,0.611857693
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,12,LR,LDF,7,0.000813365,0.01095016,0.005105519,0.640347528,106,0.1,1.3,4.1,0.987443946,0.976190476,0.759259259,0.854166667,0.879528302,0.854166667,0.862806603,0.855028746
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,13,LR,LDF,7,0.000807786,0.01009953,0.005117702,0.635641289,106,0.1,1.3,4.1,0.987443946,0.976190476,0.759259259,0.854166667,0.879528302,0.854166667,0.862806603,0.855028746
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,14,LR,LDF,7,0.000843859,0.011026812,0.005603576,0.684569716,106,0.1,1.3,4.1,0.987443946,0.976190476,0.759259259,0.854166667,0.879528302,0.854166667,0.862806603,0.855028746
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,15,LR,LDF,7,0.000825977,0.010953951,0.005470967,0.697258973,106,0.1,1.3,4.1,0.987443946,0.976190476,0.759259259,0.854166667,0.879528302,0.854166667,0.862806603,0.855028746
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,12,SVM,LDF,7,0.000783467,0.002332735,0.005271053,0.585975766,105.8,0.3,0.6,4.8,0.991928251,0.941176471,0.888888889,0.914285714,0.943584906,0.914285714,0.939922265,0.910463357
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,13,SVM,LDF,7,0.000769353,0.002300644,0.005103111,0.551359487,105.8,0.3,0.6,4.8,0.991928251,0.941176471,0.888888889,0.914285714,0.943584906,0.914285714,0.939922265,0.910463357
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,14,SVM,LDF,7,0.000777507,0.002421832,0.005140114,0.561513543,105.8,0.3,0.6,4.8,0.991928251,0.941176471,0.888888889,0.914285714,0.943584906,0.914285714,0.939922265,0.910463357
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,15,SVM,LDF,7,0.000795341,0.002518535,0.005124617,0.556726909,105.8,0.3,0.6,4.8,0.991928251,0.941176471,0.888888889,0.914285714,0.943584906,0.914285714,0.939922265,0.910463357
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,12,RF,LDF,7,0.009531546,0.152057576,0.005064392,2.135572815,105.76,0.34,0.37,5.03,0.993632287,0.936685289,0.931481481,0.934076137,0.963062893,0.934076137,0.963032331,0.930734724
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,13,RF,LDF,7,0.009778953,0.153096747,0.005139613,2.159728003,105.74,0.36,0.38,5.02,0.993363229,0.933085502,0.92962963,0.93135436,0.961968553,0.93135436,0.961953864,0.927869188
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,14,RF,LDF,7,0.009561777,0.151385045,0.005098271,2.134222269,105.78,0.32,0.4,5,0.993542601,0.939849624,0.925925926,0.932835821,0.960157233,0.932835821,0.960142033,0.929472835
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,15,RF,LDF,7,0.009594512,0.152499652,0.005077744,2.142396474,105.77,0.33,0.4,5,0.993452915,0.938086304,0.925925926,0.931966449,0.96027673,0.931966449,0.960098325,0.928549394
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,12,DT,LDF,7,0.000652122,0.001795793,0.00506382,0.541785598,105.8,0.3,0.3,5.1,0.994618834,0.944444444,0.944444444,0.944444444,0.970251572,0.944444444,0.9700925,0.941616923
../data/,../result_data/,10,NO,Chi2,Euclidean,21,2,13,DT,LDF,7,0.000658727,0.001825404,0.005079508,0.543967891,105.8,0.3,0.3,5.1,0.994618834,0.944444444,0.944444444,0.944444444,0.970251572,0.944444444,0.9700925,0.941616923
