data_dir,result_dir,num_run,balance_data,feaSelect,correlate,eps,min_Pts,k,MLmodel,select_method,LDF_r,predict_time,fit_time,select_Fea_time,totle_time,TN,FP,FN,TP,accuracy,precision,recall,F1,AUC,F_MEASURE,G_MEASURE,MCC
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,12,NB,LDF,10,0.000768971,0.001227117,0.004736853,0.383464503,8.6,65.8,1.2,3,0.147582697,0.043604651,0.714285714,0.082191781,0.415418919,0.082191781,0.198981953,-0.115815478
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,13,NB,LDF,10,0.000762486,0.001255751,0.005373693,0.397227049,16.1,58.3,1.3,2.9,0.24173028,0.047385621,0.69047619,0.088685015,0.453342342,0.088685015,0.329522196,-0.050446558
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,14,NB,LDF,10,0.000749183,0.001206064,0.00477457,0.381807756,15.8,58.6,0.8,3.4,0.244274809,0.05483871,0.80952381,0.102719033,0.506288288,0.102719033,0.336464988,0.012061327
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,15,NB,LDF,10,0.000763369,0.001219988,0.004812145,0.386275482,15.8,58.6,0.8,3.4,0.244274809,0.05483871,0.80952381,0.102719033,0.506288288,0.102719033,0.336464988,0.012061327
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,12,LR,LDF,10,0.000810766,0.013036561,0.00497961,0.515290737,70.2,4.2,3.9,0.3,0.896946565,0.066666667,0.071428571,0.068965517,0.509391892,0.068965517,0.132803632,0.014498377
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,13,LR,LDF,10,0.000813627,0.012466598,0.004872584,0.486920238,68.6,5.8,3.9,0.3,0.876590331,0.049180328,0.071428571,0.058252427,0.498725225,0.058252427,0.132586007,-0.005487634
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,14,LR,LDF,10,0.000823045,0.013053775,0.004898906,0.520413947,73.1,1.3,1.9,2.3,0.959287532,0.638888889,0.547619048,0.58974359,0.773716216,0.58974359,0.703266826,0.570327958
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,15,LR,LDF,10,0.000830698,0.013897324,0.00489943,0.522793245,73.1,1.3,1.9,2.3,0.959287532,0.638888889,0.547619048,0.58974359,0.773716216,0.58974359,0.703266826,0.570327958
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,12,SVM,LDF,10,0.000798225,0.004156423,0.004872036,0.433511448,69.4,5,3.9,0.3,0.886768448,0.056603774,0.071428571,0.063157895,0.504130631,0.063157895,0.132695985,0.003788549
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,13,SVM,LDF,10,0.000818563,0.030891538,0.004833269,0.469217944,69.4,5,3.9,0.3,0.886768448,0.056603774,0.071428571,0.063157895,0.504130631,0.063157895,0.132695985,0.003788549
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,14,SVM,LDF,10,0.000767493,0.003081369,0.004786253,0.40963006,73.2,1.2,1.9,2.3,0.960559796,0.657142857,0.547619048,0.597402597,0.774391892,0.597402597,0.703610832,0.579498388
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,15,SVM,LDF,10,0.00079608,0.002906799,0.00479784,0.41342864,71.8,2.6,1.9,2.3,0.942748092,0.469387755,0.547619048,0.505494505,0.764932432,0.505494505,0.698739105,0.476891536
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,12,RF,LDF,10,0.009648919,0.152428961,0.004799676,2.002343154,65.26,9.14,2.94,1.26,0.846310433,0.121153846,0.3,0.17260274,0.588718919,0.17260274,0.447088376,0.117583053
../data/,../result_data/,10,NO,Variance,Euclidean,11,1,13,RF,LDF,10,0.009530663,0.150607038,0.004749322,1.976887155,67,7.4,2.57,1.63,0.873155216,0.180509413,0.388095238,0.246409675,0.646664414,0.246409675,0.54242659,0.203564493
