data_dir,result_dir,num_run,balance_data,feaSelect,correlate,eps,min_Pts,k,MLmodel,select_method,LDF_r,predict_time,fit_time,select_Fea_time,totle_time,TN,FP,FN,TP,accuracy,precision,recall,F1,AUC,F_MEASURE,G_MEASURE,MCC
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,12,NB,LDF,1,0.000784254,0.001556349,0.006825352,0.81695385,37.3,201.3,0.1,12,0.196649382,0.05625879,0.991735537,0.106477374,0.574066342,0.106477374,0.270083541,0.089073088
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,13,NB,LDF,1,0.000783491,0.001613593,0.006797671,0.820821691,37,201.6,0,12.1,0.195851615,0.056621432,1,0.107174491,0.577602757,0.107174491,0.26850508,0.093703555
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,14,NB,LDF,1,0.000788617,0.001605701,0.006823874,0.813746285,37,201.6,0,12.1,0.195851615,0.056621432,1,0.107174491,0.577602757,0.107174491,0.26850508,0.093703555
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,15,NB,LDF,1,0.000789452,0.001622844,0.006892037,0.814357138,35.6,203,0,12.1,0.190267252,0.056252906,1,0.106514085,0.574666854,0.106514085,0.259664478,0.091614087
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,12,LR,LDF,1,0.000808835,0.017765856,0.006738973,1.018467879,230.2,8.4,9.6,2.5,0.928201037,0.229357798,0.20661157,0.217391304,0.585929565,0.217391304,0.340339216,0.180142675
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,13,LR,LDF,1,0.000814462,0.017920208,0.006723428,1.007663512,230.2,8.4,9.6,2.5,0.928201037,0.229357798,0.20661157,0.217391304,0.585929565,0.217391304,0.340339216,0.180142675
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,14,LR,LDF,1,0.000975442,0.019600439,0.006762648,1.031629229,230.1,8.5,9.6,2.5,0.927802154,0.227272727,0.20661157,0.216450216,0.58572036,0.216450216,0.340313129,0.178920819
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,15,LR,LDF,1,0.000835848,0.023326182,0.007235432,1.1223768,230.1,8.5,9.6,2.5,0.927802154,0.227272727,0.20661157,0.216450216,0.58572036,0.216450216,0.340313129,0.178920819
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,12,SVM,LDF,1,0.001659775,0.041654992,0.00705173,1.029197955,238.6,0,12.1,0,0.951735142,0,0,0,0.5,nan,0,nan
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,13,SVM,LDF,1,0.001679277,0.04188962,0.006855416,1.036210918,238.6,0,12.1,0,0.951735142,0,0,0,0.5,nan,0,nan
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,14,SVM,LDF,1,0.001741505,0.046139359,0.006821394,1.048406696,238.6,0,12.1,0,0.951735142,0,0,0,0.5,nan,0,nan
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,15,SVM,LDF,1,0.001953149,0.05032568,0.006849647,1.055447912,238.6,0,12.1,0,0.951735142,0,0,0,0.5,nan,0,nan
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,12,RF,LDF,1,0.010935473,0.221350551,0.006980133,3.189943147,226.57,12.03,9.23,2.87,0.915197447,0.19261745,0.237190083,0.212592593,0.593939299,0.212592593,0.379569731,0.16930596
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,13,RF,LDF,1,0.011433077,0.230528164,0.006966639,3.181316519,226.64,11.96,9.21,2.89,0.915556442,0.194612795,0.238842975,0.214471243,0.594566775,0.214471243,0.381706916,0.171339825
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,14,RF,LDF,1,0.011021304,0.219929504,0.007152343,3.144748211,227.7,10.9,9.14,2.96,0.920063821,0.213564214,0.244628099,0.228043143,0.599733594,0.228043143,0.389430252,0.186574238
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,15,RF,LDF,1,0.011554837,0.226973915,0.00695219,3.161112618,228.12,10.48,9.29,2.81,0.921140806,0.211437171,0.232231405,0.221346987,0.594746431,0.221346987,0.373692737,0.180129931
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,12,DT,LDF,1,0.000682473,0.003872275,0.00672636,0.840624619,218.12,20.48,8.41,3.69,0.884762665,0.152668597,0.304958678,0.203473945,0.60858677,0.203473945,0.457349207,0.159117499
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,13,DT,LDF,1,0.000679898,0.003883123,0.006683421,0.838036728,216.49,22.11,8.38,3.72,0.878380535,0.144018583,0.307438017,0.196150804,0.606417674,0.196150804,0.459261485,0.151418364
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,14,DT,LDF,1,0.000715923,0.003992748,0.006803465,0.84776094,217.37,21.23,8.36,3.74,0.881970483,0.149779736,0.309090909,0.201780415,0.609093066,0.201780415,0.461578048,0.157532713
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,15,DT,LDF,1,0.000682974,0.004020405,0.006708527,0.841071177,216.54,22.06,8.42,3.68,0.878420423,0.142968143,0.304132231,0.194503171,0.60485561,0.194503171,0.455589332,0.149466233
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,12,KNN,LDF,1,0.017399478,0.00997045,0.006968427,1.103549385,226.1,12.5,10.3,1.8,0.909054647,0.125874126,0.148760331,0.136363636,0.548827397,0.136363636,0.257151793,0.089060329
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,13,KNN,LDF,1,0.016789317,0.010229778,0.006714416,1.059012794,226.4,12.2,10.3,1.8,0.910251296,0.128571429,0.148760331,0.137931034,0.549455012,0.137931034,0.257198036,0.091126019
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,14,KNN,LDF,1,0.017092729,0.010403299,0.00692234,1.074704075,226.4,12.2,10.3,1.8,0.910251296,0.128571429,0.148760331,0.137931034,0.549455012,0.137931034,0.257198036,0.091126019
../data/,../result_data/,10,NO,Variance,Euclidean,27,2,15,KNN,LDF,1,0.01788919,0.010626626,0.006985617,1.115216613,226.4,12.2,10.2,1.9,0.910650179,0.134751773,0.157024793,0.145038168,0.553621679,0.145038168,0.269457965,0.098509705
../data/,../result_data/,10,NO,Correlate,Euclidean,27,2,12,NB,LDF,1,0.000838399,0.001668358,0.01444335,0.835262346,218.6,20,1.3,10.8,0.915037894,0.350649351,0.892561983,0.503496503,0.904285593,0.503496503,0.904215675,0.528017951
../data/,../result_data/,10,NO,Correlate,Euclidean,27,2,13,NB,LDF,1,0.00079658,0.001593494,0.016054511,0.830514169,218.7,19.9,1.3,10.8,0.915436777,0.351791531,0.892561983,0.504672897,0.904495677,0.504672897,0.904419747,0.529031019
../data/,../result_data/,10,NO,Correlate,Euclidean,27,2,14,NB,LDF,1,0.000799584,0.001628375,0.015890622,0.834457493,218.1,20.5,1.3,10.8,0.913043478,0.345047923,0.892561983,0.497695853,0.90323693,0.497695853,0.903193894,0.523021331
../data/,../result_data/,10,NO,Correlate,Euclidean,27,2,15,NB,LDF,1,0.000795507,0.001619935,0.015738773,0.823421979,217.9,20.7,1.3,10.8,0.912245712,0.342857143,0.892561983,0.495412844,0.902817641,0.495412844,0.902784518,0.521054078
../data/,../result_data/,10,NO,Correlate,Euclidean,27,2,12,LR,LDF,1,0.0008255,0.024494743,0.015491271,1.044397688,238.4,0.2,0.6,11.5,0.996808935,0.982905983,0.950413223,0.966386555,0.974902103,0.966386555,0.974178028,0.964862207
../data/,../result_data/,10,NO,Correlate,Euclidean,27,2,13,LR,LDF,1,0.000816321,0.021285582,0.014762521,1.014166069,238.4,0.2,0.5,11.6,0.997207818,0.983050847,0.958677686,0.970711297,0.979068769,0.970711297,0.978501168,0.969329773
../data/,../result_data/,10,NO,Correlate,Euclidean,27,2,14,LR,LDF,1,0.000918531,0.021658134,0.01310544,1.017912531,238.4,0.2,0.5,11.6,0.997207818,0.983050847,0.958677686,0.970711297,0.979068769,0.970711297,0.978501168,0.969329773
../data/,../result_data/,10,NO,Correlate,Euclidean,27,2,15,LR,LDF,1,0.000820231,0.022871852,0.014787436,1.028600645,238.4,0.2,0.5,11.6,0.997207818,0.983050847,0.958677686,0.970711297,0.979068769,0.970711297,0.978501168,0.969329773
../data/,../result_data/,10,NO,Correlate,Euclidean,27,2,12,SVM,LDF,1,0.000845933,0.014169312,0.018223667,0.988320351,238.4,0.2,0.5,11.6,0.997207818,0.983050847,0.958677686,0.970711297,0.97906789,0.970711297,0.978501168,0.969329773
../data/,../result_data/,10,NO,Correlate,Euclidean,27,2,13,SVM,LDF,1,0.000820613,0.00773387,0.015621805,0.91224823,238.4,0.2,0.6,11.5,0.996808935,0.982905983,0.950413223,0.966386555,0.974901224,0.966386555,0.974178028,0.964862207
../data/,../result_data/,10,NO,Correlate,Euclidean,27,2,14,SVM,LDF,1,0.000850368,0.013900566,0.015682197,0.928745604,238.3,0.3,0.6,11.5,0.996410052,0.974576271,0.950413223,0.962343096,0.974692019,0.962343096,0.973978779,0.96054203
